-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"P-REES","A UT Puducherry",75.6197,77.7234,102.298,93.1465,115.593,145.6016,220.072,225.1097,205.2954,218.8356,246.9239,387.9361
"P-REES","Andhra Pradesh",1041.7832,2631.4825,3137.7918,2768.9232,3335.456,3410.2361,2247.7671,3241.0295,4801.667,6537.5028,4561.9336,5297.7781
"P-REES","Arunachal Pradesh",137.4191,193.6906,211.3321,198.5047,239.7424,224.6359,301.6415,365.1954,531.5077,543.1543,553.5457,822.1118
"P-REES","Assam",371.4559,332.302,520.416,395.6511,518.5093,981.1504,832.7305,906.2574,1105.149,1398.1558,1905.5079,1914.3283
"P-REES","Bihar",915.3961,416.8692,454.2774,793.5642,392.9252,892.8266,908.7824,1249.2745,1716.3115,2632.1098,2947.1319,2942.4513
"P-REES","Chattisgarh",0.0,84.267,408.6109,538.6769,636.2061,563.1783,726.4269,870.682,1252.0552,1359.3004,1599.5604,2509.1668
"P-REES","D NCT Delhi",149.4267,154.204,989.5413,184.9125,276.6537,213.5646,190.0396,243.2913,332.4802,434.572,802.657,548.9476
"P-REES","Goa",41.7626,44.7185,58.2266,77.971,98.4326,110.512,135.1677,147.7112,185.1213,200.2416,262.5092,315.4982
"P-REES","Gujarat",1345.5957,1456.7877,954.3907,897.5099,1717.7146,2070.2183,1939.7181,2172.8958,3457.4859,4636.8622,5965.4188,7282.5715
"P-REES","Haryana",322.9558,300.9936,433.9006,390.568,386.7411,575.5899,686.4176,832.0051,921.7509,1201.5704,1632.1628,1855.9789
"P-REES","Himachal Pradesh",428.5136,507.4865,458.3399,550.5828,275.9705,378.6694,498.3831,462.606,450.5828,412.3692,601.2627,722.8374
"P-REES","Jammu and Kashmir",346.8512,349.8895,413.5861,454.5132,471.1999,495.9147,540.2922,361.7962,166.2028,105.3057,61.1067,78.5722
"P-REES","Jharkhand",0.0,94.8113,611.5311,398.6399,470.6954,739.5469,852.9561,990.299,1127.2316,1503.4449,1411.9322,2472.5141
"P-REES","Karnataka",1158.8829,1336.6552,1508.3199,1399.4393,1372.6613,2498.674,1945.8369,3538.6609,3443.4917,3698.7007,4190.6446,4206.092
"P-REES","Kerala",1278.9319,1213.1434,1065.7715,1904.7287,1386.705,1850.1653,1914.4189,1124.451,731.6244,1142.61,1460.2376,1505.7017
"P-REES","Madhya Pradesh",980.6061,1022.9231,1024.4227,1948.2624,1242.5152,1171.5251,1719.6463,2313.0874,3249.6227,3219.3327,3652.2293,4394.5895
"P-REES","Maharastra",1236.1732,1115.3174,1188.8206,1490.3165,1193.2364,1916.1104,2000.579,2595.0524,2647.8302,3667.7477,5028.1855,5511.8475
"P-REES","Manipur",133.4823,82.3178,83.4443,52.0718,94.0945,110.5208,182.1937,198.3935,242.65,255.0042,371.61,498.7081
"P-REES","Meghalaya",91.2074,110.4411,122.5776,115.5469,124.8073,232.9285,254.9438,317.1644,377.0804,644.1484,535.8855,863.8163
