-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Cat","Identity","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"RESS","A","A Union Govt",16638.07,17627.28,19607.69,20853.6,23487.91,30287.26,38378.85,45342.97,61481.73,86894.51,100324.73,121965.41
"RESS","B","A UT Puducherry",302.78,317.71,319.19,361.07,411.13,578.96,683.87,701.23,850.96,959.3,1264.69,1378.45
"RESS","B","Andhra Pradesh",7317.66,8033.57,8210.56,8585.75,10267.28,10479.85,12157.59,15369.33,18660.39,25004.49,25756.5,32314.35
"RESS","B","Arunachal Pradesh",280.48,298.6,342.49,327.76,433.28,472.67,571.04,633.58,706.59,980.71,1196.66,994.28
"RESS","B","Assam",2377.55,2814.6,2701.62,2898.0,3361.49,4262.44,3987.1,4477.49,4956.76,5844.36,8543.2,10158.97
"RESS","B","Bihar",5483.45,4808.81,3532.21,3915.71,4033.43,4794.98,6861.93,7917.2,9867.99,12252.08,13186.4,15089.42
"RESS","B","Chattisgarh",0.0,738.69,1914.76,2086.44,2268.47,2430.94,2847.73,3458.9,4117.35,6152.75,8023.54,8309.72
"RESS","B","D NCT Delhi",2041.41,2120.59,2296.63,2453.65,2509.87,3017.47,3310.3,3847.19,5222.1,6599.35,8103.58,8718.77
"RESS","B","Goa",415.04,432.76,478.28,549.83,564.26,667.73,737.11,831.35,930.42,1192.56,1487.08,1774.3
"RESS","B","Gujarat",6229.35,7716.48,7722.2,6539.22,7075.67,7850.91,8272.87,10514.32,11800.66,14932.15,19605.3,23701.61
