-----
{
 "description": "This data pertains to public account disbursements (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Disbursements_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to revenue receipts (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Revenue_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Revenue Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Revenue_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to public account receipts (major head-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Public_Account_Receipts_FY_2000-11.xls", 
 "title": "Download XLS for Public Account Receipts FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Public_Account_Receipts_FY_2000-11.xls"
}
-----
-----
{
 "description": "This data pertains to total expenditure and disbursements (sector-wise) of all states including UTs and Union Governments from year 2000 to 2011.", 
 "file_name": "Total_Expenditure_And_Disbursements_FY_2000-11.xls", 
 "title": "Download XLS for Total Expenditure And Disbursements FY 2000-11", 
 "url": "http://data.gov.in/sites/default/files/Total_Expenditure_And_Disbursements_FY_2000-11.xls"
}
-----
"Sector","Data","FY 00","FY 01","FY 02","FY 03","FY 04","FY 05","FY 06","FY 07","FY 08","FY 09","FY 10","FY 11"
"TOTAL PLAN E","A UT Puducherry",313.0677,330.9053,367.1758,419.4164,478.0016,626.1603,937.417,1055.4561,1112.2145,1077.1236,1461.7214,1590.2599
"TOTAL PLAN E","Andhra Pradesh",6360.6341,7617.3911,9362.235,9416.4145,11717.7638,12446.6656,14503.0865,19611.1473,28987.4291,32700.6351,30910.2425,34033.7611
"TOTAL PLAN E","Arunachal Pradesh",556.548,635.8419,759.0266,712.0179,980.8177,953.9907,1165.234,1398.0584,1595.9324,2447.7927,2342.8792,2843.8448
"TOTAL PLAN E","Assam",1758.1002,1890.2676,1934.7521,1821.5893,2097.1414,2899.0009,3245.2237,3142.4703,3678.0089,5471.8981,6814.8763,7056.7225
"TOTAL PLAN E","Bihar",2832.3473,1914.0498,1610.1254,2381.3858,2777.6989,3475.9153,4898.6909,9397.1593,10989.4608,13813.7476,15706.9163,20910.5406
"TOTAL PLAN E","Chattisgarh",0.0,520.4693,1518.7951,2116.4785,3082.6169,2986.2833,3813.3853,5545.3065,7164.3766,8840.3953,10449.3935,11576.3603
"TOTAL PLAN E","D NCT Delhi",1486.9122,3315.869,3984.8769,4412.6549,4572.702,4268.4829,4300.5601,5088.1481,8785.0401,9635.3372,11128.2382,10544.251
"TOTAL PLAN E","Goa",251.9428,335.1524,370.4791,443.7384,592.2024,795.6902,996.8401,1110.5441,1260.2202,1523.0616,1840.9198,2146.7868
"TOTAL PLAN E","Gujarat",5799.3528,6569.5147,3460.7773,4450.6399,7240.7988,8935.44,11652.392,13725.4382,15619.0062,21570.1271,22707.4157,27841.6697
"TOTAL PLAN E","Haryana",1922.0559,2082.2393,2264.4013,2063.9051,2368.9787,2705.1604,3706.9723,4975.419,6612.1661,7928.2091,10533.8232,10635.0037
"TOTAL PLAN E","Himachal Pradesh",1662.4541,1844.4616,1865.0291,2276.6626,1642.211,1631.1925,2015.1688,2473.6989,2638.1034,3044.4264,3199.4622,3647.9211
"TOTAL PLAN E","Jammu and Kashmir",1585.8138,1536.9619,2118.6889,2234.246,2588.8731,3153.0939,4102.1652,3179.1522,4164.4488,5006.1469,6688.4104,6638.9991
"TOTAL PLAN E","Jharkhand",0.0,352.9571,1994.3747,2076.8279,2113.9236,3605.3796,5062.6764,4011.9228,5953.7771,7083.0064,6732.5614,8795.5139
"TOTAL PLAN E","Karnataka",4815.1955,5670.3809,6244.5148,6368.74,7380.132,10193.8452,11131.0172,16569.4312,16263.0436,19889.1631,24337.0764,29505.5699
