-----
{
 "description": "This table provides data related to the Total Fertility Rate (TFR) India and major states at current level - Statistical Report, RGI (2004) and its goal for Eleventh Five Year Plan.", 
 "file_name": "Total_Fertility_Rate_India_and_Major_States_at_Current_Level_and_its_goal_for_Eleventh_Five_Year_Plan.xls", 
 "title": "Download XLS for Total Fertility Rate India and Major States at Current Level and its goal for Eleventh Five Year Plan", 
 "url": "http://data.gov.in/sites/default/files/Total_Fertility_Rate_India_and_Major_States_at_Current_Level_and_its_goal_for_Eleventh_Five_Year_Plan.xls"
}
-----
"S. No.","State","Total Fertility Rate Current Level","Total Fertility Rate Eleventh Five Year Plan Goal"
0.0,"India",2.9,2.1
1.0,"Andhra Pradesh",2.1,1.8
2.0,"Assam",2.9,2.3
3.0,"Bihar",4.3,3.0
4.0,"Chhattisgarh",3.3,2.4
5.0,"Delhi",2.1,1.8
6.0,"Gujarat",2.8,2.2
7.0,"Haryana",3.0,1.9
8.0,"Himachal Pradesh",2.1,1.8
9.0,"J&K",2.4,2.0
10.0,"Jharkhand",3.5,2.5
11.0,"Karnataka",2.3,1.8
12.0,"Kerala",1.7,1.7
13.0,"MP",3.7,2.6
14.0,"Maharashtra",2.2,1.9
15.0,"Orissa",2.7,2.1
16.0,"Punjab",2.2,1.8
17.0,"Rajasthan",3.7,2.6
18.0,"Tamil Nadu",1.8,1.7
19.0,"UP",4.4,3.0
20.0,"WB",2.2,1.8
