-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "UttarPradeshNSDPcurrent.csv", 
 "title": "Download CSV for Uttar Pradesh Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarPradeshNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","2835747","3247851","3524045","4285035","4346735","4804769","5257580","5354768","5534278","5902458","6463838","6922297"
"Foresty and Logging","47519","35932","21300","33807","54561","186996","177199","205078","131596","192589","217859","228899"
"Fishing","32716","34880","36475","37398","40680","48809","53301","59459","65480","72998","82160","86173"
"Mining and Quarrying","44708","52633","68030","77308","90786","119857","141980","163824","172924","214353","195647","201911"
"Sub total of primary","2960690","3371296","3649850","4433548","4532762","5160431","5630060","5783129","5904278","6382398","6959504","7439280"
"Manufacturing","923494","1200890","1312724","1665472","1621088","1526601","1727100","1660775","1714256","1901629","2117151","2364717"
"Registered","536612","742396","774738","1112838","925783","781330","927885","866197","845917","966737","1042327","1139362"
"Unregistered","386882","458494","537986","552634","695305","745271","799215","794578","868339","934892","1074824","1225355"
"Construction","322086","356093","442566","526964","642631","801824","860214","916570","960150","1110600","1202130","1342128"
"Electricity, Gas and water Supply","115693","153602","207920","197254","264713","370271","336957","169653","74473","119594","137804","165031"
"Sub total of secondary","1361273","1710585","1963210","2389690","2528432","2698696","2924271","2746998","2748879","3131823","3457085","3871876"
"Transport Storage and Communication","317454","368700","410842","487682","554313","645483","724392","753716","894439","1023897","1098302","1261183"
"Railways","99383","103816","124565","127077","149962","169845","181054","162469","199102","246573","237956","256626"
"Transport by other means","185075","212386","229031","291882","344925","404248","461484","491043","531459","590872","627204","713033"
"Storage","0","0","0","0","0","0","0","0","0","0","0","0"
"Communication","32996","52498","57246","68723","59426","71390","81854","100204","163878","186452","233142","291524"
"Trade, hotels and restaurants","1053287","1256120","1458414","1833978","2006703","2059016","2120465","2460685","2411220","2479658","2637729","2848788"
"Banking and Insurance","199362","236876","303811","394549","459458","448221","497048","557001","650537","775607","859532","952538"
"Real estate, ownership of dwelling and business","428057","454665","467470","501829","537631","598827","690944","804626","938318","1089637","1213266","1340906"
"Pubic Administration","302923","320435","389862","443659","566506","651279","742084","768563","801621","822196","943236","1098286"
"Other Services","470424","543472","637638","729680","826674","1040273","1086757","1192891","1336068","1400750","1474683","1712015"
"Sub total of tertiary","2771507","3180268","3668037","4391377","4951285","5443099","5861690","6537482","7032203","7591745","8226748","9213716"
"State domestic product","7093470","8262149","9281098","11214616","12012479","13302226","14416021","15067609","15685360","17105966","18643337","20524872"

"Figures are in Rs. Lakh"
