-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "UttarakhandGSDPcurrent.csv", 
 "title": "Download CSV for Uttarakhand Gross State Domestic Product at factor cost at Current Prices for the base year 2004-05.", 
 "url": "http://data.gov.in/sites/default/files/UttarakhandGSDPcurrent.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","411370","420567","491405","507118","595515","734753","758791","847375","943617"
"Foresty and Logging","139751","163641","185764","199950","227127","256115","315402","362398","415364"
"Fishing","919","1053","1234","1275","1479","2158","2753","3562","4428"
"Ag and Allied","552040","585261","678403","708343","824121","993026","1076946","1213335","1363409"
"Mining and Quarrying","29894","44591","50747","57538","45058","57784","73108","93615","103406"
"Sub total of primary","581934","629852","729150","765881","869179","1050810","1150054","1306950","1466815"
"Manufacturing","315559","483122","648360","983629","1271801","1610496","1859660","2045355","2293208"
"Registered","216415","373649","519867","834166","1110697","1438977","1667168","1832828","2067610"
"Unregistered","99144","109473","128493","149463","161104","171519","192492","212527","225598"
"Construction","315686","368159","470989","460222","478218","587487","677562","792351","943193"
"Electricity, Gas and water Supply","38445","41329","75221","155880","175158","217402","312985","350090","451949"
"Sub total of secondary","669690","892610","1194570","1599731","1925177","2415385","2850207","3187796","3688350"
"Industry","699584","937201","1245317","1657269","1970235","2473169","2923315","3281411","3791756"
"Transport Storage and Communication","162784","192291","239102","293876","351386","452672","543297","639353","774165"
"Railways","7005","6333","7475","13470","12251","15592","15574","16514","17511"
"Transport by other means","113466","140308","177767","222579","275728","361785","442384","526037","644727"
"Storage","1714","1859","2272","2535","2922","3599","4001","4672","5485"
"Communication","40599","43791","51588","55292","60485","71696","81338","92130","106442"
"Trade, hotels and restaurants","419564","551390","682256","920771","1195955","1633282","1975396","2194607","2486233"
"Banking and Insurance","93663","105378","124822","146611","179305","204636","259281","311518","376373"
"Real estate, ownership of dwelling and business","159893","178583","199883","238414","278405","336533","407807","470572","555761"
"Pubic Administration","133372","153922","176435","252589","369289","472270","531608","582843","684347"
"Other Services","257667","292727","333324","367691","433780","508046","574145","622533","722781"
"Sub total of tertiary","1226943","1474291","1755822","2219952","2808120","3607439","4291534","4821426","5599660"
"State domestic product","2478567","2996753","3679542","4585564","5602476","7073634","8291795","9316172","10754825"

"Figures are in Rs. Lakh"
