-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "UttarakhandNSDPcurrent.csv", 
 "title": "Download CSV for Uttarakhand Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/UttarakhandNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","176344","221503","260455","265023","279445","304669","339537","388015","358403","377368","404284","429800"
"Foresty and Logging","26431","26334","27595","23069","28239","42954","44135","37488","42754","48882","52094","55215"
"Fishing","403","429","449","461","512","597","630","638","647","688","689","818"
"Mining and Quarrying","7165","7460","6445","4333","4023","7359","11079","8678","10958","14588","34637","36297"
"Sub total of primary","210343","255726","294944","292886","312219","355579","395381","434819","412762","441526","491704","522130"
"Manufacturing","73918","113870","79893","98099","93058","65351","62251","95677","87265","91909","107748","146282"
"Registered","64437","101639","65240","83018","76097","47242","42125","73803","65031","68512","81440","117270"
"Unregistered","9481","12231","14653","15081","16961","18109","20126","21874","22234","23397","26308","29012"
"Construction","37892","41173","52821","61312","73792","99452","97309","102646","145646","188404","212811","263096"
"Electricity, Gas and water Supply","5840","8631","8791","7850","10640","13492","12490","11883","18928","11437","12194","25895"
"Sub total of secondary","117650","163674","141505","167261","177490","178295","172050","210206","251839","291750","332753","435273"
"Transport Storage and Communication","19307","22176","24379","28290","31521","37354","41143","53967","58502","62942","72712","83730"
"Railways","1646","1720","2063","2105","2484","2813","2999","2691","3403","4085","3942","4507"
"Transport by other means","14067","15231","16753","19922","23829","28583","31990","36766","39237","41874","48088","55509"
"Storage","618","733","836","870","1004","1545","1701","1930","2124","2123","2318","2506"
"Communication","2976","4492","4727","5393","4204","4413","4453","12580","13738","14860","18364","21208"
"Trade, hotels and restaurants","42086","44999","49110","55884","57231","61623","63654","81434","82686","92684","108438","125473"
"Banking and Insurance","24356","28938","37117","48202","56132","54730","60693","68014","76464","94703","104951","121428"
"Real estate, ownership of dwelling and business","29543","31580","32497","34856","37551","42471","49600","58999","69731","80918","94344","112577"
"Pubic Administration","24563","26075","33770","36482","46624","53728","62249","64102","82062","89140","93122","125720"
"Other Services","43085","50432","59318","67352","75881","97383","101583","111279","119721","148676","207081","244355"
"Sub total of tertiary","182940","204200","236191","271066","304940","347289","378922","437795","489166","569063","680648","813283"
"State domestic product","510932","623601","672641","731214","794649","881163","946354","1082821","1153766","1302339","1505106","1770685"

"Figures are in Rs. Lakh"
