-----
{
 "description": "The table refers to the state's gross domestic product at current prices for the base year 2004-05.", 
 "file_name": "WbengalGSDPcurrent_1.csv", 
 "title": "Download CSV for West Bengal Gross State Domestic Product at factor cost at Current Prices  for the base year 2004-05.", 
 "url": "http://data.gov.in/sites/default/files/WbengalGSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Agriculture","4002017","4446464","4736330","5609876","6036140","7624138","8769724","9765362","11348499"
"Foresty and Logging","237530","242763","260080","320160","368021","426514","444915","513832","578493"
"Fishing","754005","829311","954517","1069921","1196474","1392680","1509551","1719627","1950316"
"Ag and Allied","4993552","5518538","5950927","6999957","7600635","9443332","10724190","11998821","13877308"
"Mining and Quarrying","284921","296925","318006","279724","309137","308251","290056","290519","293114"
"Sub total of primary","5278473","5815463","6268933","7279681","7909772","9751583","11014246","12289340","14170422"
"Manufacturing","2326158","2351385","2802339","3332666","3619888","4115393","4781046","5289179","5892877"
"Registered","1275643","1179690","1412631","1720804","1902323","2269891","2503079","2748645","3047455"
"Unregistered","1050515","1171695","1389708","1611862","1717565","1845502","2277967","2540534","2845422"
"Construction","1493996","1736531","1982729","2138786","2134141","2431780","2847924","3313553","3903151"
"Electricity, Gas and water Supply","414370","461825","552098","561519","822634","746760","795686","889240","921997"
"Sub total of secondary","4234524","4549741","5337166","6032971","6576663","7293933","8424656","9491972","10718025"
"Industry","4519445","4846666","5655172","6312695","6885800","7602184","8714712","9782491","11011139"
"Transport Storage and Communication","1858294","1955377","2254537","2534154","2968299","3094702","3714156","4285074","4959404"
"Railways","307088","321850","387105","437366","486883","648704","686719","772459","889698"
"Transport by other means","1161292","1212822","1411910","1600203","1926632","1802350","2262929","2603292","3008559"
"Storage","61716","70220","90131","93100","91239","100602","129091","168120","181658"
"Communication","328198","350485","365391","403485","463545","543046","635417","741203","879489"
"Trade, hotels and restaurants","3273915","3711353","4341589","4858030","5544226","6337985","8108292","9343546","10744252"
"Banking and Insurance","1300304","1380275","1621445","1872759","2050466","2210891","2633190","3085606","3512002"
"Real estate, ownership of dwelling and business","1570769","1832345","2147803","2577798","3060005","3622234","4529661","5251524","5964790"
"Pubic Administration","1147854","1266670","1307472","1360813","1955216","2386114","2626173","3000772","3633037"
"Other Services","2201503","2513271","2889242","3432069","4129601","5190596","6464192","7680348","9336487"
"Sub total of tertiary","11352639","12659291","14562088","16635623","19707813","22842522","28075664","32646870","38149972"
"State domestic product","20865636","23024495","26168187","29948275","34194248","39888038","47514566","54428182","63038419"

"Figures are in Rs. Lakh"
