-----
{
 "description": "The table refers to village wise distribution of surface flow schemes according to the farmers holding size. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.3.csv", 
 "title": "Download CSV for Villagewise Distribution of Surface Flow Schemes according to the holding size for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.3.csv"
}
-----
-----
{
 "description": "The table refers to village wise distribution of surface flow schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.4.csv", 
 "title": "Download CSV for Villagewise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.4.csv"
}
-----
-----
{
 "description": "The table refers to village wise surface flow schemes constructed over the years. It has been sourced from 2nd census of minor irrigation scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "villtab4.1.csv", 
 "title": "Download CSV for Villagewise Distribution of surface flow schemes consutructed over the years for 2nd census of Minor Irrigation Schemes (1993-94)(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/villtab4.1.csv"
}
-----
-----
{
 "description": "The table refers to block wise surface flow schemes according to constraints. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.14.csv", 
 "title": "Download CSV for Blockwise Surface Flow Schemes according to the constraints for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise irrigation through supplemntary sources under surface flow schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.13.csv", 
 "title": "Download CSV for Blockwise Irrigation through supplementary sources under Surface Flow Schemes for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.13.csv"
}
-----
State,District,Block,Supplementary irrigation (Ha) - Kharif,Supplementary irrigation (Ha) - Rabi,Supplementary irrigation (Ha) - Perennial,Supplementary irrigation (Ha) - Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,360,0,0,0,360
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JANNARAM,484,7,0,0,491
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),680,0,0,0,680
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,0,0,0
