-----
{
 "description": "The table refers to block wise distribution of surface flow schemes according to source of finance. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "blcktab4.7.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes according to Finance source for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blcktab4.7.csv"
}
-----
State,District,Block,Government funds,Farmers saving,Loan & Saving,Subsidy & Bank loan,Subsidy only,Others,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,0,1,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,0,0,0,9,9
ANDHRA PRADESH,ADILABAD,BELA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,CHENNUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,1,0,0,0,0,0,1
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,ICHODA,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,0,0,0,0,0,2,2
ANDHRA PRADESH,ADILABAD,JAINOOR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,JAIPUR,1,3,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,JANNARAM,42,0,0,0,0,0,42
ANDHRA PRADESH,ADILABAD,KADDAM (PEDDUR),1,0,0,0,0,18,19
ANDHRA PRADESH,ADILABAD,KAGAZNAGAR,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,KHANPUR,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,22,0,0,0,0,0,22
ANDHRA PRADESH,ADILABAD,LAHESRA,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,39,0,0,0,0,0,39
ANDHRA PRADESH,ADILABAD,MAMDA,5,0,0,0,0,0,5
ANDHRA PRADESH,ADILABAD,MANCHERIAL,6,0,0,0,0,0,6
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,MUDHOLE,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,NARNOOR,NA,NA,NA,NA,NA,NA,NA
ANDHRA PRADESH,ADILABAD,NENNAL,0,0,0,0,0,0,0
