-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 2004-05.", 
 "file_name": "chandigarhGSDPconst_1.csv", 
 "title": "Download CSV for Chandigarh Gross State Domestic Product at factor cost at Constant Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/chandigarhGSDPconst_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","7042","7294","7256","7276","7742","6610","6132","5721"
"Foresty and Logging","617","555","596","616","659","681","690","690"
"Fishing","49","59","99","108","120","114","128","142"
"Ag and Allied","7708","7908","7951","8000","8521","7405","6950","6553"
"Mining and Quarrying","1","1","1","1","1","8","9","10"
"Sub total of primary","7709","7909","7952","8001","8522","7413","6959","6563"
"Manufacturing","56067","51902","63601","71018","71365","84704","100356","111920"
"Registered","22595","15110","22424","25306","25997","37644","48459","54378"
"Unregistered","33472","36792","41177","45712","45368","47060","51897","57542"
"Construction","78131","92711","136794","136088","73571","90713","101895","121200"
"Electricity, Gas and water Supply","10997","11072","10808","12222","13568","17439","17807","18302"
"Sub total of secondary","145195","155685","211203","219328","158504","192856","220058","251422"
"Industry","145196","155686","211204","219329","158505","192864","220067","251432"
"Transport Storage and Communication","55214","58710","63695","70951","78773","87928","96694","108282"
"Railways","470","591","647","685","686","852","1004","1183"
"Transport by other means","24183","24423","25415","26057","25694","27772","27251","27688"
"Storage","67","71","85","103","112","138","160","188"
"Communication","30494","33625","37548","44106","52281","59166","68279","79223"
"Trade, hotels and restaurants","239250","284652","310403","343898","377199","390271","428547","436853"
"Banking and Insurance","97126","113417","142687","161271","214054","271134","309340","352929"
"Real estate, ownership of dwelling and business","164952","177683","192640","209037","224379","232013","240335","249936"
"Pubic Administration","69475","68403","72421","64113","108427","97463","89403","91807"
"Other Services","71483","74874","78498","81455","82050","97500","98559","98118"
"Sub total of tertiary","697500","777739","860344","930725","1084882","1176309","1262878","1337925"
"State domestic product","850404","941333","1079499","1158054","1251908","1376578","1489895","1595910"

"Figures are in Rs. Lakh"
