-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 1993-94. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "delhiNSDPcurrent.csv", 
 "title": "Download CSV for Delhi Net State Domestic Product at factor cost at Current Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/delhiNSDPcurrent.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","77063","44483","36955","37040","52696","72401","68203","76261","77816","83200","84134","87651"
"Foresty and Logging","94","107","113","122","139","182","188","191","188","194","201","197"
"Fishing","1349","1651","1718","1797","2265","2273","1935","1776","1226","892","961","652"
"Mining and Quarrying","1023","415","96","53","146","57","140","664","316","336","764","358"
"Sub total of primary","79529","46656","38882","39012","55246","74913","70466","78892","79546","84622","86060","1207"
"Manufacturing","315472","466591","362598","356976","418364","445704","473013","541117","583465","627759","693739","851676"
"Registered","136956","247555","164401","163114","191318","205911","231831","238925","259259","279597","309895","380446"
"Unregistered","178516","219036","198197","193862","227046","239793","241182","302192","324206","348162","383844","471230"
"Construction","136801","155663","170410","212017","314212","336800","295124","651102","592255","561931","620897","725829"
"Electricity, Gas and water Supply","19590","12191","-8956","-12064","33562","-8799","-14124","30623","15115","9086","2934","2981"
"Sub total of secondary","471863","634445","524052","556929","766138","773705","754013","1222842","1190835","1198776","1317570","1580486"
"Transport Storage and Communication","170174","210362","224375","261149","322919","377702","396228","484551","557123","493037","644818","731332"
"Railways","9475","10594","13563","14849","18957","20785","19472","23438","22700","26000","25984","28452"
"Transport by other means","102070","127805","131687","151327","195157","227075","244343","293645","330641","222612","279332","325701"
"Storage","1139","762","854","953","971","1122","1066","1256","1269","1174","1199","986"
"Communication","57490","71201","78271","94020","107834","128720","131347","166212","202513","243251","338303","376193"
"Trade, hotels and restaurants","420289","572785","611804","722763","806825","946376","995106","1212673","1399127","1485015","1661171","1912008"
"Banking and Insurance","308105","364538","558895","781352","979445","1074721","1334809","1305444","1408629","1614730","1784433","1837966"
"Real estate, ownership of dwelling and business","162261","183232","198140","216268","239760","355526","474856","546920","601379","651140","708784","808723"
"Pubic Administration","93717","104794","124878","152523","201091","236971","280714","288323","300476","313703","338333","381640"
"Other Services","190797","224575","262398","312053","369718","496961","550484","634832","695715","765150","853181","967507"
"Sub total of tertiary","1345343","1660286","1980490","2446108","2919758","3488257","4032197","4472743","4962449","5322775","5990720","6639176"
"State domestic product","1896735","2341387","2543424","3042049","3741142","4336875","4856676","5774477","6232830","6606173","7394350","8308520"

"Figures are in Rs. Lakh"
