-----
{
 "description": "The table refers to the state's net domestic product at current prices for the base year 2004-05. The estimate of net state domestic product is arrived at by deducting the consumption of fixed capital from the gross state domestic product for each sector.", 
 "file_name": "delhiNSDPcurrent_1.csv", 
 "title": "Download CSV for Delhi Net State Domestic Product at factor cost at Current Prices for the base year 2004-05", 
 "url": "http://data.gov.in/sites/default/files/delhiNSDPcurrent_1.csv"
}
-----
"Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12"
"Agriculture","100577","102464","108787","113503","123348","184716","219762","261663"
"Foresty and Logging","6824","7184","7834","7933","8044","8164","8292","8432"
"Fishing","663","366","402","450","475","496","625","890"
"Ag and Allied","108064","110014","117023","121886","131867","193376","228679","270985"
"Mining and Quarrying","378","0","0","0","0","0","0","0"
"Sub total of primary","108442","110014","117023","121886","131867","193376","228679","270985"
"Manufacturing","637193","721859","824559","964127","979515","1054641","1221494","1432504"
"Registered","210437","230555","256191","324647","278211","301234","347724","410118"
"Unregistered","426756","491304","568368","639480","701304","753407","873770","1022386"
"Construction","937605","1032035","1163012","1360596","1559135","2054405","2398917","2855864"
"Electricity, Gas and water Supply","63900","64599","97808","90594","223425","311493","409516","561316"
"Sub total of secondary","1638698","1818493","2085379","2415317","2762075","3420539","4029927","4849684"
"Industry","1639076","1818493","2085379","2415317","2762075","3420539","4029927","4849684"
"Transport Storage and Communication","812586","845867","990263","1119630","1305693","1524045","1796490","2118198"
"Railways","41736","50412","68084","87792","117659","136770","159186","185729"
"Transport by other means","515707","582283","658652","732599","849185","978790","1146298","1346934"
"Storage","5437","5788","6991","8285","9913","11699","13365","15306"
"Communication","249706","207384","256536","290954","328936","396786","477641","570229"
"Trade, hotels and restaurants","2085755","2540063","2965827","3540355","3743477","4221921","4940277","5897584"
"Banking and Insurance","1604252","1667555","2050441","2386625","2860047","3590346","4505953","5421561"
"Real estate, ownership of dwelling and business","1862992","2329253","2816548","3417486","4149775","4821480","5593381","6560675"
"Pubic Administration","482331","555071","603774","560036","1181450","1120759","1227197","1313148"
"Other Services","876630","1046426","1198384","1390519","1747768","2266586","2719715","3352491"
"Sub total of tertiary","7724546","8984235","10625237","12414651","14988210","17545137","20783013","24663657"
"State domestic product","9471686","10912742","12827639","14951854","17882152","21159052","25041619","29784326"

"Figures are in Rs. Lakh"
