-----
{
 "description": "The table refers to Statewise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlNat1.10.csv", 
 "title": "Download CSV for Statewise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwlNat1.10.csv"
}
-----
"State","Horse Power (0-2)","Horse Power (2 - 4)","Horse Power (4 - 6)","Horse Power (6 -8)","Horse Power (8 - 10)","Horse Power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH",20110,560229,468870,15707,4987,3163,112150,1185216
"ARUNACHAL PRADESH",0,0,1,0,2,1,0,4
"ASSAM",1,0,140,0,0,0,13,154
"BIHAR",1883,6762,61761,6019,654,55,58043,135177
"CHHATTISGARH",13799,10845,106019,73,41,343,73863,204983
"GOA",1219,913,610,44,46,24,2260,5116
"GUJARAT",12449,19394,636333,162212,49016,15056,41140,935600
"HARYANA",161,274,3552,6111,3341,1038,4342,18819
"HIMACHAL PRADESH",175,177,652,512,130,45,205,1896
"JAMMU & KASHMIR",22,305,2016,80,30,8,57,2518
"JHARKHAND",70764,13133,65442,122,196,213,173685,323555
"KARNATAKA",38298,106033,152426,9784,5284,511,15647,327983
"KERALA",110226,25578,5756,395,362,339,23300,165956
"MADHYA PRADESH",38706,790547,351513,14704,15254,2865,63117,1276706
"MAHARASHTRA",34340,1020097,416988,24619,11283,5616,145615,1658558
"MANIPUR",0,0,0,0,0,3,0,3
"MEGHALAYA",1,0,0,0,0,0,10,11
"NAGALAND",0,0,176,1,0,0,106,283
"ORISSA",20704,12818,9949,25,57,98,334728,378379
"PUNJAB",27,577,613,1505,130,53,26,2931
"RAJASTHAN",5989,68391,329514,341366,109355,48907,267976,1171498
"TAMIL NADU",34352,381711,931429,90915,12718,7097,198279,1656501
"TRIPURA",9,1,5,1,1,0,242,259
"UTTAR PRADESH",1364,483,7760,80354,21051,462,12929,124403
"UTTA RANCHAL",4,1,128,239,70,10,385,837
"WEST BENGAL",2787,4373,8050,1,0,0,24166,39377
"ANDAMAN & NICOBARS",4,0,1,0,0,0,3,8
"DADRA & NAGAR HAVELI",31,154,333,6,43,1,4,572
"PONDICHERRY",0,0,32,31,12,3,0,78
"ALL INDIA",407425,3022796,3560069,754826,234063,85911,1552291,9617381
