-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDAMAN & NICOBARS","NICOBAR",0,6,6,0,6,6,0,4,4
"ANDHRA PRADESH","ADILABAD",85,24400,24485,225,27838,28063,189,24975,25163
"ANDHRA PRADESH","ANANTHAPUR",220,34648,34868,399,78819,79217,232,47248,47480
"ANDHRA PRADESH","CHITTOOR",206,93403,93609,276,131888,132163,195,94642,94837
"ANDHRA PRADESH","CUDDAPAH",40,19521,19561,98,45179,45276,47,20682,20729
"ANDHRA PRADESH","EAST GODAVARI",5,1985,1990,19,5190,5209,16,4626,4642
"ANDHRA PRADESH","GUNTUR",57,11813,11870,59,13695,13754,58,9798,9856
"ANDHRA PRADESH","KARIMNAGAR",170,195829,195999,318,314558,314876,272,246190,246462
"ANDHRA PRADESH","KHAMMAM",1781,32250,34031,1957,47476,49434,1742,36468,38209
"ANDHRA PRADESH","KRISHNA",160,13965,14125,246,32633,32879,151,25923,26074
"ANDHRA PRADESH","KURNOOL",694,28364,29058,1455,62700,64155,1245,51428,52673
"ANDHRA PRADESH","MAHABOOBNAGAR",726,41914,42640,908,64257,65165,656,41123,41778
"ANDHRA PRADESH","MEDAK",48,28556,28604,40,39063,39103,22,22722,22744
"ANDHRA PRADESH","NALGONDA",536,88903,89439,783,136082,136865,557,90901,91459
"ANDHRA PRADESH","NELLORE",528,28296,28824,959,48502,49461,512,38827,39340
"ANDHRA PRADESH","NIZAMABAD",5,13665,13670,19,19625,19644,2,18370,18373
"ANDHRA PRADESH","PRAKASAM",195,18135,18330,428,37173,37601,25,1548,1573
"ANDHRA PRADESH","RANGAREDDY",84,20086,20170,105,33266,33371,52,20064,20116
"ANDHRA PRADESH","SRIKAKULAM",403,33393,33796,176,14639,14815,132,10651,10783
"ANDHRA PRADESH","VISAKHAPATNAM",130,22504,22634,1310,25544,26854,278,19653,19932
"ANDHRA PRADESH","VIZIANAGARAM",217,29446,29663,168,21260,21428,126,11328,11453
"ANDHRA PRADESH","WARANGAL",514,148787,149301,929,193465,194394,796,170918,171714
"ANDHRA PRADESH","WEST GODAVARI",3,9723,9726,22,29547,29569,21,25233,25254
"ARUNACHAL PRADESH","CHANGLANG",1,0,1,1,0,1,1,0,1
"ARUNACHAL PRADESH","EAST SIANG",1,0,1,1,0,1,0,0,0
"ARUNACHAL PRADESH","PAPUMPARE",0,2,2,0,2,2,0,0,0
"ASSAM","BARPETA",0,23,23,0,67,67,0,54,54
"ASSAM","CACHAR",0,1,1,0,2,2,0,2,2
"ASSAM","DHUBRI",0,14,14,0,41,41,0,41,41
"ASSAM","GOALPARA",2,16,18,16,180,196,16,56,72
"ASSAM","JORHAT",0,10,10,0,17,17,0,17,17
"ASSAM","KOKRAJHAR",0,4,4,0,9,9,0,8,8
"ASSAM","LAKHIMPUR",1,50,51,2,105,107,2,90,92
"ASSAM","MORIGAON",0,17,17,0,48,48,0,48,48
"ASSAM","NAGOAN",0,1,1,0,2,2,0,2,2
"ASSAM","SIBSAGAR",0,0,0,0,0,0,0,0,0
"ASSAM","SONITPUR",0,0,0,0,0,0,0,0,0
"BIHAR","AURANGABAD",117,4642,4759,290,12495,12784,191,7183,7374
"BIHAR","BANKA",515,7122,7637,520,7261,7781,421,5551,5973
"BIHAR","BHAGALPUR",15,4716,4731,12,4149,4161,9,3632,3641
"BIHAR","BHOJPUR",24,1614,1638,43,4343,4386,28,2792,2819
"BIHAR","BUXAR",2,347,349,4,1606,1610,4,1554,1558
"BIHAR","EAST CHAMPARAN",0,22,22,0,5908,5908,0,4148,4148
"BIHAR","GAYA",378,15970,16348,987,28233,29220,818,22557,23374
"BIHAR","GOPAALGANJ",22,328,350,36,668,704,2,364,366
"BIHAR","JAMUI",1030,7590,8620,703,6886,7590,568,5399,5967
"BIHAR","JEHANABAD",92,1932,2024,164,2579,2743,132,1941,2073
"BIHAR","KAIMUR (BHABUA)",27,7448,7475,65,27028,27093,49,22618,22667
"BIHAR","KATIHAR",0,8,8,0,16,16,0,6,6
"BIHAR","LAKHISARAI",1,1081,1082,65,643,708,0,466,466
"BIHAR","MADHEPURA",0,0,0,0,0,0,0,0,0
"BIHAR","MADHUBANI",3,112,115,0,234,235,0,185,185
