-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.7.csv"
}
-----
"State","District","Government Funds","Farmer's saving","Loan & Saving","Subsidy & Bank loan","Others","Total"
"ANDAMAN & NICOBARS","NICOBAR",1,0,7,0,0,8
"ANDHRA PRADESH","ADILABAD",15728,2809,3323,5225,305,27390
"ANDHRA PRADESH","ANANTHAPUR",45201,4339,2046,865,486,52937
"ANDHRA PRADESH","CHITTOOR",109820,3037,1994,1559,213,116623
"ANDHRA PRADESH","CUDDAPAH",37003,2061,1444,961,314,41783
"ANDHRA PRADESH","EAST GODAVARI",1370,547,136,145,9,2207
"ANDHRA PRADESH","GUNTUR",10731,995,435,1195,35,13391
"ANDHRA PRADESH","KARIMNAGAR",198954,4768,2733,624,921,208000
"ANDHRA PRADESH","KHAMMAM",29858,3201,1615,3859,439,38972
"ANDHRA PRADESH","KRISHNA",10306,4438,432,1163,613,16952
"ANDHRA PRADESH","KURNOOL",24822,3950,2014,3492,464,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",74719,9769,2885,2956,1480,91809
"ANDHRA PRADESH","MEDAK",47880,2698,528,450,563,52119
"ANDHRA PRADESH","NALGONDA",98069,6747,2512,1159,904,109391
"ANDHRA PRADESH","NELLORE",27091,2440,1699,3714,295,35239
"ANDHRA PRADESH","NIZAMABAD",11219,5154,249,205,19,16846
"ANDHRA PRADESH","PRAKASAM",21145,2125,1292,2447,106,27115
"ANDHRA PRADESH","RANGAREDDY",25110,2606,1032,1013,279,30040
"ANDHRA PRADESH","SRIKAKULAM",25417,3431,3361,3692,488,36389
"ANDHRA PRADESH","VISAKHAPATNAM",22803,1640,936,833,143,26355
"ANDHRA PRADESH","VIZIANAGARAM",26972,2854,3033,2532,405,35796
"ANDHRA PRADESH","WARANGAL",137904,16483,2279,2399,1641,160706
"ANDHRA PRADESH","WEST GODAVARI",7780,2072,459,74,29,10414
"ARUNACHAL PRADESH","CHANGLANG",0,0,0,1,0,1
"ARUNACHAL PRADESH","EAST SIANG",0,0,0,1,0,1
"ARUNACHAL PRADESH","PAPUMPARE",0,0,0,2,0,2
"ASSAM","BARPETA",23,0,0,0,0,23
"ASSAM","CACHAR",0,0,0,0,1,1
"ASSAM","DHUBRI",11,3,0,0,0,14
"ASSAM","GOALPARA",8,3,0,3,6,20
"ASSAM","JORHAT",0,0,1,0,9,10
"ASSAM","KOKRAJHAR",0,0,0,4,0,4
"ASSAM","LAKHIMPUR",23,0,2,25,8,58
"ASSAM","MORIGAON",0,6,0,11,1,18
"ASSAM","NAGOAN",0,0,0,0,2,2
"ASSAM","SIBSAGAR",0,0,0,3,0,3
"ASSAM","SONITPUR",0,0,0,0,1,1
"BIHAR","AURANGABAD",3522,262,472,1840,107,6203
"BIHAR","BANKA",4336,168,291,2714,338,7847
"BIHAR","BHAGALPUR",2437,212,486,1725,28,4888
"BIHAR","BHOJPUR",2057,144,193,137,66,2597
"BIHAR","BUXAR",636,47,34,50,22,789
"BIHAR","EAST CHAMPARAN",2,0,0,0,20,22
"BIHAR","GAYA",11339,680,555,5133,175,17882
"BIHAR","GOPAALGANJ",3945,99,77,406,53,4580
"BIHAR","JAMUI",3884,91,179,4415,126,8695
"BIHAR","JEHANABAD",1681,362,79,319,96,2537
"BIHAR","KAIMUR (BHABUA)",7107,216,270,966,37,8596
"BIHAR","KATIHAR",4,10,0,1,0,15
"BIHAR","LAKHISARAI",807,24,48,248,8,1135
"BIHAR","MADHEPURA",0,2,1,1,0,4
"BIHAR","MADHUBANI",40,6,1,8,66,121
"BIHAR","MUNGER",2319,407,178,511,45,3460
"BIHAR","MUZAFFARPUR",78,11,1,16,2,108
"BIHAR","NALANDA",17923,478,541,1543,245,20730
"BIHAR","NAWADA",1685,393,1808,1511,66,5463
"BIHAR","PATNA",3752,265,206,669,79,4971
"BIHAR","ROHTAS(SASARAM)",4645,196,270,1437,91,6639
"BIHAR","SARAN",11079,280,189,237,196,11981
"BIHAR","SHEKHPURA",421,15,47,118,18,619
"BIHAR","SIWAN",12478,441,170,728,455,14272
"BIHAR","VAISHALI",927,34,42,18,2,1023
"CHHATTISGARH","BASTER",1754,233,624,827,525,3963
"CHHATTISGARH","BILASPUR",8864,578,327,480,29,10278
"CHHATTISGARH","DANTEWADA",127,55,77,263,151,673
"CHHATTISGARH","DHAMTARI",4127,430,513,452,297,5819
"CHHATTISGARH","DURG",4776,1104,849,1336,551,8616
"CHHATTISGARH","JANJGIR-CHAMPA",11897,490,303,513,45,13248
"CHHATTISGARH","JASHPUR",24736,279,432,830,97,26374
"CHHATTISGARH","KANKER",2932,251,977,1410,1926,7496
"CHHATTISGARH","KORBA",6551,47,173,146,73,6990
"CHHATTISGARH","KORIA",18153,66,103,196,8,18526
"CHHATTISGARH","KVARDHA",598,105,73,286,613,1675
"CHHATTISGARH","MAHASAMUND",2931,663,641,529,476,5240
"CHHATTISGARH","RAIGARH",14394,386,538,1543,108,16969
"CHHATTISGARH","RAIPUR",11053,1093,1053,1761,892,15852
"CHHATTISGARH","RAJNANDGAON",3671,708,941,1985,153,7458
"CHHATTISGARH","SURGUJA",52725,1168,697,883,333,55806
"DADRA & NAGAR HAVELI","DADRA & NAGAR HAVELI",158,98,182,115,19,572
"GOA","NORTH GOA",2440,129,240,292,647,3748
"GOA","SOUTH GOA",1075,159,43,57,34,1368
"GUJARAT","AHMEDABAD",12616,235,85,112,366,13414
"GUJARAT","AMRELI",80569,124,0,166,0,80859
"GUJARAT","ANAND",1913,72,4,9,3,2001
"GUJARAT","BANASKANTHA",38474,7996,1443,662,2366,50941
"GUJARAT","BHARUCH",3400,894,361,145,163,4963
"GUJARAT","BHAVNAGAR",113248,1564,415,19,2789,118035
"GUJARAT","DAHOD",27462,96,603,5786,73,34020
"GUJARAT","DANG",16,11,549,947,12,1535
"GUJARAT","GANDHINAGAR",32,3,0,0,0,35
"GUJARAT","JAMNAGAR",81380,1450,441,0,0,83271
"GUJARAT","JUNAGADH",106579,1977,25232,318,6,134112
"GUJARAT","KACHCHH",24555,1607,486,216,3662,30526
"GUJARAT","KHEDA",15036,89,103,508,66,15802
"GUJARAT","MEHSANA",6267,481,398,72,605,7823
"GUJARAT","NARMADA",2049,289,274,124,36,2772
"GUJARAT","NAVSARI",6059,1786,3347,735,878,12805
"GUJARAT","PANCHMAHAL",40959,289,1780,1288,121,44437
"GUJARAT","PATAN",66,20,6,0,0,92
"GUJARAT","PORBANDAR",20426,1048,291,49,493,22307
"GUJARAT","RAJKOT",95071,7430,768,225,190,103684
"GUJARAT","SABARKANTHA",67861,8985,4324,753,2564,84487
"GUJARAT","SURAT",20945,104,72,29,0,21150
"GUJARAT","SURENDRANAGAR",18124,1906,482,389,16214,37115
"GUJARAT","VADODARA",12729,4366,1211,1521,278,20105
"GUJARAT","VALSAD",4511,3154,147,1451,46,9309
"HARYANA","AMBALA",78,268,0,0,1,347
"HARYANA","BHIWANI",1217,1510,168,35,125,3055
"HARYANA","FATEHABAD",38,0,29,0,0,67
"HARYANA","GURGAON",2234,1676,190,95,1591,5786
"HARYANA","HISSAR",1,76,29,1,0,107
"HARYANA","JHAJJAR",305,1394,29,3,23,1754
"HARYANA","KAITHAL",255,460,26,0,20,761
"HARYANA","KARNAL",222,1166,197,1,3,1589
"HARYANA","MAHENDRAGARH",414,173,19,4,5,615
"HARYANA","PANCHKULA",28,30,5,0,29,92
"HARYANA","PANIPAT",198,377,137,0,7,719
"HARYANA","REWARI",482,46,1,2,136,667
"HARYANA","ROHTAK",11,183,10,5,3,212
"HARYANA","SIRSA",442,241,59,23,0,765
"HARYANA","SONEPAT",286,1276,46,21,32,1661
"HARYANA","YAMUNANAGAR",181,321,119,0,1,622
"HIMACHAL PRADESH","Bilaspur",26,2,0,4,3,35
"HIMACHAL PRADESH","Hamirpur",160,7,16,5,36,224
"HIMACHAL PRADESH","Kangra",248,3,5,0,0,256
"HIMACHAL PRADESH","Kullu",0,0,2,0,0,2
"HIMACHAL PRADESH","Mandi",10,0,0,0,0,10
"HIMACHAL PRADESH","Sirmaur",271,96,9,16,8,400
"HIMACHAL PRADESH","Solan",607,105,16,2,12,742
"HIMACHAL PRADESH","Una",136,71,16,1,3,227
"JAMMU & KASHMIR","ANANTNAG",1,0,0,0,1,2
"JAMMU & KASHMIR","BADGAM",1,0,0,0,0,1
"JAMMU & KASHMIR","BARAMULLA",26,0,0,1,2,29
"JAMMU & KASHMIR","JAMMU",876,134,264,9,81,1364
"JAMMU & KASHMIR","KATHUA",946,79,33,22,7,1087
"JAMMU & KASHMIR","RAJOURI",1,0,0,0,0,1
"JAMMU & KASHMIR","SRINAGAR",21,0,0,0,0,21
"JAMMU & KASHMIR","UDHAMPUR",9,0,0,3,1,13
"JHARKHAND","BOKARO",6851,141,142,6175,80,13389
"JHARKHAND","CHATRA",6928,233,710,7644,30,15545
"JHARKHAND","DEOGHAR",1525,77,485,10929,55,13071
"JHARKHAND","DHANBAD",2961,121,279,3466,125,6952
"JHARKHAND","DUMKA",2253,88,993,23357,320,27011
"JHARKHAND","EAST SINGHBHUM",102,2,21,1628,1,1754
"JHARKHAND","GARHWA",7357,70,294,12058,124,19903
"JHARKHAND","GIRIDIH",12603,403,730,10485,73,24294
"JHARKHAND","GODDA",6089,188,509,10759,123,17668
"JHARKHAND","GUMLA",8245,154,388,13863,828,23478
"JHARKHAND","HAZARIBAGH",27536,1425,2033,8641,110,39745
"JHARKHAND","JAMTARA",749,40,401,7244,4,8438
"JHARKHAND","KODERMA",1761,183,383,1526,13,3866
"JHARKHAND","LATEHAR",2098,310,275,9443,282,12408
"JHARKHAND","LOHARDAGA",4164,96,227,8944,125,13556
"JHARKHAND","PAKUR",12,2,14,460,2,490
"JHARKHAND","PALAMU",5608,174,272,13542,193,19789
"JHARKHAND","RANCHI",8529,314,344,29926,280,39393
"JHARKHAND","SAHEBGANJ",132,4,37,1504,7,1684
"JHARKHAND","SARAIKELA",410,16,77,2136,9,2648
"JHARKHAND","SIMDEGA",4264,89,133,9885,2031,16402
"JHARKHAND","WEST SINGHBHUM",114,7,65,1882,3,2071
"KARNATAKA","Bagalkote",7148,3219,328,73,863,11631
"KARNATAKA","Bangalore",499,85,32,8,104,728
"KARNATAKA","Bangalore Rural",7748,582,185,95,707,9317
"KARNATAKA","Belgaum",45966,13520,1722,411,4190,65809
"KARNATAKA","Bellary",1897,607,213,35,108,2860
"KARNATAKA","Bidar",12402,2214,322,34,971,15943
"KARNATAKA","Bijapur",29884,7125,1415,160,4527,43111
"KARNATAKA","Chamaraja Nagara",5901,836,295,14,282,7328
"KARNATAKA","Chikmagalur",666,411,104,63,56,1300
"KARNATAKA","Chitradurga",1673,378,47,15,201,2314
"KARNATAKA","Dakshina Kannada",19999,14202,1186,229,1309,36925
"KARNATAKA","Davanagere",415,197,31,29,115,787
"KARNATAKA","Dharwar",217,178,36,5,27,463
"KARNATAKA","Gadag",1384,596,95,4,122,2201
"KARNATAKA","Gulbarga",13848,1958,377,63,2822,19068
"KARNATAKA","Hassan",1197,364,73,38,87,1759
"KARNATAKA","Haveri",161,33,24,11,34,263
"KARNATAKA","Kodagu",32,66,23,0,1,122
"KARNATAKA","Kolar",8149,1130,250,80,1587,11196
"KARNATAKA","Koppal",1539,335,59,33,162,2128
"KARNATAKA","Mandya",5867,1616,185,22,811,8501
"KARNATAKA","Mysore",3024,823,629,10,102,4588
"KARNATAKA","Raichur",6421,3012,208,38,293,9972
"KARNATAKA","Shimoga",4599,2352,180,137,239,7507
"KARNATAKA","Tumkur",10853,2329,221,95,1266,14764
"KARNATAKA","Udupi",16914,9555,1006,118,1019,28612
"KARNATAKA","Uttara Kannada",9036,8182,1017,99,452,18786
"KERALA","ALAPPUZHA",1544,119,1024,1713,311,4711
"KERALA","ERANAKULAM",5538,2010,7573,1679,802,17602
"KERALA","IDDUKKI",696,1252,1835,1396,592,5771
