-----
{
 "description": "The table refers to District wise Distribution of Dugwells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.9.csv"
}
-----
"State","District","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Man/Animal operated","Others","Total"
"ANDAMAN & NICOBARS","NICOBAR",6,1,0,0,1,0,8
"ANDHRA PRADESH","ADILABAD",26129,716,4,0,535,6,27390
"ANDHRA PRADESH","ANANTHAPUR",50144,1163,194,11,1416,9,52937
"ANDHRA PRADESH","CHITTOOR",105604,5404,870,39,4575,131,116623
"ANDHRA PRADESH","CUDDAPAH",32159,8978,0,0,470,176,41783
"ANDHRA PRADESH","EAST GODAVARI",1298,829,4,0,71,5,2207
"ANDHRA PRADESH","GUNTUR",1700,4088,35,5,7551,12,13391
"ANDHRA PRADESH","KARIMNAGAR",201747,5143,149,6,953,2,208000
"ANDHRA PRADESH","KHAMMAM",29817,8075,0,16,527,537,38972
"ANDHRA PRADESH","KRISHNA",10757,5396,107,26,417,249,16952
"ANDHRA PRADESH","KURNOOL",27781,6105,176,30,612,38,34742
"ANDHRA PRADESH","MAHABOOBNAGAR",74358,16709,641,31,35,35,91809
"ANDHRA PRADESH","MEDAK",51719,175,71,4,150,0,52119
"ANDHRA PRADESH","NALGONDA",101614,1158,1916,544,3911,248,109391
"ANDHRA PRADESH","NELLORE",24212,9965,116,35,627,284,35239
"ANDHRA PRADESH","NIZAMABAD",16845,1,0,0,0,0,16846
"ANDHRA PRADESH","PRAKASAM",8593,3266,64,21,114,15057,27115
"ANDHRA PRADESH","RANGAREDDY",28528,497,843,23,133,16,30040
"ANDHRA PRADESH","SRIKAKULAM",5066,4422,366,26,26391,118,36389
"ANDHRA PRADESH","VISAKHAPATNAM",7189,9077,175,21,8786,1107,26355
"ANDHRA PRADESH","VIZIANAGARAM",6178,3304,211,30,25041,1032,35796
"ANDHRA PRADESH","WARANGAL",154042,2708,2307,130,1081,438,160706
"ANDHRA PRADESH","WEST GODAVARI",9878,529,3,0,0,4,10414
"ARUNACHAL PRADESH","CHANGLANG",0,1,0,0,0,0,1
"ARUNACHAL PRADESH","EAST SIANG",0,1,0,0,0,0,1
"ARUNACHAL PRADESH","PAPUMPARE",1,1,0,0,0,0,2
"ASSAM","BARPETA",1,22,0,0,0,0,23
"ASSAM","CACHAR",0,1,0,0,0,0,1
"ASSAM","DHUBRI",8,6,0,0,0,0,14
"ASSAM","GOALPARA",0,13,0,0,5,2,20
"ASSAM","JORHAT",0,10,0,0,0,0,10
"ASSAM","KOKRAJHAR",0,4,0,0,0,0,4
"ASSAM","LAKHIMPUR",0,58,0,0,0,0,58
"ASSAM","MORIGAON",0,18,0,0,0,0,18
"ASSAM","NAGOAN",0,2,0,0,0,0,2
"ASSAM","SIBSAGAR",0,3,0,0,0,0,3
"ASSAM","SONITPUR",0,1,0,0,0,0,1
"BIHAR","AURANGABAD",696,2671,176,66,2557,37,6203
"BIHAR","BANKA",36,4590,54,19,2899,249,7847
"BIHAR","BHAGALPUR",219,2767,18,4,1625,255,4888
"BIHAR","BHOJPUR",60,1838,58,6,608,27,2597
"BIHAR","BUXAR",1,447,1,0,327,13,789
"BIHAR","EAST CHAMPARAN",0,0,0,0,22,0,22
"BIHAR","GAYA",1235,11266,134,10,5110,127,17882
"BIHAR","GOPAALGANJ",747,813,20,17,2921,62,4580
"BIHAR","JAMUI",253,1869,69,26,6102,376,8695
"BIHAR","JEHANABAD",64,2019,12,12,430,0,2537
"BIHAR","KAIMUR (BHABUA)",2831,5555,68,2,119,21,8596
"BIHAR","KATIHAR",0,15,0,0,0,0,15
