-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,4,0,1,0,0,0,3,8
ANDHRA PRADESH,ADILABAD,ADILABAD,0,215,209,0,0,0,45,469
ANDHRA PRADESH,ADILABAD,ASIFABAD,0,67,2,0,0,1,0,70
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,1,281,121,0,0,0,0,403
ANDHRA PRADESH,ADILABAD,BEJJUR,12,29,74,0,0,0,207,322
ANDHRA PRADESH,ADILABAD,BELA,9,44,264,6,5,0,0,328
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,189,211,54,0,0,0,77,531
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,21,0,0,0,0,21
ANDHRA PRADESH,ADILABAD,BHEEMINI,0,97,177,0,0,0,0,274
ANDHRA PRADESH,ADILABAD,BOATH,0,6,88,0,0,0,0,94
ANDHRA PRADESH,ADILABAD,CHENNUR,57,234,81,0,0,0,0,372
ANDHRA PRADESH,ADILABAD,DAHEGAON,0,124,252,0,0,4,0,380
ANDHRA PRADESH,ADILABAD,DANDEPALLE,11,1617,162,3,0,3,0,1796
ANDHRA PRADESH,ADILABAD,DILAWARPUR,0,109,763,0,0,4,0,876
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,1,159,255,5,1,1,0,422
ANDHRA PRADESH,ADILABAD,ICHODA,7,189,329,0,0,1,0,526
ANDHRA PRADESH,ADILABAD,INDERAVELLY,6,292,441,1,1,2,0,743
ANDHRA PRADESH,ADILABAD,JAINAD,0,1,176,1,1,0,0,179
ANDHRA PRADESH,ADILABAD,JAINOOR,20,4,207,0,0,9,0,240
ANDHRA PRADESH,ADILABAD,JAIPUR,121,292,98,0,0,5,0,516
ANDHRA PRADESH,ADILABAD,JANNARAM,8,332,36,0,0,3,0,379
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,45,1665,53,1,0,1,0,1765
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,162,171,0,0,2,0,335
ANDHRA PRADESH,ADILABAD,KASIPET,17,124,21,0,1,0,0,163
ANDHRA PRADESH,ADILABAD,KERAMERI,0,150,31,0,2,0,0,183
ANDHRA PRADESH,ADILABAD,KHANPUR,11,2286,200,0,0,14,0,2511
ANDHRA PRADESH,ADILABAD,KOTAPALLE,10,76,42,0,0,0,0,128
ANDHRA PRADESH,ADILABAD,KOUTHALA,4,224,154,1,0,1,0,384
ANDHRA PRADESH,ADILABAD,KUBEER,0,15,39,0,0,0,0,54
ANDHRA PRADESH,ADILABAD,KUNTALA,0,10,16,0,0,0,0,26
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,1032,163,0,0,12,0,1207
ANDHRA PRADESH,ADILABAD,LOHESRA,0,0,159,0,0,1,0,160
ANDHRA PRADESH,ADILABAD,LUXETTIPET,1,1412,164,0,0,3,0,1580
ANDHRA PRADESH,ADILABAD,MAMDA,70,345,114,0,0,0,2,531
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1,1589,330,1,2,8,0,1931
ANDHRA PRADESH,ADILABAD,MANDAMARRI,2,444,142,2,5,2,0,597
ANDHRA PRADESH,ADILABAD,NARNOOR,10,269,325,3,0,0,0,607
ANDHRA PRADESH,ADILABAD,NENNAL,44,204,105,0,3,0,0,356
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,46,80,0,0,0,0,126
ANDHRA PRADESH,ADILABAD,NIRMAL,1,1278,481,0,0,0,1,1761
ANDHRA PRADESH,ADILABAD,REBBANA,0,129,1,0,0,0,178,308
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,133,63,0,0,0,0,196
ANDHRA PRADESH,ADILABAD,SIRPUR (T),7,183,155,0,0,5,0,350
ANDHRA PRADESH,ADILABAD,SIRPUR (U),0,41,343,0,3,0,0,387
ANDHRA PRADESH,ADILABAD,TALAMADUGU,22,373,388,0,0,0,30,813
ANDHRA PRADESH,ADILABAD,TAMSI,0,197,237,8,1,1,1,445
ANDHRA PRADESH,ADILABAD,TANDUR,1,55,160,0,0,2,0,218
ANDHRA PRADESH,ADILABAD,TIRYANI,5,43,135,0,0,1,0,184
ANDHRA PRADESH,ADILABAD,UTNUR,5,502,256,2,2,2,0,769
ANDHRA PRADESH,ADILABAD,VEMANPALLE,10,94,130,0,0,0,0,234
ANDHRA PRADESH,ADILABAD,WANKDI,0,9,127,0,0,0,4,140
ANDHRA PRADESH,ANANTHAPUR,AGALI,10,0,690,247,0,3,12,962
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,2,319,613,8,2,0,10,954
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,0,0,451,60,2,0,2,515
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,0,36,460,66,45,0,9,616
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,659,56,0,0,1,716
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,0,0,525,75,0,1,8,609
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,0,0,421,24,0,0,1,446
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,0,0,172,9,0,0,48,229
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,13,10,667,4,0,0,1,695
