-----
{
 "description": "The table refers to Block wise Distribution of Dugwells according to Average Pumping Hours. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.11.csv", 
 "title": "Download CSV for Blockwise Distribution of Dugwells according to Average Pumping Hours", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.11.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Avg pumping hours (0-4),Avg pumping hours (4 - 8),Avg pumping hours (8-12),Avg pumping hours (12 -16),Avg pumping hours (16 - 20),Avg pumping hours (20 - 24),Total
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,8,0,0,0,0,0,8
ANDHRA PRADESH,ADILABAD,ADILABAD,368,32,13,8,10,38,469
ANDHRA PRADESH,ADILABAD,ASIFABAD,34,36,0,0,0,0,70
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,321,40,42,0,0,0,403
ANDHRA PRADESH,ADILABAD,BEJJUR,322,0,0,0,0,0,322
ANDHRA PRADESH,ADILABAD,BELA,281,44,2,1,0,0,328
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,519,8,4,0,0,0,531
ANDHRA PRADESH,ADILABAD,BHAINSA,21,0,0,0,0,0,21
ANDHRA PRADESH,ADILABAD,BHEEMINI,274,0,0,0,0,0,274
ANDHRA PRADESH,ADILABAD,BOATH,64,29,1,0,0,0,94
ANDHRA PRADESH,ADILABAD,CHENNUR,254,115,3,0,0,0,372
ANDHRA PRADESH,ADILABAD,DAHEGAON,373,4,0,0,1,2,380
ANDHRA PRADESH,ADILABAD,DANDEPALLE,983,647,164,1,0,1,1796
ANDHRA PRADESH,ADILABAD,DILAWARPUR,154,722,0,0,0,0,876
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,397,20,3,0,0,2,422
ANDHRA PRADESH,ADILABAD,ICHODA,479,45,1,0,0,1,526
ANDHRA PRADESH,ADILABAD,INDERAVELLY,726,14,0,0,1,2,743
ANDHRA PRADESH,ADILABAD,JAINAD,48,99,32,0,0,0,179
ANDHRA PRADESH,ADILABAD,JAINOOR,240,0,0,0,0,0,240
ANDHRA PRADESH,ADILABAD,JAIPUR,237,97,95,5,0,82,516
ANDHRA PRADESH,ADILABAD,JANNARAM,357,19,0,0,2,1,379
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,1648,98,15,0,1,3,1765
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,328,4,0,0,0,3,335
ANDHRA PRADESH,ADILABAD,KASIPET,70,46,39,7,1,0,163
ANDHRA PRADESH,ADILABAD,KERAMERI,164,17,2,0,0,0,183
ANDHRA PRADESH,ADILABAD,KHANPUR,2112,393,1,1,1,3,2511
ANDHRA PRADESH,ADILABAD,KOTAPALLE,78,50,0,0,0,0,128
ANDHRA PRADESH,ADILABAD,KOUTHALA,353,28,0,0,0,3,384
ANDHRA PRADESH,ADILABAD,KUBEER,25,29,0,0,0,0,54
ANDHRA PRADESH,ADILABAD,KUNTALA,7,14,5,0,0,0,26
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,393,804,10,0,0,0,1207
ANDHRA PRADESH,ADILABAD,LOHESRA,2,157,1,0,0,0,160
ANDHRA PRADESH,ADILABAD,LUXETTIPET,955,620,3,0,2,0,1580
ANDHRA PRADESH,ADILABAD,MAMDA,154,377,0,0,0,0,531
ANDHRA PRADESH,ADILABAD,MANCHERIAL,794,952,183,1,0,1,1931
ANDHRA PRADESH,ADILABAD,MANDAMARRI,130,465,2,0,0,0,597
