-----
{
 "description": "The table refers to Block wise Dugwells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwldistr1.8.csv", 
 "title": "Download CSV for Blockwise Dugwells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dgwldistr1.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Sprinkler,Drip Irrigation,Open channel,Under ground channel,Others,Total,,,,,,,,
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,0,0,0,8,8,,,,,,,,
ANDHRA PRADESH,ADILABAD,ADILABAD,226,39,105,66,33,469,,,,,,,,
ANDHRA PRADESH,ADILABAD,ASIFABAD,1,0,68,1,0,70,,,,,,,,
ANDHRA PRADESH,ADILABAD,BAZARHATHNOOR,90,136,137,20,20,403,,,,,,,,
ANDHRA PRADESH,ADILABAD,BEJJUR,0,0,321,1,0,322,,,,,,,,
ANDHRA PRADESH,ADILABAD,BELA,174,14,53,81,6,328,,,,,,,,
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,15,1,382,6,127,531,,,,,,,,
ANDHRA PRADESH,ADILABAD,BHAINSA,0,0,21,0,0,21,,,,,,,,
ANDHRA PRADESH,ADILABAD,BHEEMINI,1,2,271,0,0,274,,,,,,,,
ANDHRA PRADESH,ADILABAD,BOATH,6,0,61,25,2,94,,,,,,,,
ANDHRA PRADESH,ADILABAD,CHENNUR,13,0,294,27,38,372,,,,,,,,
ANDHRA PRADESH,ADILABAD,DAHEGAON,15,2,343,10,10,380,,,,,,,,
ANDHRA PRADESH,ADILABAD,DANDEPALLE,126,3,1405,237,25,1796,,,,,,,,
ANDHRA PRADESH,ADILABAD,DILAWARPUR,190,1,613,69,3,876,,,,,,,,
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,24,2,137,46,213,422,,,,,,,,
ANDHRA PRADESH,ADILABAD,ICHODA,107,0,168,68,183,526,,,,,,,,
ANDHRA PRADESH,ADILABAD,INDERAVELLY,30,3,214,19,477,743,,,,,,,,
ANDHRA PRADESH,ADILABAD,JAINAD,148,0,13,13,5,179,,,,,,,,
ANDHRA PRADESH,ADILABAD,JAINOOR,44,9,93,46,48,240,,,,,,,,
ANDHRA PRADESH,ADILABAD,JAIPUR,18,1,322,18,157,516,,,,,,,,
ANDHRA PRADESH,ADILABAD,JANNARAM,8,0,276,40,55,379,,,,,,,,
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,69,0,1606,81,9,1765,,,,,,,,
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,9,0,325,1,0,335,,,,,,,,
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,115,45,3,163,,,,,,,,
ANDHRA PRADESH,ADILABAD,KERAMERI,8,22,102,47,4,183,,,,,,,,
ANDHRA PRADESH,ADILABAD,KHANPUR,129,3,2377,2,0,2511,,,,,,,,
ANDHRA PRADESH,ADILABAD,KOTAPALLE,0,0,111,14,3,128,,,,,,,,
ANDHRA PRADESH,ADILABAD,KOUTHALA,67,0,288,5,24,384,,,,,,,,
ANDHRA PRADESH,ADILABAD,KUBEER,0,0,54,0,0,54,,,,,,,,
ANDHRA PRADESH,ADILABAD,KUNTALA,0,0,26,0,0,26,,,,,,,,
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,41,5,881,189,91,1207,,,,,,,,
ANDHRA PRADESH,ADILABAD,LOHESRA,1,1,31,127,0,160,,,,,,,,
ANDHRA PRADESH,ADILABAD,LUXETTIPET,130,14,1205,230,1,1580,,,,,,,,
ANDHRA PRADESH,ADILABAD,MAMDA,41,0,8,382,100,531,,,,,,,,
ANDHRA PRADESH,ADILABAD,MANCHERIAL,125,2,1460,60,284,1931,,,,,,,,
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,596,0,1,597,,,,,,,,
ANDHRA PRADESH,ADILABAD,NARNOOR,74,86,287,20,140,607,,,,,,,,
ANDHRA PRADESH,ADILABAD,NENNAL,11,0,238,0,107,356,,,,,,,,
ANDHRA PRADESH,ADILABAD,NERADIGONDA,3,0,53,47,23,126,,,,,,,,
ANDHRA PRADESH,ADILABAD,NIRMAL,154,6,1292,227,82,1761,,,,,,,,
ANDHRA PRADESH,ADILABAD,REBBANA,0,0,308,0,0,308,,,,,,,,
ANDHRA PRADESH,ADILABAD,SARANGAPUR,0,0,193,1,2,196,,,,,,,,
ANDHRA PRADESH,ADILABAD,SIRPUR (T),7,2,320,15,6,350,,,,,,,,
ANDHRA PRADESH,ADILABAD,SIRPUR (U),84,1,197,1,104,387,,,,,,,,
ANDHRA PRADESH,ADILABAD,TALAMADUGU,611,19,183,0,0,813,,,,,,,,
ANDHRA PRADESH,ADILABAD,TAMSI,268,14,157,1,5,445,,,,,,,,
ANDHRA PRADESH,ADILABAD,TANDUR,66,24,89,17,22,218,,,,,,,,
ANDHRA PRADESH,ADILABAD,TIRYANI,37,13,82,15,37,184,,,,,,,,
ANDHRA PRADESH,ADILABAD,UTNUR,113,84,325,2,245,769,,,,,,,,
ANDHRA PRADESH,ADILABAD,VEMANPALLE,39,5,180,1,9,234,,,,,,,,
ANDHRA PRADESH,ADILABAD,WANKDI,0,0,140,0,0,140,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,AGALI,40,2,917,0,3,962,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,AMADAGUR,25,2,909,18,0,954,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,AMARAPURAM,5,0,509,1,0,515,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,ANANTAPUR,7,1,484,124,0,616,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,ATMAKUR,0,0,716,0,0,716,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BATHALAPALLE,8,2,510,89,0,609,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BELUGUPPA,3,0,443,0,0,446,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BOMMANAHAL,1,0,224,4,0,229,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BRAHMASAMUDRAM,7,0,680,8,0,695,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BUKKAPATNAM,3,0,1,0,902,906,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,BUKKARAYASAMUDRAM,5,1,1816,0,0,1822,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,CHENNE KOTHAPALLE,19,1,761,0,0,781,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,CHILAMATHUR,9,3,1335,1,0,1348,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,D.HIRCHAL,0,1,611,1,0,613,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,DHARMAVARAM,5,1,1653,0,2,1661,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GANDLAPENTA,2,2,730,8,51,793,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GARLADINNE,99,33,535,54,0,721,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GOOTY,9,1,411,65,0,486,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GORANTLA,12,0,1204,2,0,1218,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GUDIBANDA,2,0,634,5,3,644,,,,,,,,
ANDHRA PRADESH,ANANTHAPUR,GUMMAGATTA,3,0,696,13,0,712,,,,,,,,
