-----
{
 "description": "The table refers to Block wise Construction of Deep Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.1.csv", 
 "title": "Download CSV for Blockwise Construction of Deep Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
ANDHRA PRADESH,ADILABAD,CHENNUR,19,1,0,0,0,0,0,0,20
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,0,0,0,3,0,0,3
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,1,1,1,14,17
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,22,0,0,0,2,0,1,0,25
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,0,2,0,0,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,1,0,0,0,0,0,1
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,170,3,19,117,55,125,53,19,561
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,121,37,56,114,123,170,115,92,828
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,44,33,24,56,71,57,43,10,338
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,88,1,57,79,139,64,131,63,622
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,53,116,1,0,0,0,0,0,170
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,35,4,1,3,7,9,6,11,76
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,0,0,0,4,26,31,33,6,100
ANDHRA PRADESH,CHITTOOR,CHITTOOR,145,82,65,8,44,57,8,5,414
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,138,22,58,95,38,81,78,86,596
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,485,330,259,138,38,19,18,9,1296
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,65,19,91,116,173,288,192,85,1029
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,10,46,63,94,109,127,51,10,510
ANDHRA PRADESH,CHITTOOR,GUDIPALA,7,23,49,77,29,46,50,6,287
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,207,96,95,145,107,69,44,60,823
ANDHRA PRADESH,CHITTOOR,IRALA,188,172,63,42,82,45,114,68,774
ANDHRA PRADESH,CHITTOOR,K V P PURAM,60,0,0,0,2,4,3,13,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,1,0,2,0,0,9,49,82,143
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,1,0,0,0,10,8,2,21
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,10,3,10,5,3,124,88,0,243
ANDHRA PRADESH,CHITTOOR,KUPPAM,40,146,167,277,281,349,114,20,1394
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,40,18,19,46,100,163,102,106,594
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,111,72,74,172,149,90,28,15,711
