-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government Funds,Farmer's saving,Loan & Saving,Subsidy & Bank loan,Others,Total
ANDHRA PRADESH,ADILABAD,CHENNUR,7,13,0,0,0,20
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,1,0,2,0,0,3
ANDHRA PRADESH,ADILABAD,JAIPUR,0,0,0,0,17,17
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,22,3,0,0,0,25
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,2,0,0,0,0,2
ANDHRA PRADESH,ADILABAD,SIRPUR (T),0,0,0,1,0,1
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,484,76,1,0,0,561
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,12,761,52,1,2,828
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,105,221,11,1,0,338
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,72,525,22,3,0,622
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,170,0,0,0,0,170
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,3,68,4,1,0,76
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,1,98,1,0,0,100
ANDHRA PRADESH,CHITTOOR,CHITTOOR,248,159,5,2,0,414
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,167,329,99,1,0,596
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,797,498,0,1,0,1296
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,173,810,41,4,1,1029
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,29,305,161,15,0,510
ANDHRA PRADESH,CHITTOOR,GUDIPALA,14,272,1,0,0,287
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,250,529,32,12,0,823
ANDHRA PRADESH,CHITTOOR,IRALA,124,642,2,6,0,774
ANDHRA PRADESH,CHITTOOR,K V P PURAM,74,6,0,2,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,20,121,2,0,0,143
ANDHRA PRADESH,CHITTOOR,KALIKIRI,0,21,0,0,0,21
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,231,6,2,4,0,243
ANDHRA PRADESH,CHITTOOR,KUPPAM,81,830,443,40,0,1394
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,8,581,5,0,0,594
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,17,661,23,10,0,711
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,85,216,29,8,66,404
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,188,219,41,2,3,453
ANDHRA PRADESH,CHITTOOR,PAKALA,2,0,0,0,0,2
ANDHRA PRADESH,CHITTOOR,PALAMANER,80,222,47,21,5,375
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,43,143,0,0,0,186
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,357,383,40,1,0,781
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,140,145,17,0,101,403
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,6,1145,2,2,0,1155
ANDHRA PRADESH,CHITTOOR,PENUMURU,407,566,37,9,0,1019
ANDHRA PRADESH,CHITTOOR,PICHATUR,53,13,0,0,0,66
ANDHRA PRADESH,CHITTOOR,PILERU,135,290,0,0,0,425
ANDHRA PRADESH,CHITTOOR,PULICHERLA,147,735,0,0,0,882
ANDHRA PRADESH,CHITTOOR,PUNGANUR,387,937,82,9,73,1488
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,4,101,2,0,0,107
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,54,122,1,0,0,177
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,601,533,35,36,3,1208
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,803,7,43,0,0,853
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,25,695,673,1,0,1394
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,64,0,1,0,0,65
ANDHRA PRADESH,CHITTOOR,SODAM,11,578,87,0,0,676
ANDHRA PRADESH,CHITTOOR,SOMALA,7,612,13,8,0,640
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,2,11,0,0,0,13
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,48,23,0,0,0,71
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,150,309,9,0,0,468
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,213,898,632,3,0,1746
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,0,1,0,0,0,1
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,0,0,0,0,5,5
ANDHRA PRADESH,CHITTOOR,VAYALPAD,190,397,9,81,51,728
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,0,195,0,0,0,195
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,313,560,111,6,64,1054
ANDHRA PRADESH,CHITTOOR,YADAMARI,511,176,1,5,0,693
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,58,91,0,0,0,149
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,35,531,9,4,16,595
ANDHRA PRADESH,CUDDAPAH,ATLUR,100,424,10,13,0,547
