-----
{
 "description": "The table refers to Block wise Distribution of Deep Tubewells according to Water Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwldistr3.8.csv", 
 "title": "Download CSV for Blockwise Distribution of Deep Tubewells according to Water Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwldistr3.8.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Submersible pumps,Turbine pumps,Others,Total
ANDHRA PRADESH,ADILABAD,CHENNUR,20,0,0,20
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,3,0,0,3
ANDHRA PRADESH,ADILABAD,JAIPUR,16,0,1,17
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,25,0,0,25
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,2,0,0,2
ANDHRA PRADESH,ADILABAD,SIRPUR (T),1,0,0,1
ANDHRA PRADESH,ANANTHAPUR,TANAKAL,560,0,1,561
ANDHRA PRADESH,CHITTOOR,B KOTHAKOTA,821,2,5,828
ANDHRA PRADESH,CHITTOOR,BAIREDDI PALLE,338,0,0,338
ANDHRA PRADESH,CHITTOOR,BANGARUPALEM,565,1,56,622
ANDHRA PRADESH,CHITTOOR,BUCHINAIDU KHANDRIGA,170,0,0,170
ANDHRA PRADESH,CHITTOOR,CHANDRAGIRI,76,0,0,76
ANDHRA PRADESH,CHITTOOR,CHINNAGOTTIGALLU,100,0,0,100
ANDHRA PRADESH,CHITTOOR,CHITTOOR,396,0,18,414
ANDHRA PRADESH,CHITTOOR,CHOWDEPALLE,596,0,0,596
ANDHRA PRADESH,CHITTOOR,GANGADHARA NELLORE,1295,0,1,1296
ANDHRA PRADESH,CHITTOOR,GANGAVARAM,1013,4,12,1029
ANDHRA PRADESH,CHITTOOR,GUDI PALLE,510,0,0,510
ANDHRA PRADESH,CHITTOOR,GUDIPALA,286,0,1,287
ANDHRA PRADESH,CHITTOOR,GURRAMKONDA,819,1,3,823
ANDHRA PRADESH,CHITTOOR,IRALA,756,0,18,774
ANDHRA PRADESH,CHITTOOR,K V P PURAM,82,0,0,82
ANDHRA PRADESH,CHITTOOR,KALAKADA,142,0,1,143
ANDHRA PRADESH,CHITTOOR,KALIKIRI,21,0,0,21
ANDHRA PRADESH,CHITTOOR,KAMBHAMVARIPALLE,241,0,2,243
ANDHRA PRADESH,CHITTOOR,KUPPAM,1394,0,0,1394
ANDHRA PRADESH,CHITTOOR,KURABALAKOTA,584,2,8,594
ANDHRA PRADESH,CHITTOOR,MANDANPALLE,708,0,3,711
ANDHRA PRADESH,CHITTOOR,MULAKALACHERUVU,401,1,2,404
ANDHRA PRADESH,CHITTOOR,NIMMANAPALLE,451,0,2,453
ANDHRA PRADESH,CHITTOOR,PAKALA,2,0,0,2
ANDHRA PRADESH,CHITTOOR,PALAMANER,373,0,2,375
ANDHRA PRADESH,CHITTOOR,PALASAMUDRAM,186,0,0,186
ANDHRA PRADESH,CHITTOOR,PEDDA PANJANI,776,1,4,781
ANDHRA PRADESH,CHITTOOR,PEDDAMANDYAM,396,4,3,403
ANDHRA PRADESH,CHITTOOR,PEDDATHIPPASAMUDRAM,1154,1,0,1155
ANDHRA PRADESH,CHITTOOR,PENUMURU,967,46,6,1019
ANDHRA PRADESH,CHITTOOR,PICHATUR,66,0,0,66
ANDHRA PRADESH,CHITTOOR,PILERU,423,1,1,425
ANDHRA PRADESH,CHITTOOR,PULICHERLA,864,0,18,882
ANDHRA PRADESH,CHITTOOR,PUNGANUR,1476,2,10,1488
ANDHRA PRADESH,CHITTOOR,PUTHALAPATTU,94,0,13,107
ANDHRA PRADESH,CHITTOOR,RAMA KUPPAM,176,0,1,177
ANDHRA PRADESH,CHITTOOR,RAMASAMUDRAM,1195,9,4,1208
ANDHRA PRADESH,CHITTOOR,ROMPICHERLA,820,0,33,853
ANDHRA PRADESH,CHITTOOR,SANTHI PURAM,1394,0,0,1394
ANDHRA PRADESH,CHITTOOR,SATYAVEDU,63,0,2,65
ANDHRA PRADESH,CHITTOOR,SODAM,669,4,3,676
ANDHRA PRADESH,CHITTOOR,SOMALA,637,0,3,640
ANDHRA PRADESH,CHITTOOR,SRIKALAHASTI,13,0,0,13
ANDHRA PRADESH,CHITTOOR,SRIRANGARAJAPURAM,71,0,0,71
ANDHRA PRADESH,CHITTOOR,THAMBALLAPALLE,465,0,3,468
ANDHRA PRADESH,CHITTOOR,THAVANAMPALLE,1716,0,30,1746
ANDHRA PRADESH,CHITTOOR,TIRUPATI RURAL,1,0,0,1
ANDHRA PRADESH,CHITTOOR,TIRUPATI URBAN,5,0,0,5
ANDHRA PRADESH,CHITTOOR,VAYALPAD,563,52,113,728
ANDHRA PRADESH,CHITTOOR,VEDURU KUPPAM,195,0,0,195
ANDHRA PRADESH,CHITTOOR,VENKATAGIRI KOTA,1024,24,6,1054
ANDHRA PRADESH,CHITTOOR,YADAMARI,691,0,2,693
ANDHRA PRADESH,CHITTOOR,YERRAVARIPALEM,148,1,0,149
ANDHRA PRADESH,CUDDAPAH,A.KASINAYANI,595,0,0,595
ANDHRA PRADESH,CUDDAPAH,ATLUR,547,0,0,547
ANDHRA PRADESH,CUDDAPAH,B KODUR,483,0,0,483
ANDHRA PRADESH,CUDDAPAH,BADVEL,423,0,0,423
ANDHRA PRADESH,CUDDAPAH,BRAHMAMGARIMATTAM,850,0,0,850
ANDHRA PRADESH,CUDDAPAH,CHAKRAYAPET,98,0,0,98
ANDHRA PRADESH,CUDDAPAH,CHENNUR,31,0,0,31
ANDHRA PRADESH,CUDDAPAH,CHINNAMANDEM,257,0,0,257
ANDHRA PRADESH,CUDDAPAH,CHINTHA KOMMADINNE,718,0,0,718
ANDHRA PRADESH,CUDDAPAH,CHITVEL,810,0,0,810
ANDHRA PRADESH,CUDDAPAH,CUDDAPAH,160,0,0,160
ANDHRA PRADESH,CUDDAPAH,DUVVUR,833,0,0,833
ANDHRA PRADESH,CUDDAPAH,GALIVEEDU,290,0,0,290
ANDHRA PRADESH,CUDDAPAH,GOPAVARAM,130,0,0,130
ANDHRA PRADESH,CUDDAPAH,JAMMALAMADUGU,21,0,0,21
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,973,0,0,973
ANDHRA PRADESH,CUDDAPAH,KAMALAPURAM,90,0,0,90
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,493,0,0,493
ANDHRA PRADESH,CUDDAPAH,KODUR,695,0,0,695
ANDHRA PRADESH,CUDDAPAH,KONDAPURAM,71,0,0,71
ANDHRA PRADESH,CUDDAPAH,LINGALA,711,0,0,711
ANDHRA PRADESH,CUDDAPAH,MUDDANUR,607,0,0,607
ANDHRA PRADESH,CUDDAPAH,MYLAVARAM,48,0,0,48
ANDHRA PRADESH,CUDDAPAH,NANDALUR,219,0,0,219
ANDHRA PRADESH,CUDDAPAH,OBULAVARIPALLE,1212,0,0,1212
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,107,0,0,107
ANDHRA PRADESH,CUDDAPAH,PENAGALURU,734,0,0,734
ANDHRA PRADESH,CUDDAPAH,PENDLIMARRI,255,0,0,255
ANDHRA PRADESH,CUDDAPAH,PORUMAMILLA,777,0,0,777
ANDHRA PRADESH,CUDDAPAH,PULIVENDLA,678,0,0,678
ANDHRA PRADESH,CUDDAPAH,PULLAMPETA,1318,0,0,1318
ANDHRA PRADESH,CUDDAPAH,RAJAMPET,910,0,0,910
ANDHRA PRADESH,CUDDAPAH,RAMAPURAM,177,0,0,177
ANDHRA PRADESH,CUDDAPAH,RAYACHOTI,157,0,0,157
ANDHRA PRADESH,CUDDAPAH,S MYDUKUR,233,0,0,233
ANDHRA PRADESH,CUDDAPAH,SAMBEPALLE,287,0,0,287
ANDHRA PRADESH,CUDDAPAH,SIMHADRIPURAM,605,0,0,605
ANDHRA PRADESH,CUDDAPAH,T SUNDUPALLE,225,0,0,225
ANDHRA PRADESH,CUDDAPAH,THANDUR,489,0,0,489
ANDHRA PRADESH,CUDDAPAH,VALLUR,118,0,0,118
ANDHRA PRADESH,CUDDAPAH,VEERABALLE,65,0,0,65
ANDHRA PRADESH,CUDDAPAH,VEERAPUNAYUNIPALLE,72,0,0,72
ANDHRA PRADESH,CUDDAPAH,VEMPALLE,116,0,0,116
ANDHRA PRADESH,CUDDAPAH,VEMULA,814,0,0,814
ANDHRA PRADESH,CUDDAPAH,VONTIMITTA,700,0,0,700
ANDHRA PRADESH,CUDDAPAH,YERRAGUNTLA,78,0,0,78
ANDHRA PRADESH,EAST GODAVARI,ANAPARTHI,80,0,0,80
ANDHRA PRADESH,EAST GODAVARI,BICCAVOLU,200,0,0,200
ANDHRA PRADESH,EAST GODAVARI,GANDEPALLE,997,0,1,998
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,9,0,1,10
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,218,13,0,231
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,4,2,0,6
ANDHRA PRADESH,EAST GODAVARI,KAPILESWARAPURAM,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,1,0,0,1
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,449,0,0,449
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,87,0,0,87
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,268,0,1,269
ANDHRA PRADESH,EAST GODAVARI,PITHAPURAM,10,0,0,10
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,53,7,0,60
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),256,0,1,257
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,873,0,2,875
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,382,1,3,386
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,5,0,0,5
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,8,0,0,8
ANDHRA PRADESH,EAST GODAVARI,SEETHANAGARAM,102,0,0,102
ANDHRA PRADESH,EAST GODAVARI,THONDANGI,52,0,0,52
ANDHRA PRADESH,GUNTUR,DACHEPALLE,2,0,0,2
ANDHRA PRADESH,GUNTUR,DURGI,707,2,260,969
ANDHRA PRADESH,GUNTUR,MACHERLA,445,0,4,449
