-----
{
 "description": "The table refers to District wise Deep Tubewells according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.7.csv", 
 "title": "Download CSV for Districtwise Deep Tubewells according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.7.csv"
}
-----
"State","District","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH","ADILABAD",20,0,48,0,0,68
"ANDHRA PRADESH","ANANTHAPUR",1,1,333,226,0,561
"ANDHRA PRADESH","CHITTOOR",1072,527,19343,7452,539,28933
"ANDHRA PRADESH","CUDDAPAH",193,76,18691,1277,43,20280
"ANDHRA PRADESH","EAST GODAVARI",14,24,4011,3,35,4087
"ANDHRA PRADESH","GUNTUR",20,29,993,587,825,2454
"ANDHRA PRADESH","KARIMNAGAR",15,0,168,13,142,338
"ANDHRA PRADESH","KHAMMAM",14,15,972,109,2,1112
"ANDHRA PRADESH","KRISHNA",14,7,907,16,11,955
"ANDHRA PRADESH","KURNOOL",53,44,2091,303,86,2577
"ANDHRA PRADESH","MEDAK",0,2,130,345,62,539
"ANDHRA PRADESH","NALGONDA",26,1,12,9,14,62
"ANDHRA PRADESH","NELLORE",3,8,315,5,2,333
"ANDHRA PRADESH","NIZAMABAD",0,0,4,6,0,10
"ANDHRA PRADESH","PRAKASAM",10,3,1199,430,52,1694
"ANDHRA PRADESH","RANGAREDDY",179,37,1091,108,138,1553
"ANDHRA PRADESH","SRIKAKULAM",5,4,47,1,0,57
"ANDHRA PRADESH","VISAKHAPATNAM",1,0,7,0,0,8
"ANDHRA PRADESH","WARANGAL",71,12,570,133,1,787
"ANDHRA PRADESH","WEST GODAVARI",507,110,18013,2311,133,21074
"ARUNACHAL PRADESH","PAPUMPARE",0,0,3,0,0,3
"ASSAM","BARPETA",0,3,8,0,0,11
"ASSAM","BONGAIGAON",0,0,0,17,0,17
"ASSAM","CACHAR",0,0,2,0,0,2
"ASSAM","DARRANG",0,1,25,82,23,131
"ASSAM","DHEMAJI",2,1,0,12,0,15
"ASSAM","DHUBRI",0,0,13,3,0,16
"ASSAM","DIBRUGARH",1,0,0,8,0,9
"ASSAM","GOALPARA",0,0,11,18,0,29
"ASSAM","GOLAGHAT",3,0,12,3,0,18
"ASSAM","HAILAKANDI",0,0,0,7,0,7
"ASSAM","JORHAT",11,2,37,44,7,101
"ASSAM","KAMRUP",16,3,11,3,0,33
"ASSAM","KARBIANGLONG",2,0,1,0,0,3
"ASSAM","KARIMGANJ",2,0,0,9,0,11
"ASSAM","KOKRAJHAR",0,0,0,4,0,4
"ASSAM","LAKHIMPUR",0,3,9,83,0,95
"ASSAM","MORIGAON",0,0,2,7,0,9
"ASSAM","NAGOAN",8,5,9,0,0,22
"ASSAM","NALBARI",4,0,13,15,12,44
"ASSAM","NC HILLS",1,0,0,0,0,1
"ASSAM","SIBSAGAR",0,0,5,13,3,21
"ASSAM","SONITPUR",2,0,3,3,0,8
"ASSAM","TINSUKIA",7,0,1,145,0,153
"BIHAR","AURANGABAD",10,2,70,5,9,96
"BIHAR","BANKA",0,0,3,0,0,3
"BIHAR","BEGUSARAI",1,1,191,59,0,252
"BIHAR","BHAGALPUR",12,14,114,15,0,155
"BIHAR","BHOJPUR",30,5,87,16,4,142
"BIHAR","BUXAR",6,2,126,19,2,155
"BIHAR","DARBHANGA",7,1,192,13,3,216
"BIHAR","EAST CHAMPARAN",14,1,224,40,3,282
"BIHAR","GAYA",0,0,47,10,2,59
"BIHAR","GOPAALGANJ",4,14,25,12,1,56
"BIHAR","JAMUI",0,0,3,0,0,3
"BIHAR","JEHANABAD",6,1,27,2,0,36
"BIHAR","KAIMUR (BHABUA)",23,4,108,12,0,147
"BIHAR","KATIHAR",1,4,23,39,0,67
"BIHAR","KHAGARIA",1,1,118,6,0,126
"BIHAR","KISHANGANJ",0,0,8,2,0,10
"BIHAR","LAKHISARAI",5,0,20,20,0,45
"BIHAR","MADHEPURA",1,0,32,1,1,35
"BIHAR","MADHUBANI",31,3,575,14,19,642
"BIHAR","MUNGER",0,0,2,0,0,2
"BIHAR","MUZAFFARPUR",18,5,212,10,4,249
"BIHAR","NALANDA",14,9,145,18,2,188
"BIHAR","NAWADA",3,10,121,14,2,150
"BIHAR","PATNA",32,6,224,40,6,308
"BIHAR","PURNIA",1,0,2,0,0,3
"BIHAR","ROHTAS(SASARAM)",2,5,79,2,0,88
"BIHAR","SAHARSA",0,0,15,0,0,15
"BIHAR","SAMASTIPUR",17,7,207,22,4,257
"BIHAR","SARAN",7,0,129,15,0,151
"BIHAR","SHEKHPURA",1,2,125,12,1,141
"BIHAR","SHEOHAR",0,0,19,0,0,19
"BIHAR","SITAMARHI",1,119,956,39,733,1848
"BIHAR","SIWAN",12,0,89,3,1,105
"BIHAR","SUPAUL",0,4,38,0,0,42
"BIHAR","VAISHALI",3,23,28,13,3,70
"BIHAR","WEST CHAMPARAN",2,2,20,3,0,27
"CHANDIGARH","UT CHANDIGARH",0,0,18,39,0,57
"CHHATTISGARH","BASTER",1,0,2,1,0,4
"CHHATTISGARH","BILASPUR",884,5,402,0,101,1392
"CHHATTISGARH","DANTEWADA",0,0,3,0,0,3
"CHHATTISGARH","DHAMTARI",0,0,8,0,0,8
"CHHATTISGARH","DURG",9,4,161,0,16,190
"CHHATTISGARH","JANJGIR-CHAMPA",1639,2,681,1,358,2681
"CHHATTISGARH","JASHPUR",0,0,1,0,0,1
"CHHATTISGARH","KANKER",0,0,6,0,0,6
"CHHATTISGARH","KORIA",2,0,2,0,0,4
"CHHATTISGARH","KVARDHA",11,1,28,0,30,70
"CHHATTISGARH","MAHASAMUND",0,0,2,0,2,4
"CHHATTISGARH","RAIGARH",98,3,514,0,27,642
"CHHATTISGARH","RAIPUR",2,1,87,23,21,134
"CHHATTISGARH","RAJNANDGAON",1,0,12,1,3,17
"CHHATTISGARH","SURGUJA",4,0,65,2,0,71
"DELHI","MAHRAULI",36,4,365,68,3,476
"DELHI","NAJAFGARH",28,4,81,54,2,169
"GOA","NORTH GOA",10,1,34,3,9,57
"GOA","SOUTH GOA",0,1,2,0,0,3
"GUJARAT","AHMEDABAD",64,20,2814,3531,257,6686
"GUJARAT","AMRELI",0,0,5559,0,0,5559
"GUJARAT","ANAND",32,6,125,2160,22,2345
"GUJARAT","BANASKANTHA",95,35,13269,7153,591,21143
"GUJARAT","BHARUCH",2,0,69,135,1,207
"GUJARAT","BHAVNAGAR",0,0,0,4,0,4
"GUJARAT","DANG",0,0,0,1,0,1
"GUJARAT","GANDHINAGAR",4,0,1059,6911,16,7990
"GUJARAT","JUNAGADH",81,17,7119,2,2,7221
"GUJARAT","KACHCHH",18,4,618,584,34,1258
"GUJARAT","KHEDA",12,1,2108,135,4,2260
"GUJARAT","MEHSANA",160,29,709,9002,38,9938
"GUJARAT","NARMADA",23,9,200,218,11,461
"GUJARAT","NAVSARI",0,0,199,2,1,202
"GUJARAT","PANCHMAHAL",0,0,0,14,0,14
"GUJARAT","PATAN",492,12,4449,1016,155,6124
"GUJARAT","PORBANDAR",18,4,754,0,0,776
"GUJARAT","RAJKOT",59,26,3227,3497,314,7123
"GUJARAT","SABARKANTHA",13,0,790,347,161,1311
"GUJARAT","SURAT",0,0,0,19,0,19
"GUJARAT","SURENDRANAGAR",216,62,6404,2792,828,10302
"GUJARAT","VADODARA",10,2,195,3022,9,3238
