-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dptbwlstate3.9.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/dptbwlstate3.9.csv"
}
-----
"State","District","Horse Power (0 - 6)","Horse Power (6 - 12)","Horse Power (12 - 18)","Horse Power ( > 18)","Total"
"ANDHRA PRADESH","ADILABAD",40,27,0,1,68
"ANDHRA PRADESH","ANANTHAPUR",48,512,1,0,561
"ANDHRA PRADESH","CHITTOOR",11572,17196,68,97,28933
"ANDHRA PRADESH","CUDDAPAH",3430,16378,472,0,20280
"ANDHRA PRADESH","EAST GODAVARI",183,1614,1827,463,4087
"ANDHRA PRADESH","GUNTUR",2380,71,1,2,2454
"ANDHRA PRADESH","KARIMNAGAR",256,23,18,41,338
"ANDHRA PRADESH","KHAMMAM",879,232,1,0,1112
"ANDHRA PRADESH","KRISHNA",492,254,114,95,955
"ANDHRA PRADESH","KURNOOL",892,1683,2,0,2577
"ANDHRA PRADESH","MEDAK",530,9,0,0,539
"ANDHRA PRADESH","NALGONDA",36,9,0,17,62
"ANDHRA PRADESH","NELLORE",305,27,1,0,333
"ANDHRA PRADESH","NIZAMABAD",6,4,0,0,10
"ANDHRA PRADESH","PRAKASAM",1476,43,2,173,1694
"ANDHRA PRADESH","RANGAREDDY",1550,2,0,1,1553
"ANDHRA PRADESH","SRIKAKULAM",44,13,0,0,57
"ANDHRA PRADESH","VISAKHAPATNAM",7,1,0,0,8
"ANDHRA PRADESH","WARANGAL",732,50,2,3,787
"ANDHRA PRADESH","WEST GODAVARI",3225,10139,7133,577,21074
"ARUNACHAL PRADESH","PAPUMPARE",2,1,0,0,3
"ASSAM","BARPETA",4,0,1,6,11
"ASSAM","BONGAIGAON",0,0,0,17,17
"ASSAM","CACHAR",0,2,0,0,2
"ASSAM","DARRANG",69,1,0,61,131
"ASSAM","DHEMAJI",3,0,0,12,15
"ASSAM","DHUBRI",11,1,0,4,16
"ASSAM","DIBRUGARH",7,0,0,2,9
"ASSAM","GOALPARA",3,2,0,24,29
"ASSAM","GOLAGHAT",2,0,2,14,18
"ASSAM","HAILAKANDI",0,0,5,2,7
"ASSAM","JORHAT",21,2,10,68,101
"ASSAM","KAMRUP",3,7,1,22,33
"ASSAM","KARBIANGLONG",1,2,0,0,3
"ASSAM","KARIMGANJ",1,2,0,8,11
"ASSAM","KOKRAJHAR",0,0,0,4,4
"ASSAM","LAKHIMPUR",11,0,0,84,95
"ASSAM","MORIGAON",2,0,0,7,9
"ASSAM","NAGOAN",3,2,2,15,22
"ASSAM","NALBARI",2,6,0,36,44
"ASSAM","NC HILLS",0,0,0,1,1
"ASSAM","SIBSAGAR",2,0,0,19,21
"ASSAM","SONITPUR",0,2,0,6,8
"ASSAM","TINSUKIA",0,114,1,38,153
"BIHAR","AURANGABAD",47,21,11,17,96
"BIHAR","BANKA",1,2,0,0,3
"BIHAR","BEGUSARAI",9,10,113,120,252
"BIHAR","BHAGALPUR",14,8,21,112,155
"BIHAR","BHOJPUR",40,6,30,66,142
"BIHAR","BUXAR",15,10,79,51,155
"BIHAR","DARBHANGA",8,38,45,125,216
"BIHAR","EAST CHAMPARAN",51,78,65,88,282
"BIHAR","GAYA",20,18,5,16,59
"BIHAR","GOPAALGANJ",23,6,23,4,56
"BIHAR","JAMUI",3,0,0,0,3
"BIHAR","JEHANABAD",4,4,1,27,36
"BIHAR","KAIMUR (BHABUA)",3,20,39,85,147
"BIHAR","KATIHAR",7,2,46,12,67
"BIHAR","KHAGARIA",13,2,67,44,126
"BIHAR","KISHANGANJ",6,0,2,2,10
"BIHAR","LAKHISARAI",3,1,14,27,45
"BIHAR","MADHEPURA",8,6,9,12,35
"BIHAR","MADHUBANI",581,26,20,15,642
"BIHAR","MUNGER",0,0,0,2,2
"BIHAR","MUZAFFARPUR",44,60,62,83,249
"BIHAR","NALANDA",93,15,14,66,188
"BIHAR","NAWADA",92,25,17,16,150
"BIHAR","PATNA",54,23,72,159,308
"BIHAR","PURNIA",1,0,0,2,3
"BIHAR","ROHTAS(SASARAM)",3,14,18,53,88
"BIHAR","SAHARSA",0,0,0,15,15
"BIHAR","SAMASTIPUR",8,11,38,200,257
"BIHAR","SARAN",103,21,2,25,151
"BIHAR","SHEKHPURA",44,8,11,78,141
"BIHAR","SHEOHAR",5,3,0,11,19
"BIHAR","SITAMARHI",1609,149,31,59,1848
"BIHAR","SIWAN",25,15,12,53,105
