-----
{
 "description": "The table presents estimated number of unincorporated non-agricultural enterprises in different States and UTs. The percentage share indicated in column 11 has been calculated for all enterprises in the combined sector and all other columns has been ranked accordingly on the basis of descending ...", 
 "file_name": "estdnoEntrp.csv", 
 "title": "Download CSV for Estimated number of enterprises in different States/UTs", 
 "url": "http://data.gov.in/sites/default/files/estdnoEntrp.csv"
}
-----
"State/UT","Rural Own Account Enterprises","Rural Establishment","All Rural","Urban Own Account Enterprises","Urban Establishment","All Urban","Rural Own Account Enterprises + Urban Own Account Enterprises","Rural Establishment + Urban Establishment","All Rural + All Urban","% Share"
"Uttar Pradesh",4448590,276634,4725225,3000750,657494,3658245,7449340,934129,8383469,14.54
"West Bengal",4419182,296942,4716124,1990990,580888,2571878,6410173,877829,7288001,12.64
"Andhra Pradesh",3046796,246293,3293090,1830143,476979,2307121,4876939,723273,5600211,9.71
"Maharashtra",1780248,145686,1925935,2427433,803110,3230544,4207682,948797,5156479,8.94
"Tamil Nadu",1441566,232127,1673693,2073604,719727,2793331,3515171,951854,4467024,7.75
"Gujarat",831929,96866,928795,2241038,465257,2706296,3072967,562125,3635091,6.3
"Karnataka",1322446,89202,1411647,978803,420797,1399599,2301248,509999,2811247,4.87
"Madhya Pradesh",1238465,90610,1329075,1063680,201645,1265325,2302146,292255,2594400,4.5
"Odisha",1858503,127780,1986284,367679,90854,458533,2226182,218634,2444818,4.24
"Bihar",1715471,99818,1815288,396286,97032,493317,2111758,196850,2308608,4
"Rajasthan",990745,109258,1100002,830995,211438,1042433,1821740,320695,2142435,3.71
"Kerala",957194,226212,1183404,455876,223006,678882,1413068,449218,1862286,3.23
"Punjab",477700,84083,561783,662979,218270,881249,1140678,302353,1443030,2.5
"Jharkhand",817730,71992,889722,242985,61702,304686,1060715,133694,1194408,2.07
"Assam",798820,126176,924996,142951,83119,226070,941770,209295,1151065,2
"Delhi",19741,8022,27764,599639,496690,1096328,619380,504712,1124091,1.95
"Haryana",377514,58539,436054,481177,139501,620678,858693,198040,1056732,1.83
"Chhattisgarh",385137,32446,417583,177356,81424,258780,562495,113869,676364,1.17
"Jammu & Kashmir",291164,60038,351202,196042,50586,246628,487206,110624,597830,1.04
"Uttaranchal",245708,47622,293329,115730,56015,171745,361438,103637,465075,0.81
"Tripura",313277,39246,352524,40359,5380,45739,353637,44626,398263,0.69
"Himachal Pradesh",240988,37858,278847,50762,20138,70899,291750,57996,349745,0.61
"Manipur",71210,2324,73532,46274,4023,50296,117483,6346,123829,0.21
"Meghalaya",61756,19987,81743,9533,6264,15798,71289,26252,97541,0.17
"Puducherry",6854,1572,8426,38804,12931,51735,45659,14502,60161,0.1
"Chandigarh",4257,955,5212,44526,5708,50235,48784,6663,55446,0.1
"Goa",20482,6106,26588,15132,12555,27688,35614,18662,54276,0.09
"Nagaland",15828,2276,18103,7801,1864,9666,23628,4141,27769,0.05
"Sikkim",14259,1745,16006,9065,2035,11100,23325,3781,27105,0.05
"Arunachal Pradesh",10436,1331,11767,6724,3048,9772,17160,4378,21538,0.04
"Mizoram",7112,677,7788,9543,3309,12851,16655,3985,20640,0.04
"A & N. Islands",7024,998,8020,4179,2426,6605,11203,3424,14626,0.03
"Dadra & Nagar Haveli",4209,1873,6081,1778,1461,3237,5985,3333,9319,0.02
"Daman & Diu",2713,1602,4316,3266,931,4197,5980,2534,8513,0.01
"Lakshadweep",958,180,1140,589,137,726,1549,317,1865,0
"All India",28246017,2645076,30891094,20564470,6217742,26782213,48810487,8862818,57673305,100
