-----
{
 "description": "The table presents estimated number of workers in unincorporated non-agricultural in all sector for each states/UTs by sector and enterprise type. The percentage share indicated in column 11 has been calculated for all enterprises in the combined sector and the table has been ranked on the basis of ...", 
 "file_name": "estdnoWrkr.csv", 
 "title": "Download CSV for Estimated number of Workers in different States/UTs", 
 "url": "http://data.gov.in/sites/default/files/estdnoWrkr.csv"
}
-----
"State/UT","Rural Own Account Enterprises","Rural Establishment","All Rural","Urban Own Account Enterprises","Urban Establishment","All Urban","Rural Own Account Enterprises + Urban Own Account Enterprises","Rural Establishment + Urban Establishment","All Rural + All Urban","% Share"
"Uttar Pradesh",6454115,1807649,8261765,4611385,2905401,7516786,11065500,4713050,15778550,14.61
"Andhra Pradesh",6119068,1215716,7334784,2800958,2076380,4877338,8920026,3292096,12212121,11.31
"West Bengal",5670074,1333377,7003451,2414414,2441794,4856207,8084488,3775171,11859658,10.98
"Maharashtra",2733046,652036,3385082,3294805,3457333,6752138,6027851,4109370,10137220,9.39
"Tamil Nadu",1988934,1065190,3054123,2682807,3327789,6010595,4671740,4392978,9064719,8.39
"Gujarat",1140057,525143,1665200,2906079,2398878,5304957,4046136,2924021,6970157,6.46
"Karnataka",1796455,414406,2210861,1329675,1849035,3178710,3126130,2263440,5389570,4.99
"Odisha",3594270,432555,4026824,542769,362753,905522,4137039,795307,4932346,4.57
"Madhya Pradesh",1769832,374233,2144065,1498393,798786,2297179,3268225,1173019,4441244,4.11
"Kerala",1360212,861500,2221711,624291,957838,1582129,1984503,1819338,3803841,3.52
"Rajasthan",1260883,461102,1721985,1156134,903637,2059770,2417017,1364738,3781755,3.5
"Bihar",2250166,280696,2530861,560758,344989,905747,2810924,625685,3436609,3.18
"Delhi",27576,34797,62372,738410,2018648,2757058,765986,2053445,2819430,2.61
"Punjab",561166,298592,859758,815885,871872,1687757,1377051,1170464,2547515,2.36
"Haryana",478060,290476,768536,603786,530014,1133800,1081845,820490,1902336,1.76
"Assam",1046781,351212,1397993,178305,268268,446573,1225086,619480,1844566,1.71
"Jharkhand",1114642,219928,1334571,295617,198563,494181,1410260,418492,1828751,1.69
"Chhattisgarh",669297,135083,804380,257994,298898,556892,927291,433981,1361272,1.26
"Jammu & Kashmir",376039,204232,580271,233286,193715,427001,609325,397947,1007272,0.93
"Uttaranchal",307842,152328,460170,145308,196910,342219,453151,349238,802389,0.74
"Himachal Pradesh",312082,135711,447793,68623,81087,149710,380704,216798,597503,0.55
"Tripura",347119,97788,444906,46223,16392,62615,393341,114180,507521,0.47
"Manipur",102156,10926,113081,58946,15819,74764,161101,26744,187846,0.17
"Meghalaya",84337,52255,136592,14315,20279,34593,98651,72534,171185,0.16
"Puducherry",12011,12705,24716,53668,56042,109710,65680,68747,134427,0.12
"Goa",28320,16386,44707,16817,43874,60691,45137,60260,105397,0.1
"Chandigarh",669297,135083,804380,257994,298898,556892,927291,433981,1361272,0.09
"Sikkim",22568,10411,32979,13217,7335,20552,35785,17746,53531,0.05
"Nagaland",19399,8630,28029,9819,9204,19023,29218,17834,47052,0.04
"Mizoram",10364,1989,12353,14063,19023,33086,24427,21012,45439,0.04
"Arunachal Pradesh",15037,4964,20001,8617,10286,18903,23654,15250,38904,0.04
"A & N. Islands",11307,3578,14885,5853,11521,17375,17160,15099,32260,0.03
"Dadra & N. Haveli",5994,6986,12980,2513,7418,9931,8507,14404,22911,0.02
"Daman & Diu",4069,6325,10394,3800,4047,7847,7870,10372,18241,0.02
"Lakshadweep",1611,563,2174,926,400,1326,2537,964,3501,0
"All India",41699618,11482687,53182304,28064412,26732158,54796570,69764030,38214845,107978875,100
