-----
{
 "description": "The table refers to the state's gross domestic product at constant prices for the base year 1993-94.", 
 "file_name": "goaGSDPconst.csv", 
 "title": "Download CSV for Goa Gross State Domestic Product at factor cost at Constant Prices for the base year 1993-94", 
 "url": "http://data.gov.in/sites/default/files/goaGSDPconst.csv"
}
-----
"Sector","1993-1994","1994-1995","1995-1996","1996-1997","1997-1998","1998-1999","1999-2000","2000-2001","2001-2002","2002-2003","2003-2004","2004-2005"
"Agriculture","25085","24867","24967","26805","23888","27837","31227","27382","30106","31316","35636","38253"
"Foresty and Logging","1123","1207","1274","1122","1160","835","970","1071","1226","1293","1258","1367"
"Fishing","9231","7869","7447","7239","9786","6662","5830","6772","6861","6016","7876","7562"
"Mining and Quarrying","15165","17926","17194","16020","21275","20426","15133","14691","15029","17094","19244","21149"
"Sub total of primary","50604","51869","50882","51186","56109","55760","53160","49916","53222","55719","64014","68331"
"Manufacturing","57364","49870","55191","67833","68892","104297","118882","124813","137407","154090","113825","126695"
"Registered","45453","37785","43112","55758","56445","86427","99895","104567","116606","122090","90267","101006"
"Unregistered","11911","12085","12079","12075","12447","17870","18987","20246","20801","32000","23558","25689"
"Construction","10587","12750","11512","14763","15499","20033","20280","26818","31873","33745","35438","36988"
"Electricity, Gas and water Supply","4368","4691","4827","5065","5233","6674","6926","7209","8825","10310","8945","10352"
"Sub total of secondary","72319","67311","71530","87661","89624","131004","146088","158840","178105","198145","158208","174035"
"Transport Storage and Communication","36353","36087","35319","36800","35534","42495","41478","43773","51572","58910","69811","69702"
"Railways","394","436","476","3019","222","1000","1090","1713","1856","2323","2386","2391"
"Transport by other means","34582","34214","33072","31176","32031","38401","36960","37974","43199","46831","53874","53734"
"Storage","75","78","74","71","75","82","85","95","119","147","147","147"
"Communication","1302","1359","1697","2534","3206","3012","3343","3991","6398","9609","13404","13430"
"Trade, hotels and restaurants","22339","34953","35730","42464","42405","64610","52630","63106","74463","85632","48768","48862"
"Banking and Insurance","14009","16569","32168","46983","46196","41467","46610","33245","34153","39096","40552","40631"
"Real estate, ownership of dwelling and business","16359","17015","17531","18191","19632","21059","22698","25243","28245","32022","37055","44069"
"Pubic Administration","10550","10415","10522","11863","13661","17119","17289","17682","18151","19919","24065","24111"
"Other Services","17135","17299","16873","16735","17572","19675","21521","24346","26990","28135","18198","18233"
"Sub total of tertiary","116745","132338","148143","173036","175000","206425","202226","207395","233574","263714","238449","245608"
"State domestic product","239668","251518","270555","311883","320732","393188","401475","416152","464900","517578","460671","487974"

"Figures are in Rs. Lakh"
