-----
{
 "description": "The table refers to District wise Construction of Shallow Tubewells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.1.csv", 
 "title": "Download CSV for Districtwise Construction of Shallow Tubewells over the years", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.1.csv"
}
-----
"State","District","Upto 1993-94","During 1994-95","During 1995-96","During 1996-97","During 1997-98","During 1998-99","During 1999-00","During 2000-01","Total (1994-01)"
"ANDHRA PRADESH","ADILABAD",3224,2743,2289,1926,1945,1571,1000,495,15193
"ANDHRA PRADESH","ANANTHAPUR",16635,2586,2285,3146,2591,3192,2007,1522,33964
"ANDHRA PRADESH","CHITTOOR",6472,1398,1793,1823,1718,2897,2567,1181,19849
"ANDHRA PRADESH","CUDDAPAH",8628,910,992,1675,1561,1579,1114,600,17059
"ANDHRA PRADESH","EAST GODAVARI",16150,1759,1752,1350,846,900,522,244,23523
"ANDHRA PRADESH","GUNTUR",14742,944,583,853,884,436,450,300,19192
"ANDHRA PRADESH","KARIMNAGAR",5755,1023,1127,1179,1868,2987,1921,1618,17478
"ANDHRA PRADESH","KHAMMAM",2845,833,844,986,786,842,417,179,7732
"ANDHRA PRADESH","KRISHNA",10629,889,705,774,671,731,563,452,15414
"ANDHRA PRADESH","KURNOOL",5508,1310,1543,1936,1970,1817,1402,570,16056
"ANDHRA PRADESH","MAHABOOBNAGAR",17189,6450,9600,12007,10915,9722,7267,3952,77102
"ANDHRA PRADESH","MEDAK",19927,8219,11379,12497,12722,13078,7322,3407,88551
"ANDHRA PRADESH","NALGONDA",15763,5826,6506,6342,6737,6827,5593,2036,55630
"ANDHRA PRADESH","NELLORE",16845,2859,2841,2310,1764,1547,1186,731,30083
"ANDHRA PRADESH","NIZAMABAD",36457,12588,11746,12520,11749,7028,3259,1524,96871
"ANDHRA PRADESH","PRAKASAM",6697,1337,1707,2459,2223,3203,2884,1341,21851
"ANDHRA PRADESH","RANGAREDDY",12731,4157,4582,4423,3987,3247,2045,875,36047
"ANDHRA PRADESH","SRIKAKULAM",4665,359,600,289,232,191,276,108,6720
"ANDHRA PRADESH","VISAKHAPATNAM",5204,627,334,507,228,263,190,133,7486
"ANDHRA PRADESH","VIZIANAGARAM",3760,238,232,227,239,404,328,228,5656
"ANDHRA PRADESH","WARANGAL",7743,2759,2678,2659,3545,4482,3065,2083,29014
