-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Shallow Tubewells . The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Shallow Tubewells", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"ANDHRA PRADESH","ADILABAD",18824,17887,8983,203,98,27170
"ANDHRA PRADESH","ANANTHAPUR",64466,45147,30847,13341,126,89461
"ANDHRA PRADESH","CHITTOOR",26377,18651,18136,1303,36,38126
"ANDHRA PRADESH","CUDDAPAH",41787,39616,27851,1213,66,68746
"ANDHRA PRADESH","EAST GODAVARI",54445,26637,22847,19628,1285,70397
"ANDHRA PRADESH","GUNTUR",24250,15555,3321,9297,27,28199
"ANDHRA PRADESH","KARIMNAGAR",18195,17005,12587,211,145,29949
"ANDHRA PRADESH","KHAMMAM",13411,12722,3231,0,0,15953
"ANDHRA PRADESH","KRISHNA",28086,17787,5907,2872,7402,33967
"ANDHRA PRADESH","KURNOOL",29483,27084,19227,901,68,47280
"ANDHRA PRADESH","MAHABOOBNAGAR",86630,82729,57428,3889,574,144620
"ANDHRA PRADESH","MEDAK",80698,67876,44650,8040,555,121121
"ANDHRA PRADESH","NALGONDA",54210,45043,30836,4292,906,81076
"ANDHRA PRADESH","NELLORE",46475,25630,27901,5212,4200,62943
"ANDHRA PRADESH","NIZAMABAD",120010,113297,73824,3749,421,191290
"ANDHRA PRADESH","PRAKASAM",39735,31237,15612,3052,170,50072
"ANDHRA PRADESH","RANGAREDDY",43497,34633,22877,2223,363,60096
"ANDHRA PRADESH","SRIKAKULAM",9886,3393,6195,1696,67,11352
"ANDHRA PRADESH","VISAKHAPATNAM",12029,4615,3239,5816,44,13715
"ANDHRA PRADESH","VIZIANAGARAM",9467,2476,5603,2906,281,11266
"ANDHRA PRADESH","WARANGAL",31990,27032,17752,407,652,45843
"ANDHRA PRADESH","WEST GODAVARI",37600,21373,17780,8867,1081,49101
"ASSAM","BARPETA",19170,12196,9412,615,564,22787
"ASSAM","BONGAIGAON",9965,5760,3919,180,484,10343
"ASSAM","DARRANG",12689,8372,7262,4055,5280,24969
"ASSAM","DHEMAJI",2614,1627,930,28,60,2645
"ASSAM","DHUBRI",17516,10094,9844,70,688,20696
"ASSAM","DIBRUGARH",7722,4182,4169,8,2,8361
"ASSAM","GOALPARA",4628,3346,2850,50,974,7220
"ASSAM","GOLAGHAT",6800,3704,3135,363,11,7213
"ASSAM","HAILAKANDI",12,7,6,0,0,13
"ASSAM","JORHAT",2877,2149,805,37,185,3175
"ASSAM","KAMRUP",11901,5003,6544,93,326,11967
"ASSAM","KARBIANGLONG",130,66,66,0,0,132
"ASSAM","KARIMGANJ",16,13,3,0,0,16
"ASSAM","KOKRAJHAR",3292,3018,2337,4,26,5384
"ASSAM","LAKHIMPUR",2738,2008,1120,34,88,3251
"ASSAM","MORIGAON",18479,7877,7316,411,3380,18983
