-----
{
 "description": "The table refers to District wise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.14.csv", 
 "title": "Download CSV for Districtwise Shallow Tubewells in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.14.csv"
}
-----
"State","District","Location of Tubewell (Nos) - Inside Command","Location of Tubewell (Nos) - Outside Command","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total.1"
"ANDHRA PRADESH","ADILABAD",62,15131,15193,63,20,22,0,105
"ANDHRA PRADESH","ANANTHAPUR",1221,32743,33964,1292,810,581,0,2683
"ANDHRA PRADESH","CHITTOOR",0,19849,19849,1,1,0,0,1
"ANDHRA PRADESH","CUDDAPAH",890,16169,17059,1508,29,0,0,1536
"ANDHRA PRADESH","EAST GODAVARI",6779,16744,23523,8849,6880,2232,47,18007
"ANDHRA PRADESH","GUNTUR",1331,17861,19192,480,119,62,0,662
"ANDHRA PRADESH","KARIMNAGAR",472,17006,17478,10,24,1,0,35
"ANDHRA PRADESH","KHAMMAM",80,7652,7732,149,5,0,0,154
"ANDHRA PRADESH","KRISHNA",4936,10478,15414,6470,710,309,1448,8937
"ANDHRA PRADESH","KURNOOL",106,15950,16056,128,40,0,0,168
"ANDHRA PRADESH","MAHABOOBNAGAR",41,77061,77102,97,22,42,0,161
"ANDHRA PRADESH","MEDAK",0,88551,88551,0,0,0,0,0
"ANDHRA PRADESH","NALGONDA",1178,54452,55630,232,166,118,2,519
"ANDHRA PRADESH","NELLORE",6220,23863,30083,3642,4832,665,59,9198
"ANDHRA PRADESH","NIZAMABAD",13496,83375,96871,18279,1448,0,4,19731
"ANDHRA PRADESH","PRAKASAM",672,21179,21851,1036,1277,41,16,2369
"ANDHRA PRADESH","RANGAREDDY",44,36003,36047,27,41,0,0,68
"ANDHRA PRADESH","SRIKAKULAM",2426,4294,6720,466,698,256,3,1422
"ANDHRA PRADESH","VISAKHAPATNAM",713,6773,7486,461,80,657,0,1198
"ANDHRA PRADESH","VIZIANAGARAM",147,5509,5656,69,10,10,6,95
"ANDHRA PRADESH","WARANGAL",74,28940,29014,42,38,3,0,83
"ANDHRA PRADESH","WEST GODAVARI",5259,10629,15888,3030,3414,1860,761,9065
"ASSAM","BARPETA",29,9753,9782,0,0,0,0,0
"ASSAM","BONGAIGAON",9,6265,6274,0,0,0,0,0
"ASSAM","DARRANG",13,5860,5873,1,0,1,1,2
