-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH","ADILABAD",10,14778,14788,20,26677,26697,9,24400,24409
"ANDHRA PRADESH","ANANTHAPUR",133,32870,33003,469,87130,87599,360,67404,67765
"ANDHRA PRADESH","CHITTOOR",791,18339,19130,1413,35309,36722,886,27884,28770
"ANDHRA PRADESH","CUDDAPAH",15,16698,16713,238,67690,67927,226,57738,57964
"ANDHRA PRADESH","EAST GODAVARI",109,23014,23123,387,68971,69359,383,60145,60528
"ANDHRA PRADESH","GUNTUR",32,19069,19101,70,28022,28092,65,26682,26747
"ANDHRA PRADESH","KARIMNAGAR",69,16950,17019,102,29141,29243,88,24238,24326
"ANDHRA PRADESH","KHAMMAM",124,7266,7390,291,15023,15314,235,10961,11196
"ANDHRA PRADESH","KRISHNA",334,13204,13538,824,28596,29420,729,25093,25822
"ANDHRA PRADESH","KURNOOL",110,15432,15542,426,45702,46129,362,40697,41058
"ANDHRA PRADESH","MAHABOOBNAGAR",457,74091,74548,658,140983,141641,486,94044,94530
"ANDHRA PRADESH","MEDAK",30,86552,86582,43,118954,118997,32,96379,96411
"ANDHRA PRADESH","NALGONDA",83,54482,54565,100,79791,79891,85,54123,54208
"ANDHRA PRADESH","NELLORE",84,28946,29030,190,60940,61130,170,53357,53527
"ANDHRA PRADESH","NIZAMABAD",57,95891,95948,131,190114,190245,130,181535,181665
"ANDHRA PRADESH","PRAKASAM",119,21157,21276,1366,46081,47447,1129,15440,16569
