-----
{
 "description": "The table refers to District wise Distribution of Shallow Tubewells according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltbstate2.2.csv", 
 "title": "Download CSV for Districtwise Distribution of Shallow Tubewells according to ownership", 
 "url": "http://data.gov.in/sites/default/files/shltbstate2.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH","ADILABAD",0,6,4,1,15177,5,15193
"ANDHRA PRADESH","ANANTHAPUR",86,19,31,1367,32438,23,33964
"ANDHRA PRADESH","CHITTOOR",155,14,648,485,18524,23,19849
"ANDHRA PRADESH","CUDDAPAH",9,5,5,1285,15734,21,17059
"ANDHRA PRADESH","EAST GODAVARI",17,91,2,141,23254,18,23523
"ANDHRA PRADESH","GUNTUR",19,13,5,1643,17501,11,19192
"ANDHRA PRADESH","KARIMNAGAR",67,1,4,173,17232,1,17478
"ANDHRA PRADESH","KHAMMAM",51,34,49,54,7543,1,7732
"ANDHRA PRADESH","KRISHNA",296,52,1,321,14719,25,15414
"ANDHRA PRADESH","KURNOOL",94,44,3,240,15660,15,16056
"ANDHRA PRADESH","MAHABOOBNAGAR",305,117,49,3487,73111,33,77102
"ANDHRA PRADESH","MEDAK",28,5,3,888,87499,128,88551
"ANDHRA PRADESH","NALGONDA",20,56,11,2343,53113,87,55630
"ANDHRA PRADESH","NELLORE",28,56,2,1008,28954,35,30083
"ANDHRA PRADESH","NIZAMABAD",19,37,7,1841,94850,117,96871
"ANDHRA PRADESH","PRAKASAM",157,7,17,2571,19067,32,21851
"ANDHRA PRADESH","RANGAREDDY",108,28,29,3201,32659,22,36047
"ANDHRA PRADESH","SRIKAKULAM",378,5,1,281,6052,3,6720
"ANDHRA PRADESH","VISAKHAPATNAM",38,16,35,668,6719,10,7486
"ANDHRA PRADESH","VIZIANAGARAM",107,21,2,276,5247,3,5656
"ANDHRA PRADESH","WARANGAL",11,6,18,249,28710,20,29014
"ANDHRA PRADESH","WEST GODAVARI",6,0,0,31,15838,13,15888
"ASSAM","BARPETA",0,0,0,2,9780,0,9782
"ASSAM","BONGAIGAON",0,0,0,2,6271,1,6274
"ASSAM","DARRANG",0,0,1,1,5869,2,5873
"ASSAM","DHEMAJI",37,0,0,1,1101,1,1140
"ASSAM","DHUBRI",4,1,0,6,9800,14,9825
