-----
{
 "description": "The table refers to Statewise Distribution of Shallow Tubewells according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "shltubeNat2.10.csv", 
 "title": "Download CSV for Statewise Distribution of Shallow Tubewells according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/shltubeNat2.10.csv"
}
-----
"State","Horse Power (0-2)","Horse Power (2 - 4)","Horse Power (4 - 6)","Horse Power (6 -8)","Horse Power (8 - 10)","Horse Power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH",11511,76836,521777,27328,8807,3032,7068,656359
"ASSAM",44,189,77468,168,54,184,557,78664
"BIHAR",3360,16317,538811,72560,6855,531,12949,651383
"CHHATTISGARH",1771,17000,56188,796,366,334,10120,86575
"GOA",4,8,12,3,1,0,2,30
"GUJARAT",440,2433,20901,10031,9650,7017,2723,53195
"HARYANA",1802,4281,74597,173386,78414,30477,13395,376352
"HIMACHAL PRADESH",168,513,1047,713,84,83,41,2649
"JAMMU & KASHMI R",2,16,1228,80,28,5,14,1373
"JHARKHAND",75,236,712,17,6,2,76,1124
"KARNATAKA",6917,60886,333396,95556,25641,2924,7028,532348
"KERALA",3113,781,333,78,45,14,316,4680
"MADHYA PRADESH",1642,40553,200823,20239,8136,1543,6088,279024
"MAHARASHTRA",1470,25527,22576,2127,1780,360,5580,59420
"MANIPUR",0,0,0,0,0,3,0,3
"MEGHALAYA",0,0,72,0,3,0,0,75
"NAGALAND",0,0,2,0,0,0,0,2
"ORISSA",7563,11656,20433,478,494,109,3148,43881
"PUNJAB",8018,225475,466246,300734,41776,21483,3385,1067117
"RAJASTHAN",497,628,17273,70394,17125,5108,1831,112856
"TAMIL NADU",1011,5031,83715,29919,12488,16506,2580,151250
"TRIPURA",497,42,118,11,20,55,435,1178
"UTTAR PRADESH",20114,24521,442630,2033744,865952,29340,109242,3525543
"UTTARANCHAL",80,99,10855,33432,6426,633,574,52099
"WEST BENGAL",195,1239,48468,276,2829,153,550507,603667
"CHANDIGARH",0,0,97,27,5,3,0,132
"DELHI",9,2150,5150,2819,141,49,26,10344
"PONDICHERRY",9,2,863,1268,1030,1188,10,4370
"ALL INDIA",70312,516419,2945791,2876184,1088156,121136,737695,8355693
