-----
{
 "description": "The table refers to Statewise Surface Flow Schemes in the command of Major/Medium Projects and Supplimentary Irrigation. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.11.csv", 
 "title": "Download CSV for Statewise Surface Flow Schemes in the command of Major/Medium Projects and Supplimentary Irrigation", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.11.csv"
}
-----
"State","Location of Schemes (Nos) - Inside Command","Location of Schemes (Nos) - Outside Command","Augmentation","Total","Supplementary Irrigation (Ha) - Kharif","Supplementary Irrigation (Ha) - Rabi","Supplementary Irrigation (Ha) - Perennial","Supplementary Irrigation (Ha) - Others","Total"
"ANDHRA PRADESH",2409,79862,172,82443,38453,14232,1618,96,54399
"ARUNACHAL PRADESH",12,3937,4,3953,1793,146,4,170,2113
"ASSAM",217,1859,130,2206,917,132,1,1,1051
"BIHAR",3173,18504,524,22201,21554,7499,275,81,29409
"CHHATTISGARH",9361,41843,245,51449,5513,469,0,0,5982
"GOA",195,3665,1,3861,20,184,190,0,394
"GUJARAT",294,18096,336,18726,1131,812,64,69,2076
"HARYANA",87,684,0,771,22,40,0,0,62
"HIMACHAL PRADESH",29,13900,0,13929,228,230,0,7,465
"JAMMU & KASHMIR",277,5581,5,5863,6314,2902,78,0,9294
"JHARKHAND",1173,41810,245,43228,2564,337,26,15,2942
"KARNATAKA",2639,28130,4,30773,12726,3057,1374,2517,19674
"KERALA",812,10092,53,10957,359,1620,352,177,2508
"MADHYA PRADESH",11450,43744,1530,56724,12983,25030,4,238,38255
"MAHARASHTRA",35719,31910,72,67701,16086,33186,11980,1500,62752
"MANIPUR",1,311,0,312,0,0,0,0,0
"MEGHALAYA",91,12316,7,12414,827,230,220,0,1277
"MIZORAM",14,7685,3,7702,0,0,0,0,0
"NAGALAND",35,19899,12,19946,6,4,0,0,10
"ORISSA",1063,27240,0,28303,9660,90,39,3,9792
"PUNJAB",66,1918,2,1986,81,104,2,0,187
"RAJASTHAN",331,2763,11,3105,0,231,0,14,245
"SIKKIM",0,1075,1,1076,0,0,0,0,0
"TAMIL NADU",2139,41658,1802,45599,14903,26894,838,863,43498
"TRIPURA",88,843,5,936,1166,1759,20,44,2989
"UTTAR PRADESH",3224,2976,99,6299,1493,1996,1403,782,5674
"UTTARANCHAL",819,24415,292,25526,2455,2007,590,105,5157
"WEST BENGAL",19481,34300,0,53781,9469,2534,680,1465,14148
"DADRA & NAGAR HAVELI",0,46,0,46,0,0,0,0,0
"DELHI",14,41,0,55,0,0,0,0,0
"PONDICHERRY",595,19535,12,20142,0,0,0,0,0
"ALL INDIA",95808,540638,5567,642013,160723,125725,19758,8147,314353
