-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes(Tanks) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.14.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes(Tanks) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.14.csv"
}
-----
"State","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH",39817,3321,43138,1108651,61796,1170447,784572,37734,822306
"ARUNACHAL PRADESH",8,9,17,206,161,367,117,139,256
"ASSAM",11,158,169,160,1983,2143,157,1716,1873
"BIHAR",1430,209,1639,36557,4859,41416,30550,4601,35151
"CHHATTISGARH",30159,2737,32896,129577,9392,138969,62724,7398,70122
"GOA",83,457,540,581,1108,1689,558,1005,1563
"GUJARAT",1183,333,1516,200057,5533,205590,23509,4763,28272
"HARYANA",7,298,305,144,1737,1881,133,1691,1824
"HIMACHAL PRADESH",170,148,318,864,837,1701,741,722,1463
"JAMMU & KASHMIR",65,57,122,2947,3575,6522,2738,2879,5617
"JHARKHAND",1492,2271,3763,9591,5839,15430,7135,4159,11294
"KARNATAKA",16700,766,17466,282111,3084,285195,190079,2389,192468
"KERALA",998,1415,2413,29306,5441,34747,26312,5025,31337
"MADHYA PRADESH",5763,19195,24958,111597,94779,206376,71317,40736,112053
"MAHARASHTRA",11464,32864,44328,189432,206692,396124,141002,151152,292154
"MEGHALAYA",0,38,38,0,89,89,0,64,64
"MIZORAM",0,91,91,0,335,335,0,326,326
"NAGALAND",0,44,44,0,157,157,0,96,96
"ORISSA",9396,2581,11977,268284,18320,286604,158586,11384,169970
"PUNJAB",1,214,215,7,767,774,7,749,756
"RAJASTHAN",817,136,953,73442,2761,76203,34458,887,35345
"SIKKIM",20,0,20,1199,0,1199,1136,0,1136
"TAMIL NADU",10788,7681,18469,416696,123839,540535,274178,74710,348888
"TRIPURA",61,129,190,1709,2672,4381,1263,2464,3727
"UTTAR PRADESH",10,1082,1092,3174,4403,7577,2302,3931,6233
"UTTARANCHAL",2641,2855,5496,45360,8308,53668,39198,6627,45825
"WEST BENGAL",1003,18341,19344,9361,114962,124323,5347,63817,69164
"DADRA & NAGAR HAVELI",11,25,36,126,15,141,16,13,29
"DELHI",0,54,54,0,239,239,0,239,239
"PONDICHERRY",19,993,1012,848,488,1336,485,487,972
"ALL INDIA",134117,98502,232619,2921987,684171,3606158,1858620,431903,2290523
