-----
{
 "description": "The table refers to Statewise Distribution of Surface Flow Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowNat4.2.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Flow Schemes according to ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcflowNat4.2.csv"
}
-----
"State","Scheduled caste","Scheduled tribe","Other social status of farmers","Total","Owned by other than individual farmers","Total"
"ANDHRA PRADESH",613,331,6694,7638,74805,82443
"ARUNACHAL PRADESH",21,2112,24,2157,1796,3953
"ASSAM",221,924,711,1856,350,2206
"BIHAR",317,143,3904,4364,17837,22201
"CHHATTISGARH",1454,5513,5412,12379,39070,51449
"GOA",24,1,3610,3635,226,3861
"GUJARAT",67,102,4246,4415,14311,18726
"HARYANA",10,0,653,663,108,771
"HIMACHAL PRADESH",77,45,6378,6500,7429,13929
"JAMMU & KASHMIR",72,593,2206,2871,2992,5863
"JHARKHAND",1247,10727,12371,24345,18883,43228
"KARNATAKA",58,51,1645,1754,29019,30773
"KERALA",87,55,4061,4203,6754,10957
"MADHYA PRADESH",4364,9065,30542,43971,12753,56724
"MAHARASHTRA",3628,4659,37850,46137,21564,67701
"MANIPUR",4,2,22,28,284,312
"MEGHALAYA",34,11709,54,11797,617,12414
"MIZORAM",16,7678,6,7700,2,7702
"NAGALAND",46,19864,18,19928,18,19946
"ORISSA",582,1434,4594,6610,21693,28303
"PUNJAB",145,3,1314,1462,524,1986
"RAJASTHAN",72,165,724,961,2144,3105
"SIKKIM",0,0,240,240,836,1076
"TAMIL NADU",2083,302,15258,17643,27956,45599
"TRIPURA",61,285,228,574,362,936
"UTTAR PRADESH",1213,207,4677,6097,202,6299
"UTTARANCHAL",870,332,6576,7778,17748,25526
"WEST BENGAL",5538,4287,38624,48449,5332,53781
"DADRA & NAGAR HAVELI",4,26,4,34,12,46
"DELHI",0,0,55,55,0,55
"PONDICHERRY",243,46,18661,18950,1192,20142
"ALL INDIA",23171,80661,211362,315194,326819,642013
