-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by type. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.5.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by type", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.5.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Tanks,Storage,Permanent Diversion,Temporary Diversion,Water Conversation,Total
ANDHRA PRADESH,ADILABAD,ADILABAD,65,0,182,0,0,247
ANDHRA PRADESH,ADILABAD,BEJJUR,27,0,0,0,0,27
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,29,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,BHAINSA,43,1,0,0,0,44
ANDHRA PRADESH,ADILABAD,BHEEMINI,44,0,0,0,0,44
ANDHRA PRADESH,ADILABAD,BOATH,1,3,0,0,0,4
ANDHRA PRADESH,ADILABAD,CHENNUR,70,0,0,0,0,70
ANDHRA PRADESH,ADILABAD,DAHEGAON,27,0,0,0,0,27
ANDHRA PRADESH,ADILABAD,DANDEPALLE,64,0,0,0,0,64
ANDHRA PRADESH,ADILABAD,DILAWARPUR,41,0,0,0,0,41
ANDHRA PRADESH,ADILABAD,ICHODA,89,0,0,0,0,89
ANDHRA PRADESH,ADILABAD,INDERAVELLY,0,10,0,0,0,10
ANDHRA PRADESH,ADILABAD,JAINAD,951,61,111,0,1,1124
ANDHRA PRADESH,ADILABAD,JAINOOR,2,1,0,0,0,3
ANDHRA PRADESH,ADILABAD,JAIPUR,97,0,0,0,0,97
ANDHRA PRADESH,ADILABAD,JANNARAM,8,2,0,0,1,11
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,29,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,37,0,0,0,0,37
ANDHRA PRADESH,ADILABAD,KASIPET,11,1,0,0,0,12
ANDHRA PRADESH,ADILABAD,KERAMERI,2,0,7,5,0,14
ANDHRA PRADESH,ADILABAD,KHANPUR,31,0,0,0,0,31
ANDHRA PRADESH,ADILABAD,KOTAPALLE,45,138,0,0,0,183
ANDHRA PRADESH,ADILABAD,KOUTHALA,30,70,0,0,0,100
ANDHRA PRADESH,ADILABAD,KUBEER,8,0,1,0,0,9
ANDHRA PRADESH,ADILABAD,KUNTALA,37,0,0,0,0,37
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,7,0,0,0,0,7
ANDHRA PRADESH,ADILABAD,LOHESRA,71,0,0,0,0,71
ANDHRA PRADESH,ADILABAD,LUXETTIPET,234,0,1,0,0,235
ANDHRA PRADESH,ADILABAD,MAMDA,28,0,0,0,0,28
ANDHRA PRADESH,ADILABAD,MANCHERIAL,29,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,MANDAMARRI,14,0,0,0,0,14
ANDHRA PRADESH,ADILABAD,NENNAL,29,14,0,0,0,43
ANDHRA PRADESH,ADILABAD,NERADIGONDA,19,0,0,0,0,19
ANDHRA PRADESH,ADILABAD,NIRMAL,34,19,6,0,0,59
ANDHRA PRADESH,ADILABAD,REBBANA,41,30,0,0,7,78
ANDHRA PRADESH,ADILABAD,SARANGAPUR,22,1,2,0,0,25
ANDHRA PRADESH,ADILABAD,SIRPUR (T),48,0,0,0,0,48
