-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes by Status. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.6.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes by Status", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.6.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,In use,Not in use - Temporarily,Not in use - Salinity,Not in use - Dried up,Not in use - Destroyed,Not in use - Others,Total - Not in use,Grand total ( Use  + Not in use)
ANDHRA PRADESH,ADILABAD,ADILABAD,247,0,0,0,0,0,0,247
ANDHRA PRADESH,ADILABAD,BEJJUR,27,0,0,0,0,0,0,27
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,29,0,0,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,BHAINSA,44,0,0,0,0,0,0,44
ANDHRA PRADESH,ADILABAD,BHEEMINI,44,0,0,0,0,0,0,44
ANDHRA PRADESH,ADILABAD,BOATH,4,0,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,CHENNUR,70,0,0,0,0,0,0,70
ANDHRA PRADESH,ADILABAD,DAHEGAON,25,1,1,0,0,0,2,27
ANDHRA PRADESH,ADILABAD,DANDEPALLE,64,0,0,0,0,0,0,64
ANDHRA PRADESH,ADILABAD,DILAWARPUR,41,0,0,0,0,0,0,41
ANDHRA PRADESH,ADILABAD,ICHODA,89,0,0,0,0,0,0,89
ANDHRA PRADESH,ADILABAD,INDERAVELLY,3,0,0,7,0,0,7,10
ANDHRA PRADESH,ADILABAD,JAINAD,1123,1,0,0,0,0,1,1124
ANDHRA PRADESH,ADILABAD,JAINOOR,2,0,0,0,1,0,1,3
ANDHRA PRADESH,ADILABAD,JAIPUR,97,0,0,0,0,0,0,97
ANDHRA PRADESH,ADILABAD,JANNARAM,10,1,0,0,0,0,1,11
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,18,10,0,1,0,0,11,29
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,37,0,0,0,0,0,0,37
ANDHRA PRADESH,ADILABAD,KASIPET,12,0,0,0,0,0,0,12
ANDHRA PRADESH,ADILABAD,KERAMERI,14,0,0,0,0,0,0,14
ANDHRA PRADESH,ADILABAD,KHANPUR,17,14,0,0,0,0,14,31
ANDHRA PRADESH,ADILABAD,KOTAPALLE,183,0,0,0,0,0,0,183
ANDHRA PRADESH,ADILABAD,KOUTHALA,100,0,0,0,0,0,0,100
