-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.9.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others
ANDHRA PRADESH,ADILABAD,ADILABAD,662,543,163,0,0
ANDHRA PRADESH,ADILABAD,BEJJUR,535,535,0,0,0
ANDHRA PRADESH,ADILABAD,BELLAMPALLE,525,525,0,0,0
ANDHRA PRADESH,ADILABAD,BHAINSA,704,2458,49,0,3
ANDHRA PRADESH,ADILABAD,BHEEMINI,402,402,0,0,0
ANDHRA PRADESH,ADILABAD,BOATH,128,128,53,0,0
ANDHRA PRADESH,ADILABAD,CHENNUR,1506,1540,0,0,0
ANDHRA PRADESH,ADILABAD,DAHEGAON,307,307,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,756,756,0,0,0
ANDHRA PRADESH,ADILABAD,DILAWARPUR,908,908,0,0,0
ANDHRA PRADESH,ADILABAD,ICHODA,1803,1803,10,0,0
ANDHRA PRADESH,ADILABAD,INDERAVELLY,279,279,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,1280,1711,255,240,6
ANDHRA PRADESH,ADILABAD,JAINOOR,30,20,16,0,0
ANDHRA PRADESH,ADILABAD,JAIPUR,1573,1577,0,0,0
ANDHRA PRADESH,ADILABAD,JANNARAM,27,49,3,0,0
ANDHRA PRADESH,ADILABAD,KADDAMPEDDUR,804,804,21,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,934,1081,0,0,0
ANDHRA PRADESH,ADILABAD,KASIPET,344,344,18,0,0
ANDHRA PRADESH,ADILABAD,KERAMERI,12,10,1,1,0
ANDHRA PRADESH,ADILABAD,KHANPUR,730,742,0,0,0
ANDHRA PRADESH,ADILABAD,KOTAPALLE,732,728,4,0,0
ANDHRA PRADESH,ADILABAD,KOUTHALA,414,414,0,0,0
ANDHRA PRADESH,ADILABAD,KUBEER,330,330,21,0,0
ANDHRA PRADESH,ADILABAD,KUNTALA,745,760,150,0,0
ANDHRA PRADESH,ADILABAD,LAXMANCHANDA,118,116,50,0,0
ANDHRA PRADESH,ADILABAD,LOHESRA,1262,1262,76,0,0
ANDHRA PRADESH,ADILABAD,LUXETTIPET,702,702,0,0,0
ANDHRA PRADESH,ADILABAD,MAMDA,699,699,699,0,0
ANDHRA PRADESH,ADILABAD,MANCHERIAL,409,409,0,0,0
ANDHRA PRADESH,ADILABAD,MANDAMARRI,478,478,27,0,0
ANDHRA PRADESH,ADILABAD,NENNAL,549,549,0,0,0
ANDHRA PRADESH,ADILABAD,NERADIGONDA,5,5,5,0,0
ANDHRA PRADESH,ADILABAD,NIRMAL,1696,1659,289,0,0
ANDHRA PRADESH,ADILABAD,REBBANA,665,665,0,0,0
ANDHRA PRADESH,ADILABAD,SARANGAPUR,1729,1780,189,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (T),543,568,0,0,0
ANDHRA PRADESH,ADILABAD,SIRPUR (U),8,8,0,0,0
ANDHRA PRADESH,ADILABAD,TALAMADUGU,242,242,0,0,0
ANDHRA PRADESH,ADILABAD,TANDUR,876,880,0,0,0
