-----
{
 "description": "The table refers to District wise Distribution of Surface Flow Schemes(Temporary diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowstate4.17.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes(Temporary diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowstate4.17.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH","ADILABAD",0,5,5,0,4,4,0,3,3
"ANDHRA PRADESH","ANANTHAPUR",56,8,64,2150,372,2521,659,299,958
"ANDHRA PRADESH","CHITTOOR",33,0,33,483,0,483,182,0,182
"ANDHRA PRADESH","CUDDAPAH",10,14,24,194,15,209,22,0,22
"ANDHRA PRADESH","EAST GODAVARI",23,1,24,469,48,517,415,48,463
"ANDHRA PRADESH","GUNTUR",2,1,3,162,109,271,162,109,271
"ANDHRA PRADESH","KARIMNAGAR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","KHAMMAM",7,4,11,238,244,483,230,243,473
"ANDHRA PRADESH","KRISHNA",1,0,1,40,0,40,14,0,14
"ANDHRA PRADESH","KURNOOL",2,0,2,74,0,74,74,0,74
"ANDHRA PRADESH","MAHABOOBNAGAR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","MEDAK",17,0,17,257,0,257,28,0,28
"ANDHRA PRADESH","NALGONDA",35,0,35,1038,0,1038,52,0,52
"ANDHRA PRADESH","NELLORE",1,0,1,162,0,162,142,0,142
"ANDHRA PRADESH","NIZAMABAD",13,0,13,139,0,139,139,0,139
"ANDHRA PRADESH","PRAKASAM",37,104,141,41,594,635,5,364,369
"ANDHRA PRADESH","RANGAREDDY",3,13,16,416,1074,1491,15,900,915
"ANDHRA PRADESH","SRIKAKULAM",94,1,95,1362,2,1364,1275,2,1277
"ANDHRA PRADESH","VISAKHAPATNAM",1344,6,1350,10381,96,10478,9461,96,9557
"ANDHRA PRADESH","VIZIANAGARAM",55,1,56,1090,5,1095,792,2,795
"ANDHRA PRADESH","WARANGAL",13,0,13,751,0,751,662,0,662
"ANDHRA PRADESH","WEST GODAVARI",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","CHANGLANG",11,9,20,222,154,376,188,141,329
"ARUNACHAL PRADESH","DIBANG VALLEY",49,11,60,2605,435,3040,2295,427,2722
"ARUNACHAL PRADESH","EAST KAMENG",6,4,10,131,53,184,88,39,127
"ARUNACHAL PRADESH","EAST SIANG",15,266,281,477,1733,2210,346,1319,1665
"ARUNACHAL PRADESH","LOHIT",20,0,20,688,0,688,487,0,487
"ARUNACHAL PRADESH","LOWER SUBANSIRI",23,0,23,414,0,414,199,0,199
"ARUNACHAL PRADESH","PAPUMPARE",8,58,66,244,1432,1676,153,862,1015
"ARUNACHAL PRADESH","TAWANG",45,10,55,1445,93,1538,1024,71,1095
"ARUNACHAL PRADESH","TIRAP",15,0,15,293,0,293,258,0,258
"ARUNACHAL PRADESH","UPPER SIANG",92,410,502,3460,1876,5336,2987,1757,4744
