-----
{
 "description": "The table refers to district wise average length of water conveyance channel of surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.12.csv", 
 "title": "Download CSV for Districtwise Average length of water conveyance channel of surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.12.csv"
}
-----
"State","District","Total Number of Schemes","Average length - Pucca channel","Average length - Kutcha channel","Average length - Underground channel"
"ANDHRA PRADESH","ADILABAD",1800,80,160,79
"ANDHRA PRADESH","ANANTHAPUR",1,16,0,0
"ANDHRA PRADESH","CHITTOOR",105,0,35,96
"ANDHRA PRADESH","CUDDAPAH",73,105,163,46
"ANDHRA PRADESH","EAST GODAVARI",78,177,560,6
"ANDHRA PRADESH","GUNTUR",1305,54,559,36
"ANDHRA PRADESH","KARIMNAGAR",378,121,274,171
"ANDHRA PRADESH","KHAMMAM",4558,3,78,33
"ANDHRA PRADESH","KRISHNA",100,185,1184,12
"ANDHRA PRADESH","KURNOOL",1583,16,120,75
"ANDHRA PRADESH","MAHABOOB NAGAR",976,288,260,91
"ANDHRA PRADESH","MEDAK",229,37,20,299
"ANDHRA PRADESH","NALGONDA",1886,13,239,181
"ANDHRA PRADESH","NELLORE",2500,5,107,70
"ANDHRA PRADESH","NIZAMABAD",1335,14,84,203
"ANDHRA PRADESH","PRAKASAM",1024,69,394,92
"ANDHRA PRADESH","RANGA REDDY",496,225,95,60
"ANDHRA PRADESH","SRIKAKULUM",44,122,145,20
"ANDHRA PRADESH","VIJAYA NAGARAM",152,52,300,31
"ANDHRA PRADESH","VISAKHAPATNAM",49,17,550,18
"ANDHRA PRADESH","WARANGAL",609,0,284,93
"ANDHRA PRADESH","WEST GODAVARI",145,315,1046,8
"ASSAM","BARPETA",264,200,416,0
"ASSAM","BONGAIGAON",136,442,172,0
"ASSAM","CACHAR",62,552,206,7
"ASSAM","DARRANG",544,31,31,0
"ASSAM","DHEMAJI",143,529,458,0
"ASSAM","DHUBRI",95,710,3650,1
"ASSAM","DIBRUGARH",390,38,189,0
"ASSAM","GOALPARA",483,64,210,0
"ASSAM","GOLAGHAT",357,802,144,70
"ASSAM","HAILAKANDI",17,2325,418,30
"ASSAM","JORHAT",1315,19,74,1
"ASSAM","KAMRUP",747,161,206,0
"ASSAM","KARBI ANGLONG",48,1341,758,0
"ASSAM","KARIMGANJ",24,1229,20,192
"ASSAM","KOKRAJHAR",119,344,1053,0
"ASSAM","LAKHIMPUR",153,5,59,0
"ASSAM","MARIGAON",467,257,143,0
"ASSAM","NAGAON",1966,58,90,0
"ASSAM","NALBARI",226,92,87,0
"ASSAM","NORTH CACHAR HILLS",6,15,1323,0
"ASSAM","SIBSAGAR",622,360,831,0
"ASSAM","SONITPUR",541,211,140,1
"ASSAM","TINSUKIA",385,79,108,1
"BIHAR","ARARIA",9,31,4063,3081
"BIHAR","AURANGABAD",57,20,1163,802
"BIHAR","BANKA",147,63,58,13
"BIHAR","BEGUSARAI",60,90,309,531
"BIHAR","BHABUA",61,139,2316,561
"BIHAR","BHAGALPUR",238,431,433,516
"BIHAR","BHOJPUR",45,945,1240,932
"BIHAR","BOKARO",14,0,0,0
"BIHAR","BUXAR",14,17,103,0
"BIHAR","CHAMPARAN EAST",78,215,1274,1118
"BIHAR","CHAMPARAN WEST",45,58,259,238
"BIHAR","CHATRA",252,26,446,255
"BIHAR","DARBHANGA",38,3,154,331
"BIHAR","DEOGHAR",574,0,43,2
"BIHAR","DHANBAD",99,0,128,18
"BIHAR","DUMKA",1802,54,184,208
"BIHAR","GARHWA",84,90,87,460
"BIHAR","GAYA",59,0,375,6
"BIHAR","GIRIDIH",169,1,120,44
"BIHAR","GODDA",396,1,118,82
