-----
{
 "description": "The table refers to district wise irrigation potential utilised under surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.14.csv", 
 "title": "Download CSV for Districtwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.14.csv"
}
-----
"State","District","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"ANDHRA PRADESH","ADILABAD",2369,1140,15,1,3525
"ANDHRA PRADESH","ANANTHAPUR",0,32,0,0,32
"ANDHRA PRADESH","CHITTOOR",22,167,0,0,189
"ANDHRA PRADESH","CUDDAPAH",1172,653,0,0,1825
"ANDHRA PRADESH","EAST GODAVARI",2506,1022,76,0,3604
"ANDHRA PRADESH","GUNTUR",12986,864,13,0,13863
"ANDHRA PRADESH","KARIMNAGAR",1346,990,2,0,2338
"ANDHRA PRADESH","KHAMMAM",7046,11766,18,8,18838
"ANDHRA PRADESH","KRISHNA",6622,1696,0,136,8454
"ANDHRA PRADESH","KURNOOL",5005,3807,22,13,8847
"ANDHRA PRADESH","MAHABOOB NAGAR",3975,3141,15,4,7135
"ANDHRA PRADESH","MEDAK",354,27,0,0,381
"ANDHRA PRADESH","NALGONDA",7440,6016,50,17,13523
"ANDHRA PRADESH","NELLORE",1765,5051,983,45,7844
"ANDHRA PRADESH","NIZAMABAD",6963,3906,17,6,10892
"ANDHRA PRADESH","PRAKASAM",15448,2859,406,0,18713
"ANDHRA PRADESH","RANGA REDDY",562,569,326,6,1463
"ANDHRA PRADESH","SRIKAKULUM",584,75,0,0,659
"ANDHRA PRADESH","VIJAYA NAGARAM",857,224,45,0,1126
"ANDHRA PRADESH","VISAKHAPATNAM",532,36,95,8,671
"ANDHRA PRADESH","WARANGAL",1247,399,0,0,1646
"ANDHRA PRADESH","WEST GODAVARI",7125,3540,440,147,11252
"ASSAM","BARPETA",2407,1383,1,14,3805
"ASSAM","BONGAIGAON",790,455,0,35,1280
"ASSAM","CACHAR",682,203,50,20,955
"ASSAM","DARRANG",1901,481,0,25,2407
"ASSAM","DHEMAJI",1199,318,0,41,1558
"ASSAM","DHUBRI",661,356,0,8,1025
"ASSAM","DIBRUGARH",924,340,0,12,1276
"ASSAM","GOALPARA",1085,505,0,5,1595
"ASSAM","GOLAGHAT",1227,654,1,25,1907
"ASSAM","HAILAKANDI",636,275,0,0,911
"ASSAM","JORHAT",1690,1208,0,0,2898
"ASSAM","KAMRUP",1701,2288,1,10,4000
"ASSAM","KARBI ANGLONG",4305,2473,10,192,6980
"ASSAM","KARIMGANJ",375,227,0,0,602
"ASSAM","KOKRAJHAR",123,62,0,0,185
"ASSAM","LAKHIMPUR",558,292,0,7,857
"ASSAM","MARIGAON",1453,2341,0,16,3810
"ASSAM","NAGAON",3887,1781,0,58,5726
"ASSAM","NALBARI",886,640,0,1,1527
"ASSAM","NORTH CACHAR HILLS",650,10,0,0,660
"ASSAM","SIBSAGAR",2173,840,0,0,3013
"ASSAM","SONITPUR",1474,605,0,7,2086
"ASSAM","TINSUKIA",369,108,0,132,609
"BIHAR","ARARIA",0,0,0,0,0
"BIHAR","AURANGABAD",153,60,6,0,219
"BIHAR","BANKA",566,269,1,0,836
"BIHAR","BEGUSARAI",249,505,44,9,807
"BIHAR","BHABUA",240,160,7,1,408
"BIHAR","BHAGALPUR",1926,658,8,6,2598
"BIHAR","BHOJPUR",162,95,3,0,260
