-----
{
 "description": "The table refers to district wise distribution of surface lift schemes according to ownership. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.2.csv", 
 "title": "Download CSV for Districtwise Distribution of surface lift schemes according to ownership for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.2.csv"
}
-----
"State","District","Government owned","Cooperative Societies","Panchayat Owned","Group of farmers","Individual farmers","Others","Total"
"ANDHRA PRADESH","ADILABAD",9,0,0,58,1731,2,1800
"ANDHRA PRADESH","ANANTHAPUR",1,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR",0,0,0,3,102,0,105
"ANDHRA PRADESH","CUDDAPAH",9,0,0,5,59,0,73
"ANDHRA PRADESH","EAST GODAVARI",15,4,0,1,58,0,78
"ANDHRA PRADESH","GUNTUR",54,7,0,221,1023,0,1305
"ANDHRA PRADESH","KARIMNAGAR",27,0,1,51,280,19,378
"ANDHRA PRADESH","KHAMMAM",4,252,98,205,3886,113,4558
"ANDHRA PRADESH","KRISHNA",36,6,0,25,33,0,100
"ANDHRA PRADESH","KURNOOL",3,2,0,194,1335,49,1583
"ANDHRA PRADESH","MAHABOOB NAGAR",99,0,1,197,677,2,976
"ANDHRA PRADESH","MEDAK",0,0,0,18,211,0,229
"ANDHRA PRADESH","NALGONDA",215,6,9,332,1319,5,1886
"ANDHRA PRADESH","NELLORE",41,11,17,575,1854,2,2500
"ANDHRA PRADESH","NIZAMABAD",1,7,5,125,1195,2,1335
"ANDHRA PRADESH","PRAKASAM",0,0,0,402,450,172,1024
"ANDHRA PRADESH","RANGA REDDY",47,0,0,28,421,0,496
"ANDHRA PRADESH","SRIKAKULUM",19,0,0,7,17,1,44
"ANDHRA PRADESH","VIJAYA NAGARAM",28,0,0,8,112,4,152
"ANDHRA PRADESH","VISAKHAPATNAM",9,0,0,5,34,1,49
"ANDHRA PRADESH","WARANGAL",37,2,0,40,530,0,609
