-----
{
 "description": "The table refers to district wise surface lift schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftDsttab5.8.csv", 
 "title": "Download CSV for Districtwise surface lift Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftDsttab5.8.csv"
}
-----
"State","District","Sprinkler","Drip irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH","ADILABAD",315,9,922,420,134,1800
"ANDHRA PRADESH","ANANTHAPUR",0,0,1,0,0,1
"ANDHRA PRADESH","CHITTOOR",0,0,69,36,0,105
"ANDHRA PRADESH","CUDDAPAH",1,0,46,26,0,73
"ANDHRA PRADESH","EAST GODAVARI",0,0,71,0,7,78
"ANDHRA PRADESH","GUNTUR",1,9,1170,120,5,1305
"ANDHRA PRADESH","KARIMNAGAR",0,0,272,106,0,378
"ANDHRA PRADESH","KHAMMAM",61,4,2826,491,1176,4558
"ANDHRA PRADESH","KRISHNA",1,0,97,0,2,100
"ANDHRA PRADESH","KURNOOL",3,1,660,718,201,1583
"ANDHRA PRADESH","MAHABOOB NAGAR",0,4,202,742,28,976
"ANDHRA PRADESH","MEDAK",0,0,34,194,1,229
"ANDHRA PRADESH","NALGONDA",9,2,1041,834,0,1886
"ANDHRA PRADESH","NELLORE",29,4,2120,314,33,2500
"ANDHRA PRADESH","NIZAMABAD",26,0,626,673,10,1335
"ANDHRA PRADESH","PRAKASAM",8,1,938,41,36,1024
"ANDHRA PRADESH","RANGA REDDY",3,0,294,122,77,496
"ANDHRA PRADESH","SRIKAKULUM",0,0,43,1,0,44
"ANDHRA PRADESH","VIJAYA NAGARAM",0,0,120,19,13,152
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,47,0,2,49
"ANDHRA PRADESH","WARANGAL",0,0,471,137,1,609
"ANDHRA PRADESH","WEST GODAVARI",0,1,139,5,0,145
"ASSAM","BARPETA",0,0,264,0,0,264
"ASSAM","BONGAIGAON",0,0,115,0,21,136
"ASSAM","CACHAR",1,0,59,0,2,62
"ASSAM","DARRANG",1,0,527,0,16,544
"ASSAM","DHEMAJI",0,0,143,0,0,143
"ASSAM","DHUBRI",0,0,94,0,1,95
"ASSAM","DIBRUGARH",0,0,388,2,0,390
"ASSAM","GOALPARA",0,0,454,0,29,483
"ASSAM","GOLAGHAT",0,1,253,1,102,357
"ASSAM","HAILAKANDI",0,0,17,0,0,17
"ASSAM","JORHAT",3,2,1306,4,0,1315
"ASSAM","KAMRUP",0,0,746,0,1,747
"ASSAM","KARBI ANGLONG",0,0,48,0,0,48
"ASSAM","KARIMGANJ",0,0,23,1,0,24
"ASSAM","KOKRAJHAR",0,0,119,0,0,119
"ASSAM","LAKHIMPUR",0,0,153,0,0,153
"ASSAM","MARIGAON",1,0,466,0,0,467
"ASSAM","NAGAON",0,1,1965,0,0,1966
"ASSAM","NALBARI",0,1,225,0,0,226
"ASSAM","NORTH CACHAR HILLS",0,0,6,0,0,6
"ASSAM","SIBSAGAR",0,0,593,2,27,622
"ASSAM","SONITPUR",0,2,520,0,19,541
"ASSAM","TINSUKIA",1,0,378,3,3,385
"BIHAR","ARARIA",1,0,1,7,0,9
"BIHAR","AURANGABAD",0,0,46,11,0,57
"BIHAR","BANKA",1,3,119,6,18,147
"BIHAR","BEGUSARAI",0,0,31,29,0,60
"BIHAR","BHABUA",1,0,53,7,0,61
"BIHAR","BHAGALPUR",8,5,215,5,5,238
"BIHAR","BHOJPUR",0,1,37,7,0,45
"BIHAR","BOKARO",0,0,11,0,3,14
"BIHAR","BUXAR",0,0,13,0,1,14
"BIHAR","CHAMPARAN EAST",5,0,52,20,1,78
"BIHAR","CHAMPARAN WEST",22,0,16,7,0,45
"BIHAR","CHATRA",1,0,229,5,17,252
"BIHAR","DARBHANGA",2,0,23,13,0,38
"BIHAR","DEOGHAR",2,10,530,13,19,574
"BIHAR","DHANBAD",5,0,83,8,3,99
"BIHAR","DUMKA",36,38,868,300,560,1802
"BIHAR","GARHWA",0,0,60,23,1,84
"BIHAR","GAYA",1,0,42,8,8,59
"BIHAR","GIRIDIH",2,4,136,17,10,169
"BIHAR","GODDA",6,23,289,30,48,396
"BIHAR","GOPALGANJ",0,0,11,0,0,11
"BIHAR","GUMLA",2,0,324,49,3,378
"BIHAR","HAZARIBAG",1,3,64,25,1,94
"BIHAR","JAMUI",2,0,49,24,1,76
"BIHAR","JEHANABAD",0,0,3,2,0,5
"BIHAR","KATIHAR",1,0,0,6,0,7
"BIHAR","KHAGARIA",0,3,433,5,0,441
