-----
{
 "description": "The table refers to block wise distribution of surface lift schemes according to horse power of lifting devices. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.10.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes according to horsepower for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.10.csv"
}
-----
"State","District","Block","Horse power (0-2)","Horse power (2-4)","Horse power (4-6)","Horse power (6-8)","Horse power (8-10)","Horse power (Above 10)","Unspecified","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",0,0,54,0,2,15,0,71
"ANDHRA PRADESH","ADILABAD","ASIFABAD",0,25,0,0,0,0,0,25
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",0,1,9,6,1,0,0,17
"ANDHRA PRADESH","ADILABAD","BELA",0,6,25,0,0,0,0,31
"ANDHRA PRADESH","ADILABAD","BHAINSA",0,1,0,0,2,0,0,3
"ANDHRA PRADESH","ADILABAD","BOATH",0,6,66,5,3,1,0,81
"ANDHRA PRADESH","ADILABAD","CHENNUR",0,4,1,2,0,0,0,7
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",0,249,16,0,0,0,0,265
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,0,0,0,3,0,0,3
"ANDHRA PRADESH","ADILABAD","JAINAD",0,3,97,17,9,3,0,129
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,3,1,0,0,0,0,4
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",0,8,5,1,1,2,0,17
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",0,0,4,0,0,0,0,4
"ANDHRA PRADESH","ADILABAD","KASIPET",39,46,77,4,8,1,0,175
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,3,0,0,0,0,0,3
"ANDHRA PRADESH","ADILABAD","KHANPUR",0,0,37,24,8,1,0,70
"ANDHRA PRADESH","ADILABAD","KUNTALA",3,15,42,0,0,5,0,65
"ANDHRA PRADESH","ADILABAD","LAHESRA",0,0,0,0,0,1,0,1
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",3,63,105,0,2,0,0,173
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",0,24,1,0,0,0,0,25
"ANDHRA PRADESH","ADILABAD","MUDHOLE",0,0,0,0,0,2,0,2
"ANDHRA PRADESH","ADILABAD","NARNOOR",0,1,0,0,0,0,0,1
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",1,1,95,3,14,2,0,116
"ANDHRA PRADESH","ADILABAD","NIRMAL",2,74,90,0,0,1,0,167
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",4,0,43,0,14,0,0,61
