-----
{
 "description": "The table refers to block wise irrigation potential utilised through surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.14.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.14.csv"
}
-----
-----
{
 "description": "The table refers to block wise irrigation potential utilised through surface lift schemes. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.14.csv", 
 "title": "Download CSV for Blockwise Irrigation potential utilised through surface lift schemes for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.14.csv"
}
-----
"State","District","Block","Actual area irrigated - Kharif","Actual area irrigated - Rabi","Actual area irrigated - Perennial","Actual area irrigated - Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",38,65,0,0,103
"ANDHRA PRADESH","ADILABAD","ASIFABAD",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",13,19,0,0,32
"ANDHRA PRADESH","ADILABAD","BELA",0,63,0,0,63
"ANDHRA PRADESH","ADILABAD","BHAINSA",134,0,0,0,134
"ANDHRA PRADESH","ADILABAD","BOATH",136,60,7,1,204
"ANDHRA PRADESH","ADILABAD","CHENNUR",56,0,0,0,56
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",182,89,0,0,271
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",81,0,0,0,81
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,0,0,0,0
"ANDHRA PRADESH","ADILABAD","JAINAD",243,78,0,0,321
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,2,0,0,2
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",46,20,0,0,66
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",6,2,0,0,8
"ANDHRA PRADESH","ADILABAD","KASIPET",155,35,0,0,190
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,6,0,0,6
"ANDHRA PRADESH","ADILABAD","KHANPUR",63,0,0,0,63
"ANDHRA PRADESH","ADILABAD","KUNTALA",269,60,0,0,329
"ANDHRA PRADESH","ADILABAD","LAHESRA",9,0,0,0,9
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",158,123,4,0,285
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",23,0,0,0,23
"ANDHRA PRADESH","ADILABAD","MUDHOLE",408,204,0,0,612
"ANDHRA PRADESH","ADILABAD","NARNOOR",0,2,0,0,2
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",13,51,0,0,64
"ANDHRA PRADESH","ADILABAD","NIRMAL",175,62,0,0,237
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",75,8,0,0,83
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",39,85,0,0,124
"ANDHRA PRADESH","ADILABAD","TAMSI",2,83,3,0,88
"ANDHRA PRADESH","ADILABAD","TIRYANI",45,23,1,0,69
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",0,32,0,0,32
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",2,112,0,0,114
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",10,27,0,0,37
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",10,28,0,0,38
"ANDHRA PRADESH","CUDDAPAH","ATLUR",0,0,0,0,0
"ANDHRA PRADESH","CUDDAPAH","BADVEL",66,9,0,0,75
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",5,5,0,0,10
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",438,26,0,0,464
"ANDHRA PRADESH","CUDDAPAH","PEDDAMUDIUM",34,0,0,0,34
"ANDHRA PRADESH","CUDDAPAH","RAMAPURAM",4,4,0,0,8
"ANDHRA PRADESH","CUDDAPAH","VALLUR",625,609,0,0,1234
"ANDHRA PRADESH","CUDDAPAH","VONTIMITTA",0,0,0,0,0
"ANDHRA PRADESH","EAST GODAVARI","ADDATEEGALA",4,0,0,0,4
"ANDHRA PRADESH","EAST GODAVARI","ATREYAPURAM",4,10,9,0,23
"ANDHRA PRADESH","EAST GODAVARI","JAGGAMPETA",22,12,0,0,34
"ANDHRA PRADESH","EAST GODAVARI","KADIAM",81,0,58,0,139
"ANDHRA PRADESH","EAST GODAVARI","KAJULURU",41,39,0,0,80
"ANDHRA PRADESH","EAST GODAVARI","KAPILESWARAPURAM",21,19,0,0,40
"ANDHRA PRADESH","EAST GODAVARI","KARAPA",469,469,0,0,938
"ANDHRA PRADESH","EAST GODAVARI","KIRLAMPUDI",384,0,0,0,384
"ANDHRA PRADESH","EAST GODAVARI","PAMARRU",3,3,9,0,15
"ANDHRA PRADESH","EAST GODAVARI","PEDAPUDI",101,0,0,0,101
"ANDHRA PRADESH","EAST GODAVARI","PRATHIPADU",15,0,0,0,15
"ANDHRA PRADESH","EAST GODAVARI","RAJAHMUNDRY RURAL",759,0,0,0,759
"ANDHRA PRADESH","EAST GODAVARI","RAJAVOMMANGI",29,0,0,0,29
"ANDHRA PRADESH","EAST GODAVARI","RANGAMPETA",20,0,0,0,20
"ANDHRA PRADESH","EAST GODAVARI","SAMALKOTA",448,448,0,0,896
"ANDHRA PRADESH","EAST GODAVARI","THALLAREVU",62,20,0,0,82
"ANDHRA PRADESH","EAST GODAVARI","Y. RAMAVARAM",43,2,0,0,45
"ANDHRA PRADESH","GUNTUR","ACHAMPET",138,44,0,0,182
"ANDHRA PRADESH","GUNTUR","AMARAVATHI",566,195,0,0,761
"ANDHRA PRADESH","GUNTUR","BAPATLA",2245,79,0,0,2324
"ANDHRA PRADESH","GUNTUR","BELLAMKONDA",15,3,0,0,18
"ANDHRA PRADESH","GUNTUR","BOLLAPALLE",68,0,0,0,68
"ANDHRA PRADESH","GUNTUR","CHEBROLE",690,0,0,0,690
"ANDHRA PRADESH","GUNTUR","CHERUKUPALLE",57,0,0,0,57
"ANDHRA PRADESH","GUNTUR","CHILAKALURIPET",573,6,0,0,579
"ANDHRA PRADESH","GUNTUR","DACHEPALLE",167,64,0,0,231
"ANDHRA PRADESH","GUNTUR","EDLAPADU",87,0,0,0,87
"ANDHRA PRADESH","GUNTUR","GUNTUR",0,0,0,0,0
"ANDHRA PRADESH","GUNTUR","GURAZALA",37,0,0,0,37
"ANDHRA PRADESH","GUNTUR","IPUR",85,0,0,0,85
"ANDHRA PRADESH","GUNTUR","KAKUMANU",7,0,0,0,7
"ANDHRA PRADESH","GUNTUR","KARLAPALEM",330,162,0,0,492
"ANDHRA PRADESH","GUNTUR","KOLLUR",25,0,0,0,25
"ANDHRA PRADESH","GUNTUR","KROSURU",913,105,0,0,1018
"ANDHRA PRADESH","GUNTUR","MACHERLA",33,0,0,0,33
"ANDHRA PRADESH","GUNTUR","MANGALAGIRI",864,0,0,0,864
"ANDHRA PRADESH","GUNTUR","MUPPALLA",3,0,0,0,3
"ANDHRA PRADESH","GUNTUR","NADENDLA",206,8,0,0,214
"ANDHRA PRADESH","GUNTUR","NAGARAM",947,32,0,0,979
"ANDHRA PRADESH","GUNTUR","NARASARAOPET",121,0,0,0,121
"ANDHRA PRADESH","GUNTUR","NIZAMPATNAM",442,20,0,0,462
"ANDHRA PRADESH","GUNTUR","NUZENDLA",255,47,5,0,307
"ANDHRA PRADESH","GUNTUR","PEDAKAKANI",130,11,0,0,141
"ANDHRA PRADESH","GUNTUR","PEDAKURAPADU",53,0,0,0,53
"ANDHRA PRADESH","GUNTUR","PEDANANDIPADU",47,0,0,0,47
"ANDHRA PRADESH","GUNTUR","PHIRANGIPURAM",73,0,0,0,73
"ANDHRA PRADESH","GUNTUR","PITTALAVANIPALEM",119,4,4,0,127
"ANDHRA PRADESH","GUNTUR","PONNUR",251,0,0,0,251
"ANDHRA PRADESH","GUNTUR","RAJUPALEM",109,0,3,0,112
"ANDHRA PRADESH","GUNTUR","REPALLE",227,0,0,0,227
"ANDHRA PRADESH","GUNTUR","SATTENAPALLE",418,0,0,0,418
"ANDHRA PRADESH","GUNTUR","SAV'PURAM KANUM'PUDI",350,0,0,0,350
"ANDHRA PRADESH","GUNTUR","TADEPALLE",838,84,1,0,923
"ANDHRA PRADESH","GUNTUR","TADIKONDA",132,0,0,0,132
"ANDHRA PRADESH","GUNTUR","TENALI",13,0,0,0,13
"ANDHRA PRADESH","GUNTUR","THULLUR",552,0,0,0,552
"ANDHRA PRADESH","GUNTUR","VATTICHERUKURU",77,0,0,0,77
"ANDHRA PRADESH","GUNTUR","VEMURU",7,0,0,0,7
"ANDHRA PRADESH","GUNTUR","VINUKONDA",716,0,0,0,716
"ANDHRA PRADESH","KARIMNAGAR","CHIGURUMAMIDI",35,4,0,0,39
"ANDHRA PRADESH","KARIMNAGAR","GAMBHIRAOPET",49,52,0,0,101
"ANDHRA PRADESH","KARIMNAGAR","KATARAM",81,20,0,0,101
"ANDHRA PRADESH","KARIMNAGAR","MALHARRAO MANDAL",42,12,0,0,54
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",231,77,0,0,308
"ANDHRA PRADESH","KARIMNAGAR","MANTHANI",173,106,0,0,279
"ANDHRA PRADESH","KARIMNAGAR","MUSTABAD",146,143,0,0,289
"ANDHRA PRADESH","KARIMNAGAR","ODELA",50,50,0,0,100
"ANDHRA PRADESH","KARIMNAGAR","RAIKAL",61,61,0,0,122
"ANDHRA PRADESH","KARIMNAGAR","SRIRAMPUR",393,393,0,0,786
"ANDHRA PRADESH","KARIMNAGAR","THIMMAPUR",61,40,2,0,103
"ANDHRA PRADESH","KARIMNAGAR","VELGATOOR",24,32,0,0,56
"ANDHRA PRADESH","KHAMMAM","ASWAPURAM",371,395,0,0,766
"ANDHRA PRADESH","KHAMMAM","ASWARAOPETA",0,53,0,0,53
"ANDHRA PRADESH","KHAMMAM","BAYYARAM",302,0,0,0,302
"ANDHRA PRADESH","KHAMMAM","BHADRACHALAM",0,156,0,0,156
"ANDHRA PRADESH","KHAMMAM","BONAKAL",612,20,0,0,632
"ANDHRA PRADESH","KHAMMAM","BURGAMPADU",129,98,0,0,227
"ANDHRA PRADESH","KHAMMAM","CHANDRUGONDA",62,0,0,0,62
"ANDHRA PRADESH","KHAMMAM","CHERLA",254,337,0,0,591
"ANDHRA PRADESH","KHAMMAM","CHINTHAKANI",61,0,0,0,61
"ANDHRA PRADESH","KHAMMAM","CHINTUR",32,141,0,0,173
