-----
{
 "description": "The table refers to block wise distribution of surface lift schemes by status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.6_1.csv", 
 "title": "Download CSV for Blockwise Distribution of surface lift schemes by its status for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.6_1.csv"
}
-----
"State","District","Block","Schemes in use","Schemes not in use - Temporary","Schemes not in use - Abandoned (Salinity)","Schemes not in use - Dried up","Schemes not in use - Sinking","Schemes not in use - Others","Total - Schemes not in use","Grand total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",69,1,0,0,0,1,2,71
"ANDHRA PRADESH","ADILABAD","ASIFABAD",1,3,0,1,1,19,24,25
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",17,0,0,0,0,0,0,17
"ANDHRA PRADESH","ADILABAD","BELA",31,0,0,0,0,0,0,31
"ANDHRA PRADESH","ADILABAD","BHAINSA",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","ADILABAD","BOATH",79,0,0,0,0,2,2,81
"ANDHRA PRADESH","ADILABAD","CHENNUR",7,0,0,0,0,0,0,7
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",265,0,0,0,0,0,0,265
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,3,0,0,0,0,3,3
"ANDHRA PRADESH","ADILABAD","JAINAD",125,4,0,0,0,0,4,129
"ANDHRA PRADESH","ADILABAD","JAINOOR",1,3,0,0,0,0,3,4
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",17,0,0,0,0,0,0,17
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",4,0,0,0,0,0,0,4
"ANDHRA PRADESH","ADILABAD","KASIPET",175,0,0,0,0,0,0,175
"ANDHRA PRADESH","ADILABAD","KERAMERI",3,0,0,0,0,0,0,3
"ANDHRA PRADESH","ADILABAD","KHANPUR",70,0,0,0,0,0,0,70
"ANDHRA PRADESH","ADILABAD","KUNTALA",64,1,0,0,0,0,1,65
"ANDHRA PRADESH","ADILABAD","LAHESRA",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",173,0,0,0,0,0,0,173
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",25,0,0,0,0,0,0,25
"ANDHRA PRADESH","ADILABAD","MUDHOLE",2,0,0,0,0,0,0,2
"ANDHRA PRADESH","ADILABAD","NARNOOR",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",101,5,4,0,0,6,15,116
"ANDHRA PRADESH","ADILABAD","NIRMAL",166,1,0,0,0,0,1,167
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",61,0,0,0,0,0,0,61
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",132,1,0,0,0,0,1,133
"ANDHRA PRADESH","ADILABAD","TAMSI",96,0,0,0,0,0,0,96
"ANDHRA PRADESH","ADILABAD","TIRYANI",54,0,0,0,0,0,0,54
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",1,0,0,0,0,0,0,1
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",64,1,0,0,0,4,5,69
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",13,0,0,0,0,0,0,13
