-----
{
 "description": "The table refers to block wise surface lift schemes according to water distribution system. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "srfclftblck5.8.csv", 
 "title": "Download CSV for Blockwise surface lift Schemes according to water distribution system for 2nd census of minor irrigation schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/srfclftblck5.8.csv"
}
-----
"State","District","Block","Sprinkler","Drip irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH","ADILABAD","ADILABAD",32,0,16,23,0,71
"ANDHRA PRADESH","ADILABAD","ASIFABAD",0,0,5,20,0,25
"ANDHRA PRADESH","ADILABAD","BAZARHATHNOOR",0,0,4,13,0,17
"ANDHRA PRADESH","ADILABAD","BELA",6,0,25,0,0,31
"ANDHRA PRADESH","ADILABAD","BHAINSA",0,0,2,1,0,3
"ANDHRA PRADESH","ADILABAD","BOATH",0,0,60,0,21,81
"ANDHRA PRADESH","ADILABAD","CHENNUR",0,0,7,0,0,7
"ANDHRA PRADESH","ADILABAD","DANDEPALLE",1,0,253,7,4,265
"ANDHRA PRADESH","ADILABAD","DILAWARPUR",0,0,1,0,0,1
"ANDHRA PRADESH","ADILABAD","INDERAVELLY",0,0,3,0,0,3
"ANDHRA PRADESH","ADILABAD","JAINAD",72,0,57,0,0,129
"ANDHRA PRADESH","ADILABAD","JAINOOR",0,0,3,1,0,4
"ANDHRA PRADESH","ADILABAD","KADDAM (PEDDUR)",0,0,0,17,0,17
"ANDHRA PRADESH","ADILABAD","KAGAZNAGAR",0,0,4,0,0,4
"ANDHRA PRADESH","ADILABAD","KASIPET",0,6,82,3,84,175
"ANDHRA PRADESH","ADILABAD","KERAMERI",0,0,3,0,0,3
"ANDHRA PRADESH","ADILABAD","KHANPUR",26,3,41,0,0,70
"ANDHRA PRADESH","ADILABAD","KUNTALA",0,0,31,34,0,65
"ANDHRA PRADESH","ADILABAD","LAHESRA",0,0,1,0,0,1
"ANDHRA PRADESH","ADILABAD","LUXETTIPET",0,0,153,0,20,173
"ANDHRA PRADESH","ADILABAD","MANCHERIAL",0,0,25,0,0,25
"ANDHRA PRADESH","ADILABAD","MUDHOLE",0,0,2,0,0,2
"ANDHRA PRADESH","ADILABAD","NARNOOR",0,0,1,0,0,1
"ANDHRA PRADESH","ADILABAD","NERADIGONDA",1,0,1,114,0,116
"ANDHRA PRADESH","ADILABAD","NIRMAL",0,0,34,133,0,167
"ANDHRA PRADESH","ADILABAD","SARANGAPUR",0,0,57,0,4,61
"ANDHRA PRADESH","ADILABAD","TALAMADUGU",103,0,28,1,1,133
"ANDHRA PRADESH","ADILABAD","TAMSI",74,0,22,0,0,96
"ANDHRA PRADESH","ADILABAD","TIRYANI",0,0,1,53,0,54
"ANDHRA PRADESH","ANANTHAPUR","TANAKAL",0,0,1,0,0,1
"ANDHRA PRADESH","CHITTOOR","BUCHINAIDU KHANDRIGA",0,0,49,20,0,69
"ANDHRA PRADESH","CHITTOOR","RENIGUNTA",0,0,0,13,0,13
"ANDHRA PRADESH","CHITTOOR","THOTTAMBEDA",0,0,20,3,0,23
"ANDHRA PRADESH","CUDDAPAH","ATLUR",0,0,1,0,0,1
"ANDHRA PRADESH","CUDDAPAH","BADVEL",0,0,2,0,0,2
"ANDHRA PRADESH","CUDDAPAH","DUVVUR",0,0,4,0,0,4
"ANDHRA PRADESH","CUDDAPAH","KHAJIPET",0,0,8,25,0,33
