-----
{
 "description": "The table refers to Statewise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.16.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.16.csv"
}
-----
"State","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDHRA PRADESH",452,8792,9244,33377,41965,75342,23677,32477,56154
"ARUNACHAL PRADESH",1,0,1,67,0,67,67,0,67
"ASSAM",115,606,721,13064,13535,26599,10364,9783,20147
"BI HAR",521,641,1162,15190,4681,19871,10880,4195,15075
"CHHATTI SGARH",10722,4248,14970,19903,27162,47065,6389,12531,18920
"GOA",126,709,835,807,2817,3624,637,2567,3204
"GUJARAT",161,798,959,15292,2788,18080,3557,1881,5438
"HARYANA",19,379,398,159,2866,3025,114,2460,2574
"HI MACHAL PRADESH",167,76,243,8894,855,9749,5507,736,6243
"JAMMU & KASHMI R",132,109,241,10736,5793,16529,9057,5272,14329
"J HARKHAND",527,1178,1705,10743,2333,13076,3639,1706,5345
"KARNATAKA",282,39387,39669,64608,165864,230472,32623,141327,173950
"KERALA",432,4548,4980,56527,20327,76854,51694,19125,70819
"MADHYA PRADESH",5568,117721,123289,79640,428728,508368,30115,314033,344148
"MAHARASHTRA",2579,48365,50944,64645,147722,212367,53213,113914,167127
"MANI PUR",38,4,42,5780,230,6010,4285,200,4485
"M EGHALAYA",3,0,3,685,0,685,185,0,185
"MI ZORAM",0,5,5,0,18,18,0,11,11
"NAGALAND",0,1,1,0,2,2,0,2,2
"ORI SSA",4579,6900,11479,119301,27343,146644,55939,16313,72252
"PUNJ AB",5,452,457,348,3375,3723,195,3354,3549
"RAJASTHAN",212,864,1076,8198,7344,15542,6351,4850,11201
"TAMI L NADU",204,5394,5598,1208,17558,18766,962,6483,7445
"TRI PURA",522,162,684,28342,1145,29487,19867,851,20718
"UTTAR PRADESH",32,1845,1877,4580,11844,16424,4203,11037,15240
"UTTARANCHAL",250,53,303,5661,2325,7986,4920,1707,6627
"WEST BENGAL",3401,9267,12668,203699,65253,268952,100629,42765,143394
"ANDAMAN & NI COBARS",0,99,99,0,311,311,0,143,143
"DADRA & NAGAR HAVELI",7,64,71,105,1244,1349,84,782,866
"PON DI CHERRY",0,7,7,0,7,7,0,7,7
"ALL INDIA",31057,252674,283731,771559,1005435,1776994,439153,750512,1189665
