-----
{
 "description": "The table refers to Statewise Distribution of Surface Lift Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.7.csv", 
 "title": "Download CSV for Statewise Distribution of Surface Lift Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.7.csv"
}
-----
"State","Farmers saving","Loan and Savings","Subsidy and Bank loan","Others","Total"
"ANDHRA PRADESH",18374,2665,1545,1609,24193
"ARUNACHAL PRADESH",6,0,9,6,21
"ASSAM",645,62,385,616,1708
"BIHAR",1212,221,693,761,2887
"CHHATTISGARH",15299,619,1191,8317,25426
"GOA",631,118,150,85,984
"GUJ ARAT",1677,457,164,893,3191
"HARYANA",167,240,79,160,646
"HIMACHAL PRADESH",141,29,40,514,724
"JAMMU & KASHMIR",108,51,156,190,505
"JHARKHAND",4076,243,3785,3893,11997
"KARNATAKA",24272,28767,3791,3539,60369
"KERALA",5873,2428,5085,107,13493
"MADHYA PRADESH",126190,19250,7640,43062,196142
"MAHARASHTRA",56160,33299,4215,6228,99902
"MANIPUR",0,0,0,44,44
"MEGHALAYA",7,0,0,4,11
"MIZORAM",190,3,13,10,216
"NAGALAND",4,0,3,31,38
"ORISSA",15597,2433,3126,11688,32844
"PUNJAB",664,746,25,6,1441
"RAJASTHAN",1401,155,249,419,2224
"TAMIL NADU",8087,365,410,1224,10086
"TRIPURA",179,28,354,606,1167
"UTTAR PRADESH",2484,2548,673,839,6544
"UTTARANCHAL",404,52,19,233,708
"WEST BENGAL",90072,3253,4305,9965,107595
"ANDAMAN & NICOBARS",592,9,532,563,1696
"DADRA & NAGAR HAVELI",22,0,5,44,71
"DELHI",8,0,4,26,38
"PONDI CHERRY",7,0,0,0,7
"ALL INDIA",374549,98041,38646,95682,606918
