-----
{
 "description": "The table refers to Statewise Surface Lift Schemes according to Water Distribution System. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftNat5.8.csv", 
 "title": "Download CSV for Statewise Surface Lift Schemes according to Water Distribution System", 
 "url": "http://data.gov.in/sites/default/files/srfcliftNat5.8.csv"
}
-----
"State","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH",863,266,14885,6955,1224,24193
"ARUNACHAL PRADESH",0,0,17,4,0,21
"ASSAM",61,55,1508,37,47,1708
"BIHAR",131,234,1955,186,381,2887
"CHHATTISGARH",10360,103,7691,441,6831,25426
"GOA",99,12,784,46,43,984
"GUJARAT",23,11,2092,537,528,3191
"HARYANA",173,35,291,6,141,646
"HIMACHAL PRADESH",14,2,452,238,18,724
"JAMMU & KASHMIR",2,10,480,7,6,505
"JHARKHAND",75,355,10448,739,380,11997
"KARNATAKA",9459,1235,20303,24302,5070,60369
"KERALA",521,193,9677,1127,1975,13493
"MADHYA PRADESH",9916,6694,102950,49259,27323,196142
"MAHARASHTRA",3421,845,22332,68129,5175,99902
"MANIPUR",1,0,43,0,0,44
"MEGHALAYA",0,0,11,0,0,11
"MIZORAM",2,1,213,0,0,216
"NAGALAN D",0,2,32,0,4,38
"ORISSA",459,212,27002,1320,3851,32844
"PUNJAB",15,30,1033,347,16,1441
"RAJASTHAN",30,55,1793,219,127,2224
"TAMIL NADU",791,134,5638,3112,411,10086
"TRIPURA",14,8,576,442,127,1167
"UTTAR PRADESH",387,142,5488,42,485,6544
"UTTARANCHAL",90,11,552,21,34,708
"WEST BENGAL",0,0,103978,3617,0,107595
"ANDAMAN & NICOBARS",1,0,233,20,1442,1696
"DADRA & NAGAR HAVELI",0,0,69,2,0,71
"DELHI",1,0,31,6,0,38
"PONDICHERRY",0,0,7,0,0,7
"ALL INDIA",36909,10645,342564,161161,55639,606918
