-----
{
 "description": "The table refers to Block wise Construction of Surface Lift Schemes over the years. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.1.csv", 
 "title": "Download CSV for Blockwise Construction of Surface Lift Schemes over the years", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.1.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Upto 1993-94,During 1994-95,During 1995-96,During 1996-97,During 1997-98,During 1998-99,During 1999-00,During 2000-01,Total (1994-01)
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,273,34,32,33,19,11,6,26,434
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,178,14,17,7,3,11,9,32,271
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,139,2,3,4,4,0,5,8,165
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,139,1,6,0,1,2,2,6,157
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,331,5,9,49,4,15,5,23,441
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,113,24,18,12,8,7,11,8,201
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,18,1,1,0,0,1,0,0,21
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,0,0,6,0,0,0,0,6
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,0,0,35,0,35
ANDHRA PRADESH,ADILABAD,BOATH,3,2,7,4,9,16,14,1,56
ANDHRA PRADESH,ADILABAD,DANDEPALLE,29,0,0,0,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,12,0,1,0,1,1,1,0,16
ANDHRA PRADESH,ADILABAD,ICHODA,5,0,0,0,0,0,0,0,5
ANDHRA PRADESH,ADILABAD,JAINAD,46,18,15,29,2,3,2,0,115
ANDHRA PRADESH,ADILABAD,JANNARAM,0,2,0,1,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,4,0,0,0,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,KASIPET,89,62,61,31,46,7,1,0,297
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,0,0,0,0,3,0,3
ANDHRA PRADESH,ADILABAD,KUNTALA,19,0,0,3,5,0,0,0,27
