-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.10.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Horse Power of Lifting Device", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.10.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Horse Power (0-2),Horse Power (2 - 4),Horse Power (4 - 6),Horse Power (6 -8),Horse Power (8 - 10),Horse Power (Above 10),Unspecified,Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,52,0,231,12,0,0,139,434
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,67,0,62,5,0,0,137,271
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,54,0,11,0,0,0,100,165
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,10,0,40,1,0,0,106,157
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,251,0,20,0,0,0,170,441
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,50,1,67,0,0,0,83,201
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,12,0,4,0,0,0,5,21
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,0,0,0,0,0,6,6
ANDHRA PRADESH,ADILABAD,ADILABAD,0,16,15,0,4,0,0,35
ANDHRA PRADESH,ADILABAD,BOATH,0,0,56,0,0,0,0,56
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,17,12,0,0,0,0,29
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,5,11,0,0,0,0,16
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,5,0,0,5
ANDHRA PRADESH,ADILABAD,JAINAD,0,3,107,0,0,4,1,115
ANDHRA PRADESH,ADILABAD,JANNARAM,0,0,3,0,0,0,0,3
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,4,0,0,0,0,4
ANDHRA PRADESH,ADILABAD,KASIPET,14,192,77,13,0,0,1,297
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,0,0,0,0,3,3
ANDHRA PRADESH,ADILABAD,KUNTALA,0,6,20,0,0,1,0,27
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,0,0,0,12,0,0,12
ANDHRA PRADESH,ADILABAD,MANCHERIAL,0,81,22,5,0,0,0,108
