-----
{
 "description": "The table refers to Village wise Construction of Dugwells over the years. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "tab1.1.csv", 
 "title": "Download CSV for Villagewise Construction of Dugwells over the years(External Link that opens in a new window)", 
 "url": "http://data.gov.in/sites/default/files/tab1.1.csv"
}
-----
-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes (on Stream) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,1,151,152,7,528,535,2,285,287
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,0,43,43,0,108,108,0,45,45
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,0,36,36,0,62,62,0,26,26
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,0,0,0,0,0,0,0,0,0
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,0,125,125,0,191,191,0,94,94
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,1,29,30,7,111,118,6,64,70
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,2,2,0,9,9,0,4,4
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,ADILABAD,0,35,35,0,45,45,0,43,43
ANDHRA PRADESH,ADILABAD,BOATH,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,28,28,0,18,18,0,18,18
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,4,4,0,5,5,0,5,5
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,JAINAD,0,37,37,0,96,96,0,95,95
ANDHRA PRADESH,ADILABAD,JANNARAM,0,1,1,0,0,0,0,0,0
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,4,4,0,8,8,0,8,8
ANDHRA PRADESH,ADILABAD,KASIPET,0,256,256,0,362,362,0,303,303
