-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to ownership. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.2.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to Ownership", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.2.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Government,Cooperative Societies,Panchayat,Group of farmers,Individual farmers,Others,Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,2,0,1,0,431,0,434
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,1,0,0,0,270,0,271
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,0,0,0,0,165,0,165
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,0,0,0,0,157,0,157
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,1,0,0,0,440,0,441
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,1,0,0,0,200,0,201
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,0,0,0,21,0,21
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,0,0,0,0,6,0,6
ANDHRA PRADESH,ADILABAD,ADILABAD,0,0,0,0,35,0,35
ANDHRA PRADESH,ADILABAD,BOATH,0,0,0,0,56,0,56
ANDHRA PRADESH,ADILABAD,DANDEPALLE,0,0,0,0,29,0,29
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,0,0,0,0,16,0,16
ANDHRA PRADESH,ADILABAD,ICHODA,0,0,0,0,5,0,5
ANDHRA PRADESH,ADILABAD,JAINAD,11,0,0,0,104,0,115
ANDHRA PRADESH,ADILABAD,JANNARAM,0,0,0,0,3,0,3
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,0,0,0,4,0,4
ANDHRA PRADESH,ADILABAD,KASIPET,0,0,0,0,297,0,297
ANDHRA PRADESH,ADILABAD,KERAMERI,0,0,0,0,3,0,3
ANDHRA PRADESH,ADILABAD,KUNTALA,1,0,0,0,26,0,27
ANDHRA PRADESH,ADILABAD,LUXETTIPET,0,0,0,0,12,0,12
ANDHRA PRADESH,ADILABAD,MANCHERIAL,1,0,0,0,107,0,108
ANDHRA PRADESH,ADILABAD,MANDAMARRI,0,0,0,0,106,0,106
ANDHRA PRADESH,ADILABAD,MUDHOLE,177,1,0,1,0,1,180
ANDHRA PRADESH,ADILABAD,NERADIGONDA,0,0,0,0,205,0,205
ANDHRA PRADESH,ADILABAD,NIRMAL,1,0,0,0,4,0,5
ANDHRA PRADESH,ADILABAD,TALAMADUGU,14,0,0,0,234,0,248
ANDHRA PRADESH,ANANTHAPUR,GOOTY,1,0,0,0,0,0,1
ANDHRA PRADESH,CHITTOOR,THOTTAMBEDU,0,0,0,0,23,0,23
ANDHRA PRADESH,CUDDAPAH,ATLUR,4,0,0,0,0,0,4
ANDHRA PRADESH,CUDDAPAH,BADVEL,3,0,0,0,0,0,3
ANDHRA PRADESH,CUDDAPAH,CHAPAD,1,0,0,0,0,0,1
ANDHRA PRADESH,CUDDAPAH,KALASAPADU,1,1,0,0,0,0,2
ANDHRA PRADESH,CUDDAPAH,KHAJIPET,1,0,0,0,47,0,48
ANDHRA PRADESH,CUDDAPAH,PEDDAMUDIUM,0,0,0,0,176,0,176
ANDHRA PRADESH,CUDDAPAH,RAJU PALEM,1,0,0,1,84,0,86
