-----
{
 "description": "The table refers to Block wise Distribution of Surface Lift Schemes according to The Farmers holding size. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftdistr5.3.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Lift Schemes according to The Farmers holding size", 
 "url": "http://data.gov.in/sites/default/files/srfcliftdistr5.3.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Marginal (0-1 ha),Small (1-2 ha),Medium (2-10 ha),Big ( > 10 ha),Total
ANDAMAN & NICOBARS,ANDAMAN,DIGLIPUR,34,163,234,0,431
ANDAMAN & NICOBARS,ANDAMAN,FERRARGUNJ,84,164,22,0,270
ANDAMAN & NICOBARS,ANDAMAN,HUT BAY,48,104,11,2,165
ANDAMAN & NICOBARS,ANDAMAN,MAYABUNDER,5,77,75,0,157
ANDAMAN & NICOBARS,ANDAMAN,PORT BLAIR,220,168,52,0,440
ANDAMAN & NICOBARS,ANDAMAN,RANGAT,5,53,142,0,200
ANDAMAN & NICOBARS,NICOBAR,CAMPBELL BAY,0,1,20,0,21
ANDAMAN & NICOBARS,NICOBAR,CAR NICOBAR,6,0,0,0,6
ANDHRA PRADESH,ADILABAD,ADILABAD,19,10,6,0,35
ANDHRA PRADESH,ADILABAD,BOATH,26,18,12,0,56
ANDHRA PRADESH,ADILABAD,DANDEPALLE,25,3,1,0,29
ANDHRA PRADESH,ADILABAD,GUDIHATHNUR,1,8,7,0,16
ANDHRA PRADESH,ADILABAD,ICHODA,3,2,0,0,5
ANDHRA PRADESH,ADILABAD,JAINAD,14,28,62,0,104
ANDHRA PRADESH,ADILABAD,JANNARAM,3,0,0,0,3
ANDHRA PRADESH,ADILABAD,KAGAZ NAGAR,0,3,1,0,4
ANDHRA PRADESH,ADILABAD,KASIPET,195,72,29,1,297
ANDHRA PRADESH,ADILABAD,KERAMERI,0,3,0,0,3
ANDHRA PRADESH,ADILABAD,KUNTALA,3,14,9,0,26
