-----
{
 "description": "The table refers to District wise Culturable Command Area and Potential Created through Surface Lift Schemes. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.12.csv", 
 "title": "Download CSV for Districtwise Culturable Command Area and Potential Created through Surface Lift Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.12.csv"
}
-----
"State","District","Culturable Command Area","Irrigation potential created - Kharif","Irrigation potential created - Rabi","Irrigation potential created - Perennial","Irrigation potential created - Others","Total - Irrigation potential created"
"ANDAMAN & NICOBARS","ANDAMAN",3735,3609,854,174,59,4696
"ANDAMAN & NICOBARS","NICOBAR",89,88,10,1,0,99
"ANDHRA PRADESH","ADILABAD",1835,1802,664,108,0,2574
"ANDHRA PRADESH","ANANTHAPUR",86,86,86,0,0,172
"ANDHRA PRADESH","CHITTOOR",35,35,35,0,0,70
"ANDHRA PRADESH","CUDDAPAH",3594,3243,1278,0,2,4523
"ANDHRA PRADESH","EAST GODAVARI",2806,2624,1279,501,0,4404
"ANDHRA PRADESH","GUNTUR",19193,19410,909,153,0,20472
"ANDHRA PRADESH","KARIMNAGAR",2080,2010,1489,8,0,3507
"ANDHRA PRADESH","KHAMMAM",12298,11169,2787,0,0,13956
"ANDHRA PRADESH","KRISHNA",12814,13603,1941,97,279,15920
"ANDHRA PRADESH","KURNOOL",7553,7532,5172,41,0,12745
"ANDHRA PRADESH","MAHABOOBNAGAR",5523,4932,3565,49,0,8547
"ANDHRA PRADESH","MEDAK",1649,1338,556,213,4,2111
"ANDHRA PRADESH","NALGONDA",13009,12065,8572,489,174,21300
"ANDHRA PRADESH","NELLORE",7513,1770,5728,62,632,8191
"ANDHRA PRADESH","NIZAMABAD",3872,3710,3011,48,12,6782
"ANDHRA PRADESH","PRAKASAM",37678,31611,7910,658,106,40285
"ANDHRA PRADESH","RANGAREDDY",510,426,281,212,0,919
"ANDHRA PRADESH","SRIKAKULAM",736,832,92,5,0,929
"ANDHRA PRADESH","VISAKHAPATNAM",1123,999,91,86,0,1176
"ANDHRA PRADESH","VIZIANAGARAM",1400,1242,905,2,0,2149
"ANDHRA PRADESH","WARANGAL",1791,1773,66,0,0,1839
"ANDHRA PRADESH","WEST GODAVARI",9067,8997,6877,94,0,15968
"ARUNACHAL PRADESH","DIBANG VALLEY",770,371,169,5,225,770
"ARUNACHAL PRADESH","LOHIT",610,405,60,0,145,610
"ARUNACHAL PRADESH","TIRAP",10,8,0,0,2,10
"ARUNACHAL PRADESH","UPPER SUBANSIRI",12,10,2,2,0,14
"ARUNACHAL PRADESH","WEST KAMENG",114,70,48,0,0,118
"ARUNACHAL PRADESH","WEST SIANG",65,65,0,0,2,67
"ASSAM","BARPETA",3251,2376,892,0,2,3271
"ASSAM","BONGAIGAON",2411,1639,719,1,53,2412
"ASSAM","CACHAR",16482,13046,1857,51,2244,17199
"ASSAM","DARRANG",1228,1048,180,0,0,1228
"ASSAM","DHEMAJI",650,546,162,0,0,708
"ASSAM","DHUBRI",2611,1501,1181,13,12,2707
"ASSAM","DIBRUGARH",456,350,106,0,0,456
"ASSAM","GOALPARA",2837,1850,735,0,312,2897
"ASSAM","GOLAGHAT",2307,2211,94,2,0,2307
"ASSAM","HAILAKANDI",2718,1997,925,0,0,2922
"ASSAM","JORHAT",1054,746,511,0,11,1268
"ASSAM","KAMRUP",3128,1812,1281,28,13,3133
"ASSAM","KARBIANGLONG",2296,1296,1000,0,0,2296
"ASSAM","KARIMGANJ",1577,1163,366,0,88,1617
"ASSAM","KOKRAJHAR",1645,1504,404,0,0,1908
"ASSAM","LAKHIMPUR",446,428,213,5,0,646
"ASSAM","MORIGAON",3917,2318,1365,0,295,3978
"ASSAM","NAGOAN",4919,2818,2486,553,55,5912
"ASSAM","NALBARI",844,608,284,3,4,899
"ASSAM","NC HILLS",590,590,0,0,0,590
"ASSAM","SIBSAGAR",3448,3021,1504,0,0,4525
"ASSAM","SONITPUR",1664,1367,489,0,2,1858
"ASSAM","TINSUKIA",2470,1653,849,8,0,2510
"BIHAR","AURANGABAD",2805,1787,1361,7,85,3240
"BIHAR","BANKA",3889,2933,1536,84,37,4590
"BIHAR","BEGUSARAI",6138,1391,4268,380,277,6315
"BIHAR","BHAGALPUR",646,298,524,2,17,841
"BIHAR","BHOJPUR",121,86,76,7,0,169
"BIHAR","BUXAR",324,212,262,20,0,494
"BIHAR","DARBHANGA",3117,1123,2024,16,204,3366
"BIHAR","EAST CHAMPARAN",7558,3765,3743,1218,907,9633
"BIHAR","GAYA",277,160,115,14,1,289
"BIHAR","GOPAALGANJ",1399,425,952,116,159,1652
"BIHAR","JAMUI",1610,1220,493,34,57,1804
"BIHAR","JEHANABAD",161,111,50,0,0,161
"BIHAR","KAIMUR (BHABUA)",877,686,393,35,21,1135
"BIHAR","KATIHAR",401,179,194,0,50,423
"BIHAR","KHAGARIA",335,62,287,0,0,349
"BIHAR","KISHANGANJ",650,463,497,0,15,975
"BIHAR","LAKHISARAI",491,391,110,0,0,500
"BIHAR","MADHEPURA",876,362,767,4,12,1144
"BIHAR","MADHUBANI",1262,399,842,90,47,1377
"BIHAR","MUNGER",803,457,420,41,40,958
"BIHAR","MUZAFFARPUR",3632,2182,3253,939,55,6429
"BIHAR","NALANDA",4414,4212,3722,0,1,7935
"BIHAR","NAWADA",398,444,72,3,3,521
"BIHAR","PATNA",389,264,140,4,15,423
"BIHAR","PURNIA",395,311,365,0,0,677
"BIHAR","ROHTAS(SASARAM)",389,350,271,31,6,658
"BIHAR","SAHARSA",76,50,64,0,0,114
"BIHAR","SAMASTIPUR",3089,1337,2666,0,0,4003
"BIHAR","SARAN",289,183,195,16,51,445
"BIHAR","SHEKHPURA",611,369,321,40,17,747
"BIHAR","SHEOHAR",50,20,30,0,0,50
"BIHAR","SITAMARHI",484,168,394,33,14,608
"BIHAR","SIWAN",2926,1283,2265,64,127,3739
"BIHAR","SUPAUL",14,7,7,0,0,14
"BIHAR","VAISHALI",295,105,226,16,13,360
"BIHAR","WEST CHAMPARAN",440,274,271,5,0,550
"CHHATTISGARH","BASTER",5576,3564,3156,37,1,6758
"CHHATTISGARH","BILASPUR",1563,5227,1007,0,1,6234
"CHHATTISGARH","DANTEWADA",1313,1144,354,0,9,1507
"CHHATTISGARH","DHAMTARI",2225,2276,157,0,105,2538
"CHHATTISGARH","DURG",6723,6073,2163,84,58,8379
"CHHATTISGARH","JANJGIR-CHAMPA",2523,1061,2078,18,1,3158
"CHHATTISGARH","JASHPUR",562,79,471,14,0,564
"CHHATTISGARH","KANKER",1656,1653,676,3,0,2333
"CHHATTISGARH","KORBA",1820,387,1489,13,0,1889
"CHHATTISGARH","KORIA",1709,133,1594,1,0,1728
"CHHATTISGARH","KVARDHA",3997,7206,1172,9,3,8390
"CHHATTISGARH","MAHASAMUND",4102,4093,223,0,0,4317
