-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes(on River) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"ANDAMAN & NICOBARS","ANDAMAN",0,93,93,0,284,284,0,135,135
"ANDAMAN & NICOBARS","NICOBAR",0,6,6,0,28,28,0,9,9
"ANDHRA PRADESH","ADILABAD",2,249,251,87,605,693,87,565,653
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,0,0,0,0,0,0
"ANDHRA PRADESH","CHITTOOR",0,20,20,0,62,62,0,60,60
"ANDHRA PRADESH","CUDDAPAH",6,375,381,1973,1547,3521,419,1023,1442
"ANDHRA PRADESH","EAST GODAVARI",8,2,10,3053,113,3167,2422,113,2536
"ANDHRA PRADESH","GUNTUR",23,155,178,2215,1711,3926,1661,1172,2833
"ANDHRA PRADESH","KARIMNAGAR",2,31,33,166,74,240,105,36,142
"ANDHRA PRADESH","KHAMMAM",54,1639,1693,1170,5051,6221,937,4002,4939
"ANDHRA PRADESH","KRISHNA",29,22,51,7522,2390,9912,5030,2166,7196
"ANDHRA PRADESH","KURNOOL",6,1519,1525,1020,8312,9332,622,7275,7898
"ANDHRA PRADESH","MAHABOOBNAGAR",4,832,836,870,2511,3381,743,2384,3127
"ANDHRA PRADESH","MEDAK",0,692,692,0,1414,1414,0,1093,1093
"ANDHRA PRADESH","NALGONDA",240,701,941,2307,3345,5651,1022,2612,3635
"ANDHRA PRADESH","NELLORE",8,923,931,132,2886,3018,98,2288,2386
"ANDHRA PRADESH","NIZAMABAD",1,971,972,68,4034,4102,68,3401,3469
"ANDHRA PRADESH","PRAKASAM",17,268,285,3222,5685,8907,2344,2657,5001
"ANDHRA PRADESH","RANGAREDDY",0,92,92,0,178,178,0,143,143
"ANDHRA PRADESH","SRIKAKULAM",6,9,15,494,236,730,252,226,478
"ANDHRA PRADESH","VISAKHAPATNAM",4,26,30,176,126,303,114,86,199
"ANDHRA PRADESH","VIZIANAGARAM",19,161,180,403,856,1259,336,557,893
"ANDHRA PRADESH","WARANGAL",13,55,68,453,314,767,326,135,461
"ANDHRA PRADESH","WEST GODAVARI",10,50,60,8046,514,8560,7091,481,7572
"ARUNACHAL PRADESH","DIBANG VALLEY",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","LOHIT",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","TIRAP",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST KAMENG",0,0,0,0,0,0,0,0,0
"ARUNACHAL PRADESH","WEST SIANG",1,0,1,67,0,67,67,0,67
"ASSAM","BARPETA",1,10,11,1320,291,1611,1320,173,1493
"ASSAM","BONGAIGAON",0,54,54,0,655,655,0,188,188
"ASSAM","CACHAR",7,59,66,680,2459,3138,182,1167,1349
"ASSAM","DARRANG",1,2,3,850,17,867,850,17,867
"ASSAM","DHEMAJI",2,0,2,80,0,80,80,0,80
"ASSAM","DHUBRI",4,1,5,515,100,615,465,100,565
"ASSAM","DIBRUGARH",2,1,3,454,2,456,454,2,456
"ASSAM","GOALPARA",4,6,10,854,12,866,854,12,865
"ASSAM","GOLAGHAT",0,2,2,0,8,8,0,4,4
"ASSAM","HAILAKANDI",13,0,13,2722,0,2722,1131,0,1131
"ASSAM","JORHAT",8,1,9,408,43,451,408,43,451
"ASSAM","KAMRUP",38,40,78,2263,329,2591,2204,315,2518
