-----
{
 "description": "The table refers to District wise Distribution of Surface Lift Schemes according to source of Finance. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcliftstate5.7.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Lift Schemes according to source of Finance", 
 "url": "http://data.gov.in/sites/default/files/srfcliftstate5.7.csv"
}
-----
"State","District","Farmer's saving","Loan & Savings","Subsidy & Bank loan","Others","Total"
"ANDAMAN & NICOBARS","ANDAMAN",590,9,512,558,1669
"ANDAMAN & NICOBARS","NICOBAR",2,0,20,5,27
"ANDHRA PRADESH","ADILABAD",1101,217,116,20,1454
"ANDHRA PRADESH","ANANTHAPUR",0,0,0,1,1
"ANDHRA PRADESH","CHITTOOR",23,0,0,0,23
"ANDHRA PRADESH","CUDDAPAH",379,27,4,7,417
"ANDHRA PRADESH","EAST GODAVARI",42,1,6,9,58
"ANDHRA PRADESH","GUNTUR",991,385,134,40,1550
"ANDHRA PRADESH","KARIMNAGAR",395,57,12,7,471
"ANDHRA PRADESH","KHAMMAM",3126,241,328,521,4216
"ANDHRA PRADESH","KRISHNA",40,13,14,39,106
"ANDHRA PRADESH","KURNOOL",2076,27,19,27,2149
"ANDHRA PRADESH","MAHABOOBNAGAR",1017,229,52,81,1379
"ANDHRA PRADESH","MEDAK",690,297,0,0,987
"ANDHRA PRADESH","NALGONDA",2874,602,482,465,4423
"ANDHRA PRADESH","NELLORE",2456,116,129,115,2816
"ANDHRA PRADESH","NIZAMABAD",1438,248,30,67,1783
"ANDHRA PRADESH","PRAKASAM",944,177,156,72,1349
"ANDHRA PRADESH","RANGAREDDY",254,8,2,8,272
"ANDHRA PRADESH","SRIKAKULAM",17,0,7,9,33
"ANDHRA PRADESH","VISAKHAPATNAM",31,1,4,18,54
"ANDHRA PRADESH","VIZIANAGARAM",183,0,11,5,199
"ANDHRA PRADESH","WARANGAL",111,0,32,71,214
"ANDHRA PRADESH","WEST GODAVARI",186,19,7,27,239
"ARUNACHAL PRADESH","DIBANG VALLEY",3,0,6,0,9
"ARUNACHAL PRADESH","LOHIT",0,0,1,5,6
"ARUNACHAL PRADESH","TIRAP",1,0,0,0,1
"ARUNACHAL PRADESH","UPPER SUBANSIRI",0,0,2,0,2
"ARUNACHAL PRADESH","WEST KAMENG",1,0,0,1,2
"ARUNACHAL PRADESH","WEST SIANG",1,0,0,0,1
"ASSAM","BARPETA",16,0,6,5,27
"ASSAM","BONGAIGAON",142,4,13,34,193
"ASSAM","CACHAR",19,0,15,242,276
"ASSAM","DARRANG",1,0,6,1,8
"ASSAM","DHEMAJI",1,0,1,6,8
"ASSAM","DHUBRI",2,1,7,19,29
"ASSAM","DIBRUGARH",1,0,2,0,3
"ASSAM","GOALPARA",4,4,4,7,19
"ASSAM","GOLAGHAT",29,0,8,3,40
"ASSAM","HAILAKANDI",3,0,0,13,16
"ASSAM","JORHAT",2,1,11,9,23
"ASSAM","KAMRUP",11,5,55,39,110
"ASSAM","KARBIANGLONG",2,0,4,16,22
"ASSAM","KARIMGANJ",2,1,3,13,19
"ASSAM","KOKRAJHAR",13,3,20,47,83
"ASSAM","LAKHIMPUR",0,0,13,3,16
"ASSAM","MORIGAON",2,9,2,26,39
"ASSAM","NAGOAN",309,8,86,35,438
"ASSAM","NALBARI",9,6,27,14,56
"ASSAM","NC HILLS",0,0,6,2,8
"ASSAM","SIBSAGAR",0,0,9,23,32
"ASSAM","SONITPUR",59,17,10,41,127
"ASSAM","TINSUKIA",18,3,77,18,116
"BIHAR","AURANGABAD",60,9,14,16,99
"BIHAR","BANKA",148,9,184,104,445
"BIHAR","BEGUSARAI",200,11,19,29,259
"BIHAR","BHAGALPUR",9,1,16,37,63
"BIHAR","BHOJPUR",0,0,7,7,14
"BIHAR","BUXAR",0,2,1,2,5
"BIHAR","DARBHANGA",149,44,43,67,303
"BIHAR","EAST CHAMPARAN",68,3,25,22,118
