-----
{
 "description": "It provides non-plan grants and loans sanctioned to various public enterprises.", 
 "file_name": "stat09.xls", 
 "title": "Download XLS for Non-Plan Grants and Loans to Public Enterprises(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat09.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","",""
"","","","","",""
"STATEMENT 9","","","","",""
"NON PLAN GRANTS AND LOANS TO PUBLIC ENTERPRISES","","","","",""
"(In crores of Rupees)","","","","",""
"MINISTRY/DEPARTMENT","","Actuals","Budget","Revised","Budget"
"","","2011-2012","2012-2013","2012-2013","2013-2014"
"","","","","",""
"LOANS","",479.11,465.36,468.51,416.55
"Ministry of Chemicals and Fertilisers","",1.1,1.21,0.04,0.11
"Department of Chemicals and Petrochemicals","",1.1,1.12,"...",0.03
1.0,"Hindustan Insecticides Ltd.(HIL)","...",0.01,"...",0.01
2.0,"Hindustan Organic Chemicals Limited","...",0.01,"...",0.01
3.0,"Petrofils Co-operative Ltd.(PCL)",1.1,1.1,"...",0.01
"Department of Fertilisers","","...",0.04,0.04,0.04
4.0,"Brahmaputra Valley Fertilizer Corporation Ltd.","...",0.01,0.01,0.01
5.0,"Fertilizers Corporation of India Ltd.","...",0.01,0.01,0.01
6.0,"Hindustan Fertilizers Corporation Ltd.","...",0.01,0.01,0.01
7.0,"Pyrites, Phosphates & Chemicals Ltd.","...",0.01,0.01,0.01
"Department of Pharmaceuticals","","...",0.05,"...",0.04
8.0,"Bengal Chemicals and Pharmaceuticals Ltd.(BCPL)","...",0.01,"...",0.01
9.0,"Bengal Immunity Ltd.(BIL)","...",0.01,"...",0.01
10.0,"Hindustan Antibiotics Ltd. (HAL)","...",0.01,"...",0.01
11.0,"Indian Drugs & Pharmaceuticals Ltd. (IDPL)","...",0.01,"...",0.01
12.0,"Smith Stainistreet Pharmaceutical Ltd.(SSPL)","...",0.01,"...","..."
"Ministry of Consumer Affairs, Food and Public Distribution","","...",0.01,"...","..."
"Department of Food and Public Distribution","","...",0.01,"...","..."
13.0,"Loans for Hindustan Vegetable Oils Corporation","...",0.01,"...","..."
"Ministry of Defence","",4.0,"...","...","..."
14.0,"Investment in Public Enterprises-Mishra Dhatu Nigam Limited",4.0,"...","...","..."
"Ministry of Development of North Eastern Region","",4.0,4.0,4.0,4.0
15.0,"Loans to North Eastern Handicrafts and Handlooms Development Corporation",2.0,2.0,2.0,2.0
16.0,"Loans to North Eastern Regional Agricultural Marketing Corporation",2.0,2.0,2.0,2.0
"Ministry of Environment and Forests","",11.0,11.0,11.0,1.0
17.0,"Andaman and Nicobar Islands Forest and Plantation Development Corporation",11.0,11.0,11.0,1.0
"Ministry of Heavy Industries and Public Enterprises","",291.56,400.0,340.0,400.0
"Department of Heavy Industry","",291.56,400.0,340.0,400.0
18.0,"Bharat Bhari Udyog Nigam Limited","...","...","...","..."
19.0,"Hindustan Cables Limited",95.38,"...",54.32,"..."
20.0,"Hindustan Machine Tools Ltd.",145.69,"...",110.65,"..."
21.0,"Hindustan Paper Corporation Limited (NPPC)",8.81,"...",4.14,"..."
22.0,"Hindustan Photofilms Manufacturing Company Ltd.","...","...","...","..."
23.0,"Lumpsum for Revival Scheme for PSE''s","...",150.0,41.46,150.0
24.0,"Lumpsum for Voluntary Separation Scheme and Statutory Dues","...",250.0,110.01,250.0
25.0,"NEPA Limited",27.96,"...",14.41,"..."
26.0,"Scooters India Limited",8.08,"...",1.89,"..."
27.0,"Triveni Structural Limited",3.15,"...",1.84,"..."
28.0,"Tungbhadra Steel Products Limited",2.49,"...",1.28,"..."
"Ministry of Micro, Small and Medium Enterprises","","...",0.5,0.5,0.5
29.0,"Loans to Khadi and Village Industries Commission","...",0.5,0.5,0.5
"Ministry of Shipping","",9.21,10.13,11.13,10.92
30.0,"Hoogly Dock and Port Engineers Ltd.",9.21,10.13,11.13,10.92
"Ministry of Textiles","",158.24,38.51,101.84,0.02
31.0,"Bird Jute and Export Limited",0.5,0.5,0.5,"..."
32.0,"British India Coporation Ltd.",100.68,38.0,66.6,0.01
33.0,"National Jute Manufactures Corporation",57.06,0.01,34.74,0.01
"GRANTS TO PSEs","",19.52,21.79,300.29,23.21
"Ministry of Agriculture","",0.45,0.45,"...","..."
"Department of Agriculture and Cooperation","",0.45,0.45,"...","..."
34.0,"Damodar Valley Corporation",0.45,0.45,"...","..."
"Ministry of Communications and Information Technology","",5.38,6.0,137.1,7.0
"Department of Telecommunications","",5.38,6.0,137.1,7.0
35.0,"Financial Relief to ITI Limited",5.38,6.0,137.1,7.0
"Ministry of Mines","",1.4,1.5,1.5,1.5
36.0,"Bharat Gold Mines Ltd.",1.4,1.5,1.5,1.5
"Ministry of Shipping","",12.29,13.84,12.24,14.71
37.0,"Grants to C.I.W.T.C. for Liquidation of Statutory Dues",10.29,11.84,10.24,11.71
38.0,"Hoogly Dock and Port Engineers Ltd.",2.0,2.0,2.0,3.0
"Ministry of Steel","","...","...",149.45,"..."
39.0,"Grants to Bisra Lime Stone Company Ltd, a Company under Bird Group of Companies","...","...",149.45,"..."
"","GRAND TOTAL",498.63,487.15,768.8,439.76
