-----
{
 "description": "It provides non-plan grants and loans sanctioned to State and Union Territory Governments.", 
 "file_name": "stat10.xls", 
 "title": "Download XLS for Non-Plan Grants and Loans to State and Union Territory Governments(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/ub2013-14/eb/stat10.xls"
}
-----
"Expenditure Budget Vol. I, 2013-2014","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"STATEMENT 10","","","","","","","","","","","","","",""
"NON-PLAN GRANTS AND LOANS TO STATE & U.T. GOVERNMENTS","","","","","","","","","","","","","",""
"(In crores of Rupees)","","","","","","","","","","","","","",""
"","","","Actuals 2011-2012","","","Budget 2012-2013","","","Revised 2012-2013","","","Budget 2013-2014","",""
"MINISTRY/DEPARTMENT","","","Grant","Loan","Total","Grant","Loan","Total","Grant","Loan","Total","Grant","Loan","Total"
"","","","","","","","","","","","","","",""
"STATE GOVERNMENTS","","","","","","","","","","","","","",""
1.0,"Ministry of Agriculture","","...","...","...","...","...","...","...","...","...",0.95,"...",0.95
2.0,"Ministry of Civil Aviation","","...","...","...",0.01,"...",0.01,"...","...","...","...","...","..."
3.0,"Ministry of Culture","",1.62,"...",1.62,1.36,"...",1.36,1.22,"...",1.22,1.36,"...",1.36
4.0,"Ministry of Finance","",48581.44,"...",48581.44,58852.46,"...",58852.46,55148.51,"...",55148.51,71565.4,"...",71565.4
"",4.01,"Compensation to States for Revenue losses due to introduction of VAT",436.18,"...",436.18,195.0,"...",195.0,106.71,"...",106.71,131.0,"...",131.0
"",4.02,"Compensation to States for Revenue losses due to phasing out of CST",4172.58,"...",4172.58,300.0,"...",300.0,10.0,"...",10.0,9300.0,"...",9300.0
"",4.03,"Grants under Article 275(1) of the Constitution",43972.68,"...",43972.68,58357.46,"...",58357.46,55031.8,"...",55031.8,62134.4,"...",62134.4
5.0,"Ministry of Health and Family Welfare","",8.5,"...",8.5,8.0,"...",8.0,8.98,"...",8.98,11.0,"...",11.0
6.0,"Ministry of Home Affairs","",2023.87,"...",2023.87,2209.19,5.0,2214.19,1659.23,4.7,1663.93,2165.73,"...",2165.73
"",6.01,"Assistance to States","...","...","...","...","...","...",217.6,"...",217.6,262.6,"...",262.6
"",6.02,"Home Guards",45.04,"...",45.04,39.0,"...",39.0,35.5,"...",35.5,39.0,"...",39.0
"",6.03,"Others",24.85,"...",24.85,156.53,"...",156.53,157.03,"...",157.03,100.18,"...",100.18
"",6.04,"Police",1731.31,"...",1731.31,1800.54,5.0,1805.54,1043.79,4.7,1048.49,1509.08,"...",1509.08
"",6.05,"Rehabilitation of DPs and Repatriates",222.67,"...",222.67,213.12,"...",213.12,205.31,"...",205.31,254.87,"...",254.87
7.0,"Ministry of Human Resource Development","","...","...","...",2251.41,"...",2251.41,101.17,"...",101.17,2251.41,"...",2251.41
"",7.01,"Improvement in Salary Scale of University & College Teachers","...","...","...",2250.0,"...",2250.0,100.0,"...",100.0,2250.0,"...",2250.0
"",7.02,"Others","...","...","...",1.41,"...",1.41,1.17,"...",1.17,1.41,"...",1.41
8.0,"Ministry of Law and Justice","",1.4,"...",1.4,5.0,"...",5.0,4.5,"...",4.5,5.0,"...",5.0
9.0,"Ministry of Personnel, Public Grievances and Pensions","","...","...","...","...",5.0,5.0,"...",0.83,0.83,"...",5.0,5.0
10.0,"Ministry of Petroleum and Natural Gas","","...","...","...","...","...","...",90.0,"...",90.0,90.0,"...",90.0
11.0,"Ministry of Textiles","",3.5,"...",3.5,3.5,"...",3.5,3.5,"...",3.5,4.0,"...",4.0
12.0,"Ministry of Tribal Affairs","","...","...","...","...","...","...","...","...","...",0.14,"...",0.14
13.0,"Ministry of Water Resources","","...","...","...",18.04,3.0,21.04,1.63,3.0,4.63,5.79,3.0,8.79
"",13.01,"Assistance for Sutlej Yamuna Link Canal Project","...","...","...",18.04,"...",18.04,1.63,"...",1.63,5.79,"...",5.79
"",13.02,"Other Schemes","...","...","...","...",3.0,3.0,"...",3.0,3.0,"...",3.0,3.0
14.0,"Ministry of Youth Affairs and Sports","",3.54,"...",3.54,3.51,"...",3.51,4.51,"...",4.51,4.4,"...",4.4
"","TOTAL - State Governments","",50623.87,"...",50623.87,63352.48,13.0,63365.48,57023.25,8.53,57031.78,76105.18,8.0,76113.18
"UNION TERRITORIES","","","","","","","","","","","","","",""
1.0,"Ministry of Finance","",325.0,"...",325.0,330.0,"...",330.0,328.0,"...",328.0,326.0,"...",326.0
"",1.01,"Compensation to Union Territory Governments for Revenue losses due to introdution of VAT","...","...","...",5.0,"...",5.0,3.0,"...",3.0,1.0,"...",1.0
"",1.02,"Grant in lieu of share in Central Taxes & Duties to NCT of Delhi",325.0,"...",325.0,325.0,"...",325.0,325.0,"...",325.0,325.0,"...",325.0
2.0,"Ministry of Health and Family Welfare","","...","...","...",1.0,"...",1.0,"...","...","...",0.5,"...",0.5
3.0,"Ministry of Home Affairs","",574.6,72.0,646.6,527.2,72.0,599.2,529.78,72.0,601.78,528.6,72.0,600.6
"",3.01,"Home Affairs",568.0,72.0,640.0,514.0,72.0,586.0,517.5,72.0,589.5,515.0,72.0,587.0
"",3.02,"Others",6.6,"...",6.6,13.2,"...",13.2,12.28,"...",12.28,13.6,"...",13.6
4.0,"Ministry of Human Resource Development","","...","...","...",0.08,"...",0.08,0.08,"...",0.08,0.08,"...",0.08
5.0,"Ministry of Petroleum and Natural Gas","","...","...","...","...","...","...",20.0,"...",20.0,20.0,"...",20.0
6.0,"Ministry of Power","","...","...","...","...","...","...","...",3326.39,3326.39,"...","...","..."
7.0,"Ministry of Textiles","","...","...","...","...","...","...","...","...","...","...","...","..."
"","TOTAL - Union Territories","",899.6,72.0,971.6,858.28,72.0,930.28,877.86,3398.39,4276.25,875.18,72.0,947.18
"","GRAND TOTAL - NON PLAN","",51523.47,72.0,51595.47,64210.76,85.0,64295.76,57901.11,3406.92,61308.03,76980.36,80.0,77060.36
