-----
{
 "description": "The table shows the Per Capita Availability of Certain Important Articles of Consumption in India for the years 1960-61 to 2011-12. It gives details of certain important articles of consumption like Edible oil, Vanaspati, Sugar, Cotton, Man-made cloth, Tea , Coffee and Electricity.", 
 "file_name": "tab118.xls", 
 "title": "Download XLS for Per Capita Availability of Certain Important Articles of Consumption(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab118.xls"
}
-----
"1.18 PER CAPITA AVAILABILITY OF CERTAIN IMPORTANT ARTICLES OF CONSUMPTION","","","","","","","","",""
"","","","","Clothd","","","","",""
"Year","Edible ","Vanaspatib","Sugar","Cotton e","Man-made","Total","Tea ","Coffee f","Electricity"
"","oil a","","(Nov.-Oct.)","(metres)","(metres)","(metres)","(Gram.) ","(Gram.) ","(Domestic"
"","(Kg.)","(Kg.)","(Kg.) c ","","","","","","(KWH)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
"1960-61",3.2,0.8,4.8,13.8,1.2,15.0,296.0,80.0,3.4
"1970-71",3.5,1.0,7.4,13.6,2.0,15.6,401.0,65.0,7.0
"1971-72",3.0,1.1,6.8,12.4,2.2,14.6,426.0,65.0,7.3
"1972-73",2.4,1.0,6.2,13.2,2.0,15.2,458.0,69.0,7.3
"1973-74",3.4,0.8,6.1,12.0,1.9,13.9,492.0,64.0,8.1
"1974-75",3.3,0.6,5.8,12.9,1.7,14.6,471.0,62.0,8.8
"1975-76",3.5,0.8,6.1,12.6,2.0,14.6,446.0,62.0,9.7
"1976-77",3.2,0.9,6.0,11.4,2.4,13.8,450.0,71.0,10.4
"1977-78",3.8,0.9,7.2,9.5,4.0,13.5,516.0,73.0,10.9
"1978-79",3.8,1.0,9.6,10.2,4.8,15.0,599.0,77.0,11.9
"1979-80",3.7,1.0,7.8,10.1,4.6,14.7,521.0,73.0,12.1
"1980-81",3.8,1.2,7.3,12.9,4.4,17.3,511.0,79.0,13.5
"1981-82",5.1,1.3,8.2,12.2,4.9,17.1,466.0,79.0,15.1
"1982-83",4.5,1.3,9.0,11.8,4.3,16.1,525.0,82.0,17.0
"1983-84",5.8,1.2,10.5,12.6,4.7,17.3,519.0,78.0,18.3
"1984-85",5.5,1.3,10.7,12.6,4.6,17.2,576.0,72.0,21.0
"1985-86",5.0,1.3,11.1,15.4,6.1,21.5,589.0,71.0,22.9
"1986-87",5.0,1.2,11.4,15.2,6.6,21.8,545.0,76.0,25.1
"1987-88",5.8,1.2,11.7,14.0,7.0,21.0,592.0,72.0,28.2
"1988-89",5.3,1.2,12.1,15.0,8.0,23.0,612.0,79.0,30.9
"1989-90",5.3,1.1,12.3,14.6,8.1,22.7,571.0,65.0,36.1
"1990-91",5.5,1.0,12.7,15.1,9.0,24.1,612.0,59.0,38.2
"1991-92",5.4,1.0,13.0,13.7,9.2,22.9,655.0,64.0,41.9
"1992-93",5.8,1.0,13.7,15.6,8.9,24.5,649.0,60.0,45.6
"1993-94",6.1,1.0,12.5,15.9,10.3,26.2,667.0,56.0,48.8
"1994-95",6.3,1.0,13.2,15.2,10.8,26.0,664.0,55.0,53.0
"1995-96",7.0,1.0,14.1,16.3,11.7,28.0,646.0,55.0,56.2
"1996-97",8.0,1.0,14.6,16.2,13.1,29.3,657.0,58.0,58.6
"1997-98",6.2,1.0,14.5,15.9,15.0,30.9,635.0,58.0,62.9
"1998-99",8.5,1.3,14.9,13.1,15.1,28.2,684.0,65.0,66.7
"1999-00",9.0,1.4,15.6,14.2,16.4,30.6,642.0,55.0,71.2
"2000-01",8.2,1.3,15.8,14.2,16.5,30.7,631.0,58.0,75.2
"2001-02",8.8,1.4,16.0,14.8,17.2,32.0,650.0,67.0,76.8
"2002-03",7.2,1.4,16.3,14.4,17.0,31.4,623.0,67.0,79.0
"2003-04",9.9,1.2,16.07,13.4,17.6,31.0,662.0,70.0,83.6
"2004-05",10.2,1.1,15.5,14.1,19.4,33.5,663.0,72.0,87.8
"2005-06",10.6,1.1,16.3,16.4,19.7,36.1,687.0,75.0,90.4
"2006-07",11.1,1.2,16.8,18.0,21.6,39.6,687.0,77.0,98.76
"2007-08",11.4,1.3,17.8,19.0,22.8,41.9,701.0,80.0,106.0
"2008-09",12.7,1.2,18.8,17.9,21.1,39.0,704.0,82.0,112.67
"2009-10 ",13.1,1.1,17.9,19.7,23.4,43.1,709.0,86.0,121.2
"2010-11",13.6,1.0,17.0,21.4,22.6,44.0,715.0,90.0,130.9
"2011-12p",13.8,1.0,18.066,19.8,20.7,40.5,728.0,95.0,"na"
"Sources : 1. Directorate of Vanaspati, Vegetable Oils & Fats, Ministry of Consumer Affairs, Food & Public Distribution.
2. Directorate of Sugar, Ministry of Consumer Affairs, Food & Public Distribution.
3. Ministry of Textiles.
4. Tea Board.
5. Coffee Board.
6. Central Electricity Authority, Ministry of Power.
","","","","","","","","",""
"na : Not Available","","","P : Provisional ","","","","","",""
"a Includes groundnut oil, rapeseed and mustard oil, sesamum oil, nigerseed oil, soyabean oil and sunflower oil but excludes oil for manufacture of vanaspati.","","","","","","","","",""
"b Relates to calendar year.","","","","","","","","",""
"c Relates to actual releases for domestic consumption.","","","","","","","","",""
"d The data of cloth; prior to 1980-81 is calender year wise; in meters upto 1984-85; in square meter from1985-86 onwards","","","","","","","","",""
"e Figures for blended/mixed fabrics were not separately available prior to 1969. These have been included under man-made fibre fabrics after 1969.","","","","","","","","",""
"f Figures up to 1971-72 relate to coffee season and are thereafter on calendar year basis. The figures for 1972-73 correspond to 1973 and so on.","","","","","","","","",""
