-----
{
 "description": "The table gives the Annual Growth Rates of Real Gross Domestic Product at Factor Cost at 2004-05 Prices. Real Gross Domestic Product (real GDP) is a macroeconomic measure of the value of economic output adjusted for price changes i.e., inflation or deflation. The table provides the industry-wise ...", 
 "file_name": "tab14.xls", 
 "title": "Download XLS for Annual Growth Rates of Real Gross Domestic Product at Factor Cost by Industry of Origin(External Link that opens in a new window)", 
 "url": "http://indiabudget.nic.in/tab2012/tab14.xls"
}
-----
"1.4  ANNUAL GROWTH RATES OF REAL GROSS DOMESTIC PRODUCT AT FACTOR COST BY INDUSTRY OF ORIGIN","","","","","",""
"","","","","","at 2004-05 Prices","(Per cent)"
"","Agriculture,","Manufacturing,","Trade,","Financing,","Community","Gross"
"","forestry &","construction,","hotels,","insurance, real","social","domestic"
"","fishing,","electricity,","transport &","estate","and","product at"
"Year","mining and","gas and water","communication","and business","personal","factor"
"","quarrying","supply","","services","services","cost"
"","","","","","","(2 to 6)"
1.0,2.0,3.0,4.0,5.0,6.0,7.0
"","","","","","",""
"1951-52",1.9,4.6,2.6,2.3,3.0,2.3
"1952-53",3.1,-0.4,3.3,4.2,2.1,2.8
"1953-54",7.5,6.2,3.7,1.4,3.1,6.1
"1954-55",3.0,8.8,6.5,3.7,3.6,4.2
"1955-56",-0.8,11.7,7.3,4.0,3.1,2.6
"1956-57",5.4,9.0,7.3,1.6,3.8,5.7
"1957-58",-4.1,-1.8,3.1,3.8,4.5,-1.2
"1958-59",9.8,7.4,5.0,2.8,4.1,7.6
"1959-60",-0.8,7.0,6.3,3.8,4.3,2.2
"1960-61",7.1,10.8,8.6,2.1,4.9,7.1
"1961-62",0.3,6.9,6.5,4.3,4.7,3.1
"1962-63",-1.4,6.2,5.9,3.4,7.1,2.1
"1963-64",2.4,10.7,7.1,3.1,6.6,5.1
"1964-65",8.8,7.4,6.8,2.7,6.6,7.6
"1965-66",-9.9,3.2,1.8,3.0,4.0,-3.7
"1966-67",-1.2,3.7,2.6,1.8,4.6,1.0
"1967-68",14.1,3.3,4.3,2.7,3.9,8.1
"1968-69",0.0,5.1,4.5,4.9,4.5,2.6
"1969-70",6.3,7.8,5.4,4.2,5.5,6.5
"1970-71",6.3,1.6,4.9,4.2,5.5,5.0
"1971-72",-1.7,2.5,2.3,5.2,4.5,1.0
"1972-73",-4.4,3.4,2.2,3.9,3.3,-0.3
"1973-74",6.9,0.5,4.2,2.4,2.6,4.6
"1974-75",-1.2,1.0,6.0,-0.3,4.7,1.2
"1975-76",12.8,6.5,9.1,6.9,3.5,9.0
"1976-77",-5.2,9.3,4.5,7.9,2.8,1.2
"1977-78",9.6,7.4,6.7,4.9,2.7,7.5
"1978-79",2.3,7.3,8.2,7.1,4.3,5.5
"1979-80",-11.9,-3.6,-0.8,1.0,7.3,-5.2
"1980-81",12.8,4.5,5.6,1.9,5.0,7.2
"1981-82",5.2,7.4,6.1,8.1,2.1,5.6
"1982-83",0.6,0.2,5.5,9.5,7.7,2.9
"1983-84",9.5,8.5,5.1,9.8,3.7,7.9
"1984-85",1.6,4.4,4.8,7.5,6.9,4.0
"1985-86",0.7,4.3,8.0,9.8,5.7,4.2
"1986-87",0.6,4.9,6.0,10.5,7.5,4.3
"1987-88",-1.1,5.8,5.1,7.3,7.2,3.5
"1988-89",15.7,8.2,6.0,9.8,6.0,10.2
"1989-90",1.8,8.4,7.4,12.4,7.9,6.1
"1990-91",4.7,6.9,5.2,6.2,4.4,5.3
"1991-92",-1.4,-0.1,2.3,10.8,2.6,1.4
"1992-93",6.0,3.6,5.6,5.4,6.0,5.4
"1993-94",3.1,6.1,6.9,11.2,4.5,5.7
"1994-95",5.2,9.1,9.9,3.9,2.3,6.4
"1995-96",0.0,12.0,13.4,8.1,7.3,7.3
"1996-97",8.9,7.2,8.1,6.2,8.1,8.0
"1997-98",-1.3,3.3,7.5,11.7,8.3,4.3
"1998-99",5.9,4.3,7.7,7.8,9.7,6.7
"1999-00",2.8,6.2,11.1,8.8,13.7,7.6
"2000-01",0.3,6.5,6.4,4.5,4.6,4.3
"2001-02",5.5,2.7,8.6,7.1,4.1,5.5
"2002-03",-4.9,7.1,8.5,7.7,3.9,4.0
"2003-04",8.2,7.9,11.1,5.8,5.4,8.1
"2004-05",1.1,10.0,9.7,8.7,4.9,7.0
"2005-06",4.6,10.7,12.0,12.6,7.1,9.5
"2006-07",4.6,12.7,11.6,14.0,2.8,9.6
"2007-08",5.52272650639,10.2702271959,10.9260244109,11.9524901838,6.86682932067,9.32207222692
"2008-09",0.35509009063,4.65655206358,7.48920278944,12.0207156549,12.5185697526,6.72476235694
"2009-10(3R)",1.46906642043,9.46251729759,10.3919824905,9.70340904084,11.730470169,8.59396251411
"2010-11(2R)",7.53095184861,9.53482642834,12.3357634376,10.0695033715,4.27191392066,9.32082334401
"2011-12(1R)",3.07983195832,3.83737463432,7.0338718547,11.6728183496,6.00780631757,6.20975546718
"Source : Central Statistics Office.","","","","","",""
"1R: 1st Revised Estimates.","","2R; 2nd Revised Estimates","","3R: 3rd Revised Estimates","",""
"Note :  For the year prior to 1999-2000 totals under col. 7 may not add up to totals of individual item under col. 2 to col. 6 due to splicing   technique applied independently at the level of each industry and at the total level.","","","","","",""
